data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_52,yhat_model_48_to_52,yhat_model_49_to_52,yhat_model_50_to_52,yhat_model_51_to_52,yhat_model_52_to_52
30/03/2020,,,,3.500391078352858,3.878919043494173,2.3052306522865242,6.391742804351006,9.881755588532691,13.622257981528419,19.4495893057368,24.959299018606632,29.595072565174526,34.65149224048303,39.05909947929205,42.5132501130133,46.61956804378901,49.41084916811402,53.3782631919973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,4.0284502931004464,2.3958405704198773,6.631938806638889,10.262628590502056,14.145409324708886,20.19001753359495,25.91099540509807,30.704698758112084,35.95463554212238,40.53108534416939,44.102365475319544,48.355921759297125,51.25827557547247,55.37525775308958,57.481398543748604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,2.4864504885532304,6.872134808926778,10.643501592471422,14.668560667889352,20.92951092415719,26.862691791589505,31.814324951049645,37.257778843761734,42.003071209046716,45.691480837625775,50.092275474805234,53.105701982830915,57.37177294234477,59.53777004307137,66.54525232996629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,7.1123308112146635,11.024374594440786,15.191712011069821,21.66900431471942,27.814388178080943,32.9239511439872,38.560922145401086,43.475057073924056,47.28059619993202,51.828629190313336,54.95312839018937,59.36645012556922,61.594141542394134,68.87118851656527,77.75474539015659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,11.405247596410154,15.714863354250287,22.40829957499899,28.766084564572378,34.033577336924765,39.86406544704044,44.947042938801395,48.869711562238265,53.56498290582145,56.80055479754781,61.36112730879369,63.650513041716884,71.19712470316425,80.38528926822303,80.69003787520572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,16.238014697430756,23.147177609348486,29.717780951063816,35.14320352986232,41.16720874867978,46.41902880367873,50.458826924544496,55.301336621329554,58.647981204906266,63.35580449201815,65.70688454103963,73.52306088976324,83.01583314628948,83.33020177438016,100.25720308452492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,23.886055643697976,30.66947733755525,36.25282972279987,42.47035205031914,47.89101466855606,52.04794228685074,57.03769033683767,60.49540761226471,65.35048167524262,67.763206920844,75.84899707636221,85.64637702435593,85.97036567355461,103.4182570524774,92.19420075121596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,31.621173724046688,37.36245591573743,43.773495351958495,49.3630005334334,53.63705764915698,58.77404405234578,62.34283401962316,67.34515885846709,69.81903910918277,78.1749332629612,88.27692090242236,88.61052957272908,106.5793110204299,94.99223779834136,122.04906474616448,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,38.472082108675,45.076638653597854,50.83498639831074,55.22617301146321,60.51039776785389,64.19026042698161,69.33983604169154,71.87487129752154,80.50086944956017,90.90746478048882,91.25069347190352,109.7403649883824,97.79027484546675,125.65171906344452,103.91244015227923,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,46.379781955237206,52.306972263188065,56.81528837376945,62.246751483362,66.03768683434005,71.33451322491601,73.9307034858603,82.82680563615916,93.53800865855527,93.89085737107797,112.9014189563349,100.58831189259215,129.25437338072456,106.90748363242304,97.85678078017467,,,,,,,,,,,,,,,,,,,,,,,,,
