data,yhat,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_47,yhat_model_43_to_47,yhat_model_44_to_47,yhat_model_45_to_47,yhat_model_46_to_47,yhat_model_47_to_47
02/04/2020,,,,,,,,18.428571428571423,33.14285714285713,44.142857142857125,71.14285714285711,81.53571428571426,82.9285714285714,77.17857142857143,79.7142857142857,72.89285714285711,69.5,77.53571428571426,83.14285714285714,92.25,102.14285714285714,111.57142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,34.78571428571428,46.428571428571416,75.03571428571426,86.1428571428571,87.6785714285714,81.5,84.25,76.85714285714283,73.03571428571428,81.92857142857142,88.17857142857142,98.42857142857142,109.78571428571428,121.0,134.74999999999994,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,48.714285714285694,78.9285714285714,90.74999999999996,92.4285714285714,85.82142857142856,88.78571428571428,80.82142857142856,76.57142857142856,86.32142857142856,93.21428571428572,104.60714285714286,117.42857142857142,130.4285714285714,146.49999999999994,160.92857142857144,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,82.82142857142854,95.35714285714282,97.1785714285714,90.14285714285714,93.32142857142856,84.78571428571425,80.10714285714286,90.7142857142857,98.25,110.78571428571428,125.07142857142856,139.85714285714283,158.24999999999994,175.28571428571428,183.60714285714283,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,99.96428571428568,101.9285714285714,94.46428571428572,97.85714285714283,88.74999999999997,83.64285714285714,95.10714285714283,103.28571428571428,116.9642857142857,132.7142857142857,149.28571428571428,169.99999999999994,189.6428571428571,199.64285714285717,201.25,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,,106.6785714285714,98.78571428571428,102.39285714285711,92.71428571428567,87.17857142857142,99.49999999999997,108.32142857142858,123.14285714285714,140.35714285714286,158.71428571428567,181.74999999999994,204.0,215.6785714285714,217.78571428571422,225.82142857142856,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,,103.10714285714286,106.92857142857142,96.67857142857139,90.71428571428572,103.89285714285711,113.35714285714286,129.32142857142856,147.99999999999997,168.1428571428571,193.49999999999994,218.35714285714283,231.71428571428572,234.32142857142856,243.78571428571422,245.6428571428571,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,111.4642857142857,100.64285714285711,94.25,108.28571428571425,118.39285714285714,135.5,155.64285714285714,177.57142857142856,205.24999999999994,232.71428571428567,247.74999999999994,250.85714285714278,261.75,264.0,262.21428571428567,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,104.6071428571428,97.78571428571428,112.67857142857139,123.42857142857142,141.67857142857142,163.28571428571425,186.99999999999994,216.99999999999994,247.07142857142856,263.7857142857143,267.3928571428571,279.71428571428567,282.3571428571428,280.1428571428571,300.32142857142856,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,101.32142857142856,117.07142857142856,128.46428571428572,147.85714285714283,170.92857142857142,196.4285714285714,228.7499999999999,261.42857142857144,279.8214285714285,283.92857142857133,297.67857142857133,300.71428571428567,298.07142857142856,321.5,340.28571428571433,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,121.4642857142857,133.5,154.03571428571428,178.57142857142853,205.85714285714283,240.4999999999999,275.7857142857142,295.85714285714283,300.46428571428567,315.6428571428571,319.07142857142856,316.0,342.67857142857144,364.8571428571429,392.75,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,,138.53571428571428,160.2142857142857,186.2142857142857,215.28571428571422,252.2499999999999,290.1428571428571,311.89285714285705,316.9999999999999,333.6071428571428,337.42857142857133,333.92857142857133,363.8571428571429,389.42857142857144,422.2142857142858,440.71428571428567,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,166.3928571428571,193.8571428571428,224.71428571428567,263.9999999999999,304.5,327.9285714285714,333.5357142857142,351.57142857142856,355.7857142857142,351.8571428571428,385.03571428571433,414.0,451.67857142857133,473.57142857142856,497.82142857142844,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,201.49999999999997,234.1428571428571,275.7499999999999,318.8571428571429,343.9642857142856,350.07142857142856,369.5357142857142,374.1428571428571,369.7857142857142,406.21428571428567,438.57142857142867,481.1428571428571,506.42857142857144,535.3571428571427,543.7500000000002,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,243.5714285714285,287.4999999999999,333.21428571428567,359.99999999999994,366.6071428571428,387.4999999999999,392.4999999999999,387.71428571428567,427.3928571428571,463.1428571428571,510.6071428571429,539.2857142857143,572.8928571428569,583.214285714286,618.3928571428573,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,299.2499999999999,347.57142857142856,376.03571428571416,383.1428571428571,405.46428571428567,410.8571428571428,405.6428571428571,448.57142857142856,487.7142857142858,540.0714285714284,572.142857142857,610.4285714285713,622.6785714285716,663.3571428571431,794.071428571428,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,361.92857142857144,392.0714285714285,399.67857142857133,423.42857142857133,429.21428571428567,423.57142857142856,469.75,512.2857142857142,569.5357142857142,604.9999999999999,647.9642857142856,662.1428571428573,708.3214285714287,860.4285714285711,968.5,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,408.1071428571427,416.21428571428567,441.3928571428571,447.57142857142844,441.4999999999999,490.92857142857144,536.8571428571429,599.0,637.8571428571428,685.4999999999998,701.6071428571431,753.2857142857147,926.7857142857138,1053.8571428571431,1136.7857142857147,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,432.7499999999999,459.3571428571428,465.92857142857133,459.42857142857133,512.1071428571429,561.4285714285713,628.4642857142856,670.7142857142857,723.035714285714,741.0714285714287,798.25,993.1428571428569,1139.2142857142858,1238.5714285714284,1316.5714285714284,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,477.32142857142856,484.2857142857142,477.3571428571428,533.2857142857142,586.0,657.9285714285713,703.5714285714286,760.5714285714282,780.5357142857144,843.2142857142858,1059.4999999999995,1224.571428571429,1340.3571428571431,1433.8571428571422,1442.1785714285716,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.642857142857,495.2857142857142,554.4642857142858,610.5714285714287,687.3928571428571,736.4285714285712,798.1071428571427,820.0000000000002,888.1785714285716,1125.8571428571422,1309.928571428571,1442.1428571428578,1551.1428571428569,1563.5,1484.7142857142862,1440.5047619047623,1428.6,1404.8999999999996,1329.1666666666667,1299.9999999999998,1212.0
