data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_52,yhat_model_48_to_52,yhat_model_49_to_52,yhat_model_50_to_52,yhat_model_51_to_52,yhat_model_52_to_52
01/04/2020,,,,,,1.0,1.2123380212297485,1.813591555300809,2.827460815862287,9.0,11.000000000000073,13.00000000001396,24.566113291064756,27.43388682470858,29.00000489925772,33.000128307442694,37.56816726430194,40.4542514266469,47.125640418329034,53.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,1.2123380212297485,1.813591555300809,2.827460815862287,9.0,11.0,13.000000000000073,24.5661132894596,27.43388671217355,29.00000011415429,33.000004899257725,37.566241485958386,40.43594524706293,47.02036938867476,53.125640418329034,60.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,1.813591555300809,2.827460815862287,9.0,11.0,13.0,24.566113289445713,27.433886710568324,29.00000000161919,33.00000011415429,37.56611818711202,40.434015016405716,47.00205864743852,53.02036938867476,60.125640418329034,72.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,2.827460815862287,9.0,11.0,13.0,24.56611328944564,27.433886710554436,29.000000000013962,33.00000000161919,37.566113403586115,40.433891609798266,47.000128307442694,53.00205864743852,60.02036938867476,72.12564041832903,84.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,9.0,11.0,13.0,24.56611328944564,27.43388671055436,29.000000000000075,33.00000000001396,37.56611329106475,40.43388682470858,47.000004899257725,53.000128307442694,60.00205864743852,72.02036938867475,84.12564041832903,96.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,11.0,13.0,24.56611328944564,27.43388671055436,29.0,33.00000000000007,37.5661132894596,40.43388671217355,47.00000011415429,53.000004899257725,60.000128307442694,72.00205864743852,84.02036938867475,96.12564041832903,120.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,13.0,24.56611328944564,27.43388671055436,29.0,33.0,37.56611328944571,40.43388671056832,47.00000000161919,53.00000011415429,60.000004899257725,72.0001283074427,84.00205864743852,96.02036938867475,120.12564041832903,139.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,24.56611328944564,27.43388671055436,29.0,33.0,37.56611328944564,40.43388671055443,47.00000000001396,53.00000000161919,60.00000011415429,72.00000489925772,84.0001283074427,96.00205864743852,120.02036938867475,139.12564041832903,153.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,27.43388671055436,29.0,33.0,37.56611328944564,40.43388671055436,47.00000000000007,53.00000000001396,60.00000000161919,72.00000011415429,84.00000489925772,96.0001283074427,120.00205864743852,139.02036938867477,153.12564041832903,166.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,29.0,33.0,37.56611328944564,40.43388671055436,47.0,53.00000000000007,60.00000000001396,72.00000000161918,84.00000011415429,96.00000489925772,120.0001283074427,139.00205864743853,153.02036938867477,166.12564041832903,194.4914659971654,,,,,,,,,,,,,,,,,,,,,,,
