data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_52,yhat_model_48_to_52,yhat_model_49_to_52,yhat_model_50_to_52,yhat_model_51_to_52
02/04/2020,,,,,,,64.19592322744316,118.90170405805975,143.98832500223617,250.94192637270896,255.28475920001262,2838932023511.999,175.80051091899728,134.6485025922865,3310.92888000777,47.65794327330964,79.87570826674207,86.48669558199792,97.57489518106833,76.95847708476217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,145.65458747112316,177.48149163051366,315.51453650690314,321.1591659421327,21612615891227.54,214.94768008044926,160.2041725183938,5951.96130413909,48.78667613648416,88.88699160186296,97.72395513197591,113.5100940518553,79.4092556150782,117.53770826627381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,218.76551359912614,396.7030308012824,404.031992320524,164535523145035.53,262.81212113914535,190.6101917079437,10699.669080746296,49.94214195934819,98.91489474678451,110.42127742737176,132.04770989250235,81.93808032863721,139.4848193217652,127.63334805178717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,498.78302403819697,508.28955897807174,1252598876177635.5,321.334991807335,226.78713426622872,19234.48634618391,51.124973886516436,110.0741090056466,124.76836914987919,153.61274989243535,84.5474366424785,165.52998274519004,144.34292122161713,151.9782143147369,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,639.4500452359316,9535958646561830.0,392.88970581821553,269.8302950531318,34577.281055100655,52.335820058029014,122.49226473327307,140.97958566508728,178.69963022248314,87.23988912290407,196.43840326749728,163.2400875227078,172.70108749849607,189.56664264709923,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,7.259667004207146e+16,480.378187478804,321.04285088319574,62158.58035640373,53.57534396450378,136.3113910712333,159.297133638289,207.8835113883003,90.01808400602367,233.11816770792953,184.61124348112847,196.24961220689306,224.74775668498165,200.93852689807056,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,587.3485601381266,381.97531556979106,111740.68619700067,54.844224810700126,151.68954036595193,179.9946897677613,241.83348478855666,92.884751798568,276.64692448909824,208.78028024156484,223.00907799258238,266.45802990225957,232.54097756327033,221.16261210520648,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,454.47248335620407,200873.00707617018,56.14315788769335,168.80259584768964,203.3814897018671,281.3279128027492,95.84270996152569,328.30354485783624,236.1134923085124,253.41731027051105,315.9091896917603,269.11367909804574,251.82335942010988,2.1928780021377738e+17,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,361103.60822991066,57.47285495386377,187.84628324521083,229.8069482311992,327.27227410691626,98.89486567924222,389.6056960158567,267.0251289327616,287.9718338052433,374.5378443588736,311.4383238454441,286.7347412204713,2.6644407599926902e+17,3646799130405.492,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,58.834044624909,209.0384093434125,259.665879784596,380.71992335225474,102.044218716702,462.3544300556676,301.98367227736503,327.23801297012096,444.0472181067756,360.41954420429926,326.4860416924651,3.237409722104729e+17,4163479229456.1616,6438147450.166403,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,232.62135308678324,293.4043972268123,442.89624115849773,105.29386436780187,548.6870987209613,341.51893751200544,371.8583019652364,526.4566314944531,417.1042479309668,371.74824008526485,3.933591568688873e+17,4753362791381.773,7080316745.250915,1193038041.5147789,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,331.5265770899172,515.2267281027874,108.64699649751383,651.1401486227319,386.23010244144047,422.5627563418029,624.1601648269786,482.7039943856134,423.2853364575591,4.779482350847045e+17,5426821314884.7705,7786538845.391745,1299592171.8048854,39065688684072.02,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,599.3696868077615,112.10691068092676,772.7236418293356,436.7947883612798,480.18097781739107,739.9962087113453,558.620889985253,481.96724756220533,5.807275906296614e+17,6195695737149.2,8563202660.595939,1415663000.0432532,45029143641065.21,682199949.8478967,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,115.67700744225253,917.0096912392203,493.97932976625634,545.6556878173122,877.3299222948034,646.4775563440351,548.7844905441912,7.056089127701526e+17,7073504624528.779,9417334359.005327,1542100493.655751,51902931839888.23,739790906.6798128,457.21022177570734,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,1088.2374089602054,558.6503885538366,620.0581518258567,1040.1509946844208,748.1518116295077,624.8649023043366,8.573450716209981e+17,8075681859782.896,10356660929.840748,1679830533.4395638,59826017457709.68,802243661.4487634,499.51584336897514,590.7866884781497,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,631.7880887425574,704.6057069131475,1233.1895496201269,865.8168064022368,711.4926767420488,1.0417110080811141e+18,9219848004944.387,11389680086.395363,1829861693.6347196,68958577829307.66,869968644.550089,545.7360004060081,695.692188236007,586.3674010688592,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,800.6816792145163,1462.0535605541436,1001.9874717884087,810.1300412149143,1.2657235228583462e+18,10526120110997.316,12525737141.461657,1993292627.5459862,79485241677705.48,943410934.6947535,596.2329045069976,819.2256701303526,645.1236729449672,806.390594865181,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,1733.3917681896658,1159.5742727526863,922.4419381013863,1.5379083295548667e+18,12017465421525.732,13775109550.653439,2171320112.798822,91618821667144.6,1023053183.9017155,651.4022827014819,964.6948894197592,709.7675495523173,930.8585475024964,883.8201416878178,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,1341.9454153752788,1050.3241280772504,1.8686245356119037e+18,13720105189250.34,15149099888.452618,2365247815.1434484,105604616737681.08,1109418789.4166007,711.6764786062244,1135.994956706522,780.8889915600349,1074.5383700851887,979.5470620623687,1053.232427070301,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,1195.935189473123,2.2704589005649382e+18,15663975705469.105,16660138098.098007,2576495834.982942,121725371199702.4,1203075333.4020605,777.527840554808,1337.712634135388,859.1370759684195,1240.3954520084992,1085.6422042641523,1188.5741460304823,1144.9175458039517,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75870487672179e+18,17883254648351.04,18321893940.330185,2806611106.532973,140306990844069.98,1304638313.0049603,849.4724232305623,1575.2491513813466,945.2259197930048,1431.8528962733935,1203.2285546322057,1341.3074496212746,1255.0804855218075,1503.729900673844,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,20416962004486.93,20149400658.271374,3057278725.7645173,161725131627826.72,1414775185.3138554,928.0740318112606,1854.9648299699866,1039.9411973245742,1652.8621684695254,1333.5507306144173,1513.6671787940672,1375.8432045266147,1787.093648931989,1994.595619963622,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22159190977.187275,3330334290.082202,186412794135861.88,1534209753.7896266,1013.9486403181689,2184.3493884178497,1144.1473104437318,1907.9846505657738,1477.9881546825839,1708.1753544314693,1508.225604077543,2123.854628827893,2579.3768757534826,1546.3337209253168,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3627777340.099675,214869077352230.9,1663726924.9962542,1107.7692187945445,2572.222488314582,1258.795277428607,2202.4857826865546,1638.0696551195851,1927.678080337136,1653.34571941847,2524.075046145123,3335.605974755494,1734.290669777685,1573.6942948972471,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247669268712050.8,1804177866.8922758,1210.2710071425363,3028.969891205703,1384.9314122514745,2542.4437358539317,1815.4896482237796,2175.387188307163,1812.4291621420039,2999.713234652266,4313.548486618252,1945.0937961037955,1732.8080770949425,1727.0306807984384,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956485602.5824616,1322.2572769477483,3566.821549656179,1523.706873574322,2934.8748585782905,2012.1260732145615,2454.927234646617,1986.819471089302,3564.9809635773395,5578.206984645576,2181.5200540324986,1908.0096063012832,1948.9160737502834,1639.9068422708358,,,,,,
