data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,16.64285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,18.71428571428571,18.38095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,20.785714285714285,20.404761904761905,23.555555555555557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,22.857142857142854,22.42857142857143,25.555555555555564,32.32121212121212,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,24.928571428571423,24.452380952380956,27.555555555555564,34.58181818181818,56.343636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,26.999999999999996,26.47619047619048,29.555555555555564,36.842424242424244,59.00727272727272,76.7979020979021,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,29.07142857142857,28.5,31.555555555555564,39.10303030303031,61.67090909090909,80.3993006993007,85.85714285714286,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,31.14285714285714,30.523809523809526,33.555555555555564,41.36363636363636,64.33454545454545,84.0006993006993,90.53296703296704,91.50153846153846,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,33.21428571428571,32.54761904761905,35.555555555555564,43.624242424242425,66.99818181818182,87.6020979020979,95.20879120879121,97.00483516483517,98.65857142857143,,,,,,,,,,,,,,,,,,,,,,
