data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33
08/04/2020,20477.74024196552,11755.448402311977,6674.712552991121,4100.484119662567,2639.916425874685,1943.540893552529,1448.0366591020597,1020.2415062921789,692.5982426427231,465.31138353093314,337.3773553108538,,,,,,,,,,,,,,,,
09/04/2020,38232.71994641773,21592.240463091777,12052.791343712488,7291.400643182027,4626.7643059938555,3369.7406431113036,2483.7875463728838,1727.4340511806522,1155.638187022508,764.4778742455156,546.9402938579728,407.829495726077,,,,,,,,,,,,,,,
10/04/2020,71381.94240327494,39660.32024131755,21764.200034347745,12965.425980913262,8108.949106646822,5842.507373786464,4260.389774484443,2924.8255268726807,1928.24575212442,1255.9899475833276,886.6738692933905,653.0517929391835,505.1069830235483,,,,,,,,,,,,,,
11/04/2020,133272.80163183578,72847.5122501778,39300.47319554773,23054.866834635955,14211.887890853723,10129.827790316891,7307.759094386995,4952.203157509385,3217.3838856654656,2063.513937518805,1437.433956350393,1045.722903150511,800.0039697402794,609.1160281241554,,,,,,,,,,,,,
12/04/2020,,133805.27461075055,70966.41231731143,40995.71317944134,24908.00654509418,17563.24887528106,12534.849112029488,8384.88172642152,5368.38162684145,3390.225995460736,2330.3002946458273,1674.5017807115496,1267.070884209828,953.653787493431,697.0301133369559,,,,,,,,,,,,
13/04/2020,,,128146.84576778064,72897.77517023592,43654.21362841794,30451.42695810938,21500.76928261502,14196.962307466532,8957.43943388589,5569.931993828848,3777.77319036891,2681.3567964883496,2006.825823793711,1493.074397009945,1077.1363411174498,794.1788429407858,,,,,,,,,,,
14/04/2020,,,,129625.39769731798,76509.1483361157,52797.14535561585,36879.82803882307,24037.755729399432,14945.979401047462,9151.054371424578,6124.348141164859,4293.61996080956,3178.4724416241693,2337.610550329793,1664.5230602756128,1211.7229396045661,898.1443487775399,,,,,,,,,,
15/04/2020,,,,,134091.2890779266,91540.49041894545,63259.21171913233,40699.812255075776,24938.18706844753,15034.617334924338,9928.505038315108,6875.314912213847,5034.162378410174,3659.8464858524812,2572.2249936483986,1848.7932477866395,1353.2588269243386,999.1131420583117,,,,,,,,,
16/04/2020,,,,,,158714.2889961138,108507.22685348275,68911.37160414943,41610.73406921047,24700.9480255573,16095.625203484815,11009.34772373225,7973.2611553650795,5729.986245192573,3974.9172455766197,2820.8069364246862,2038.9923458753854,1486.4032619311042,1084.440087990058,,,,,,,,
17/04/2020,,,,,,,186120.2180594396,116678.10914220962,69429.79395520031,40582.132539148755,26093.470234570206,17629.117916726853,12628.296163885454,8971.070917049245,6142.529190952315,4303.862415176831,3072.2059252977297,2211.355815546343,1592.3090397816786,1245.4901049076152,,,,,,,
18/04/2020,,,,,,,,197554.929412864,115847.42246180313,66673.9381711597,42301.50617168871,28229.26537708641,20001.083734162738,14045.428724414332,9492.188775423905,6566.642845911869,4628.977282100752,3289.8841574106355,2338.025038220181,1809.623575987892,1394.131953657319,,,,,,
19/04/2020,,,,,,,,,193297.78365327098,109541.1638844564,68577.21139837851,45203.136509391836,31678.33137181544,21990.024365729838,14668.493213023632,10019.093108949637,6974.607561870489,4894.4352116881955,3432.977482872277,2629.276197271845,2003.2092916040979,1557.3473892112022,,,,,
20/04/2020,,,,,,,,,,179969.36905628457,111174.14836461257,72383.1641734918,50173.115209177166,34428.36677280248,22667.553104042803,15286.688964406843,10508.833307564766,7281.562175206768,5040.7220646702945,3820.1830553441846,2878.3842558387837,2213.769815765515,1830.733606207489,,,,
21/04/2020,,,,,,,,,,,180230.298266242,115906.17068525973,79465.72249171784,53902.279457673074,35028.680605612564,23323.753652491643,15833.948577970656,10832.9450525332,7401.411474448429,5550.500396832197,4135.911289442045,3146.8745067063865,2580.7757181955794,2121.445341444471,,,
22/04/2020,,,,,,,,,,,,185598.96567550796,125860.25453678965,84391.3320055693,54130.6094812315,35586.35134846714,23857.446419798376,16116.417835554794,10867.667590333607,8064.549318424924,5942.834824584394,4473.283125659656,3638.1062132930783,2965.036410002335,2382.2528150154317,,
23/04/2020,,,,,,,,,,,,,199341.3408368175,132126.08055410197,83649.25061836623,54296.080346452414,35946.67160062854,23976.760021454254,15957.253459251708,11717.313946401307,8539.178739749395,6358.773405061763,5128.619556470366,4144.080802314487,3298.107574921959,2588.3298174962442,
