data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,22.76008505519504,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,41.6024624628718,32.33200691292323,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,76.04386709352853,58.465110997573035,40.373667788582104,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,138.99825587725698,105.72091034015833,71.91532701536332,50.35867000607735,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,254.07065520690242,191.1723195670622,128.0986975671619,88.40277230055985,59.03669652517729,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,464.40796994077056,345.69183760394225,228.17495239780644,155.18777897592412,101.97189431263133,68.00884035347883,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,848.8771061296825,625.1053858457236,406.4351151926763,272.42637438563406,176.13226758499133,115.57704320717465,83.85472526679602,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,1551.6364661076052,1130.3614980375078,723.9598436452749,478.2343683932456,304.226727312922,196.4164194990544,140.61986769803082,102.4910752916843,,,,,,,,,,,,,,,,,,,,,
04/04/2020,2836.188778764277,2044.0027316624974,1289.5486527103483,839.5226476447466,525.4795324023735,333.79820748376466,235.81196084654735,169.62486480540937,121.18471404841789,,,,,,,,,,,,,,,,,,,,
05/04/2020,5184.182612675561,3696.115954318464,2296.9999542155247,1473.7507851566606,907.6412891553614,567.2705143671087,395.4439851821329,280.7326850495821,197.7995632417544,137.65357418478789,,,,,,,,,,,,,,,,,,,
06/04/2020,9476.008636236595,6683.588498267828,4091.5158792781394,2587.1146929069564,1567.7351047591162,964.0430333526452,663.1383109463529,464.61844226409994,322.8515042169181,221.38082352945952,173.18765827478248,,,,,,,,,,,,,,,,,,
07/04/2020,17320.905990942203,12085.755903297919,7287.9854262349845,4541.583625716996,2707.890648056861,1638.3347038452318,1112.0473086529348,768.9532013480812,526.9632150184832,356.0348455666744,275.6119681566815,203.64082984567116,,,,,,,,,,,,,,,,,
08/04/2020,31660.3536218608,21854.352013436495,12981.675530582197,7972.581148385342,4677.2389924638965,2784.253927430011,1864.8435722518211,1272.6335678413734,860.117504040003,572.5916510596836,438.6106824695156,319.99662218691645,237.1421268439553,,,,,,,,,,,,,,,,
09/04/2020,57870.9908122276,39518.645399487716,23123.523130915066,13995.569696804729,8078.821280439428,4731.6765702484645,3127.242449047903,2106.2350675662547,1403.897083651382,920.8682884435707,698.0078987970847,502.83549860132746,367.9900251054175,288.0249741662104,,,,,,,,,,,,,,,
10/04/2020,,71460.51885913948,41188.62166338432,24568.702091892643,13954.248090901836,8041.207357155132,5244.217520785449,3485.862916039927,2291.462517885452,1480.982831467448,1110.814319523519,790.1443987929181,571.0358609805035,442.2770987698413,345.6871742894389,,,,,,,,,,,,,,
11/04/2020,,,73366.95818040236,43129.44278488214,24102.65470953037,13665.561202415493,8794.27094425828,5769.175747065632,3740.1605374214323,2381.7848596007357,1767.7571479992716,1241.6151458686484,886.1162865279642,679.1391359812708,525.2442360430368,385.23858499930714,,,,,,,,,,,,,
12/04/2020,,,,75712.1327767757,41631.6207267103,23223.821334590262,14747.519746175976,9548.106050693897,6104.747835279173,3830.4962062269433,2813.2202469652752,1951.046128790507,1375.0486211178916,1042.852924793668,798.0669461153968,577.8176867178191,410.58375251355795,,,,,,,,,,,,
13/04/2020,,,,,71908.7530074991,39467.52492577008,24730.798043679522,15802.314429694261,9964.263768752366,6160.380576261882,4476.977036632311,3065.8300273916966,2133.759123022897,1601.3540747866718,1212.5994095245421,866.6662480979998,607.2309179605194,458.61085406766455,,,,,,,,,,,
14/04/2020,,,,,,67072.748335616,41472.21922085262,26153.15959093017,16263.825326166103,9907.408022671267,7124.690435508739,4817.576385384284,3311.1032767568518,2458.961193730401,1842.4486005045692,1299.908955467943,898.061322372953,670.265648612785,508.93125643131,,,,,,,,,,
15/04/2020,,,,,,,69546.68280678574,43284.023972043964,26546.06706313252,15933.550291669235,11338.278795375172,7570.231233189976,5138.070549321474,3775.860846438685,2799.4544767527705,1949.7278176162297,1328.183586980488,979.6018470248263,735.1888557421477,556.0085899234027,,,,,,,,,
16/04/2020,,,,,,,,71635.96141026885,43328.90094353023,25625.07008050945,18043.810774000973,11895.691181530421,7973.103453197818,5798.02770699268,4253.548981103146,2924.388317194183,1964.3108959008919,1431.700670742306,1062.0346987479622,793.7685117040176,620.871108739237,,,,,,,,
17/04/2020,,,,,,,,,70722.10179042305,41211.41896256123,28715.038069160517,18692.62170829511,12372.422306227381,8903.168484813676,6462.930219044044,4386.277383167104,2905.1084003582478,2092.448903428846,1534.1877022960057,1133.1991296386461,877.0811527579737,703.0020220111015,,,,,,,
18/04/2020,,,,,,,,,,66278.1037309064,45697.298738103775,29373.165543498275,19199.15308037769,13671.271176124363,9819.909727570575,6578.958467643794,4296.496463693125,3058.1409249396393,2216.247650525094,1617.7767806095824,1239.0193998322225,983.6323059815321,790.715869536415,,,,,,
19/04/2020,,,,,,,,,,,72722.97905125328,46156.33202820782,29792.66871760802,20992.937052683475,14920.573762886554,9867.751338546172,6354.283323903206,4469.512207187189,3201.533711362214,2309.569115812926,1750.3158839216592,1376.2869566188353,1095.934230221102,927.0673851617433,,,,,
20/04/2020,,,,,,,,,,,,72529.0225577926,46231.36789425913,32235.72997861233,22670.628100449474,14800.597535046152,9397.637563915907,6532.249448442142,4624.852327563768,3297.1851028217843,2472.605105233467,1925.6848066504022,1518.9676636621577,1275.4230413956107,1069.6102548783056,,,,
21/04/2020,,,,,,,,,,,,,71740.44720979047,49499.614305811236,34446.220811381085,22199.35220081136,13898.59206474197,9546.966397822296,6680.941380020994,4707.124600790894,3492.955793058577,2694.395930100502,2105.293091160944,1754.6771254810371,1460.1364410666358,1186.8526600130767,,,
22/04/2020,,,,,,,,,,,,,,76009.19284439135,52338.299712256245,33296.71230967173,20555.257645158206,13953.013907465654,9651.114146338412,6719.981231386889,4934.366650961623,3769.967651544194,2917.9416426838484,2414.0161458251287,1993.2479300820737,1605.6206586776318,1404.4628703987162,,
23/04/2020,,,,,,,,,,,,,,,79523.89412381906,49941.594718810054,30400.10203124694,20392.50888599951,13941.74847038708,9593.573907647258,6970.5932993793,5274.89517591407,4044.2746265857636,3321.1089765057673,2721.0041466221815,2172.1463720222755,1888.6118605572235,1623.1393077184503,
