data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_34,yhat_model_30_to_34,yhat_model_31_to_34,yhat_model_32_to_34,yhat_model_33_to_34,yhat_model_34_to_34
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,1.6785714285714284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,1.7857142857142856,2.178571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,1.8928571428571426,2.3571428571428568,3.857142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,1.9999999999999998,2.5357142857142856,4.285714285714285,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,2.1071428571428568,2.7142857142857144,4.714285714285713,5.571428571428571,8.32142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,2.214285714285714,2.8928571428571423,5.1428571428571415,6.142857142857142,9.357142857142856,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,2.321428571428571,3.071428571428571,5.571428571428569,6.7142857142857135,10.392857142857142,13.214285714285712,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,2.428571428571428,3.25,5.999999999999998,7.285714285714285,11.428571428571427,14.678571428571427,15.928571428571427,15.535714285714281,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,2.5357142857142856,3.428571428571428,6.428571428571427,7.857142857142856,12.464285714285712,16.142857142857142,17.607142857142854,17.214285714285708,20.64285714285714,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,2.6428571428571423,3.6071428571428568,6.857142857142855,8.428571428571427,13.499999999999996,17.607142857142854,19.28571428571428,18.892857142857135,22.857142857142854,29.964285714285715,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,2.7499999999999996,3.7857142857142856,7.285714285714284,8.999999999999998,14.535714285714285,19.07142857142857,20.96428571428571,20.571428571428566,25.071428571428562,33.35714285714286,35.678571428571416,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,2.8571428571428568,3.9642857142857144,7.714285714285713,9.57142857142857,15.57142857142857,20.53571428571428,22.642857142857135,22.24999999999999,27.285714285714278,36.75,39.499999999999986,42.607142857142854,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,2.9642857142857135,4.142857142857142,8.14285714285714,10.14285714285714,16.607142857142854,21.999999999999996,24.321428571428566,23.92857142857142,29.499999999999993,40.14285714285714,43.32142857142857,47.07142857142856,55.53571428571429,,,,,,,,,,,,,,,,,,,,,
09/04/2020,3.0714285714285707,4.321428571428571,8.57142857142857,10.714285714285712,17.642857142857142,23.46428571428571,25.999999999999996,25.60714285714285,31.714285714285708,43.53571428571429,47.14285714285714,51.53571428571427,61.5,102.28571428571433,,,,,,,,,,,,,,,,,,,,
10/04/2020,3.178571428571428,4.5,8.999999999999998,11.285714285714283,18.678571428571427,24.928571428571427,27.67857142857142,27.285714285714274,33.92857142857142,46.92857142857143,50.96428571428571,55.99999999999999,67.46428571428572,114.85714285714289,146.14285714285717,,,,,,,,,,,,,,,,,,,
