data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_42,yhat_model_38_to_42,yhat_model_39_to_42,yhat_model_40_to_42,yhat_model_41_to_42,yhat_model_42_to_42
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,21.116913762886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,23.16949197409126,23.38428166888467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,25.221168680015726,25.494197114163516,25.06600308239589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,27.27264494856976,27.603156751147502,27.180614271660932,29.039589662407145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,29.324121217123793,29.71211638813149,29.29365394078255,31.347223902300577,29.328306179301553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,31.37559748567783,31.821076025115477,31.40605921236641,33.653591592753884,31.41566357353776,33.177100438649134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,33.427073754231856,33.93003566209946,33.51709901029879,35.95995928320718,33.50301745497885,35.415162340379034,35.311246975026634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,35.47855002278589,36.038356873690525,35.62714750182866,38.26632697366049,35.59035481298288,37.65280358924603,37.54946919906741,33.99586829833062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,37.53002629133993,38.146565985311106,37.735769291437805,40.572694664113804,37.6776921709869,39.890444838113005,39.787691423108186,36.013426326183314,35.86201376366944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,39.581502559893956,40.254775096931695,39.84327676735661,42.87906235456712,39.76502952899092,42.12808608697999,42.025913647148954,38.030984354036015,37.83136879269903,43.73813493502385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,41.632978828447996,42.362984208552284,41.95078424327542,45.185430045020425,41.85236688699495,44.36572733584698,44.26413587118973,40.0485423818887,39.80072382172862,46.06287202545084,46.72324723577551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,43.68445509700203,44.471193320172866,44.058291719194244,47.49179773547373,43.93970424499897,46.60336858471396,46.502358095230505,42.0661004097414,41.77007885075822,48.38760911587783,49.06822662868683,51.43233240427224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
