data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_46,yhat_model_42_to_46,yhat_model_43_to_46,yhat_model_44_to_46,yhat_model_45_to_46,yhat_model_46_to_46
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,26.303304356992268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,26.120694912059268,26.14641972454623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,26.0486981868092,25.813852557599887,25.93659977119823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,26.033980579338685,25.71223096684144,25.5725765641118,24.90170680056692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,26.03228314788897,25.69415894332705,25.467424048214273,24.535881221730566,23.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,26.03216884418439,25.6922379844214,25.44911797796891,24.430610192076294,23.12564041832903,32.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,26.032164274232972,25.692114798620835,25.447187748889217,24.412299450840052,23.02036938867476,32.125640418329034,43.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,26.03216416477573,25.692110016704685,25.447064342295512,24.41036911084423,23.002058647438517,32.02036938867476,43.125640418329034,50.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,26.032164163197173,25.69210990419724,25.447059557205897,24.410245702659257,23.000128307442694,32.00205864743852,43.02036938867476,50.125640418329034,56.491465997165385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,26.032164163183428,25.692109902592154,25.44705944467087,24.410240917555825,23.00000489925772,32.000128307442694,43.00205864743852,50.02036938867476,56.125640418329034,65.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,26.032164163183353,25.692109902578267,25.44705944306564,24.410240805020724,23.00000011415429,32.000004899257725,43.000128307442694,50.00205864743852,56.02036938867476,65.12564041832903,81.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,26.032164163183353,25.692109902578196,25.447059443051753,24.410240803415498,23.00000000161919,32.00000011415429,43.000004899257725,50.000128307442694,56.00205864743852,65.02036938867475,81.12564041832903,102.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,26.032164163183353,25.692109902578196,25.44705944305168,24.410240803401607,23.000000000013962,32.00000000161919,43.00000011415429,50.000004899257725,56.000128307442694,65.00205864743852,81.02036938867475,102.12564041832903,119.49146599716539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,26.032164163183353,25.692109902578196,25.44705944305168,24.410240803401535,23.000000000000075,32.00000000001396,43.00000000161919,50.00000011415429,56.000004899257725,65.0001283074427,81.00205864743852,102.02036938867475,119.12564041832903,133.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,26.032164163183353,25.692109902578196,25.44705944305168,24.410240803401535,23.0,32.00000000000007,43.00000000001396,50.00000000161919,56.00000011415429,65.00000489925772,81.0001283074427,102.00205864743852,119.02036938867475,133.12564041832903,148.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,25.692109902578196,25.44705944305168,24.410240803401535,23.0,32.0,43.00000000000007,50.00000000001396,56.00000000161919,65.00000011415429,81.00000489925772,102.0001283074427,119.00205864743852,133.02036938867477,148.12564041832903,155.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,25.44705944305168,24.410240803401535,23.0,32.0,43.0,50.00000000000007,56.00000000001396,65.00000000161918,81.00000011415429,102.00000489925772,119.0001283074427,133.00205864743853,148.02036938867477,155.12564041832903,179.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,24.410240803401535,23.0,32.0,43.0,50.0,56.00000000000007,65.00000000001396,81.00000000161918,102.00000011415429,119.00000489925772,133.00012830744268,148.00205864743853,155.02036938867477,179.12564041832903,224.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,23.0,32.0,43.0,50.0,56.0,65.00000000000007,81.00000000001396,102.00000000161918,119.00000011415429,133.00000489925773,148.00012830744268,155.00205864743853,179.02036938867477,224.12564041832903,252.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,32.0,43.0,50.0,56.0,65.0,81.00000000000007,102.00000000001396,119.00000000161918,133.0000001141543,148.00000489925773,155.00012830744268,179.00205864743853,224.02036938867477,252.12564041832903,301.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,43.0,50.0,56.0,65.0,81.0,102.00000000000007,119.00000000001396,133.00000000161918,148.0000001141543,155.00000489925773,179.00012830744268,224.00205864743853,252.02036938867477,301.12564041832906,395.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,50.0,56.0,65.0,81.0,102.0,119.00000000000007,133.00000000001396,148.00000000161918,155.0000001141543,179.00000489925773,224.00012830744268,252.00205864743853,301.02036938867474,395.12564041832906,438.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,56.0,65.0,81.0,102.0,119.0,133.00000000000009,148.00000000001396,155.00000000161918,179.0000001141543,224.00000489925773,252.00012830744268,301.0020586474385,395.02036938867474,438.12564041832906,458.4914659971654,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,65.0,81.0,102.0,119.0,133.0,148.00000000000009,155.00000000001396,179.00000000161918,224.0000001141543,252.00000489925773,301.0001283074427,395.0020586474385,438.02036938867474,458.12564041832906,503.4914659971654,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,81.0,102.0,119.0,133.0,148.0,155.00000000000009,179.00000000001396,224.00000000161918,252.0000001141543,301.0000048992577,395.0001283074427,438.0020586474385,458.02036938867474,503.12564041832906,539.4914659971654,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,102.0,119.0,133.0,148.0,155.0,179.00000000000009,224.00000000001396,252.00000000161918,301.0000001141543,395.0000048992577,438.0001283074427,458.0020586474385,503.02036938867474,539.125640418329,609.4914659971654,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,119.0,133.0,148.0,155.0,179.0,224.00000000000009,252.00000000001396,301.0000000016192,395.0000001141543,438.0000048992577,458.0001283074427,503.0020586474385,539.0203693886748,609.125640418329,643.4914659971654,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,133.0,148.0,155.0,179.0,224.0,252.00000000000009,301.000000000014,395.0000000016192,438.0000001141543,458.0000048992577,503.0001283074427,539.0020586474385,609.0203693886748,643.125640418329,676.4914659971654,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,148.0,155.0,179.0,224.0,252.0,301.00000000000006,395.000000000014,438.0000000016192,458.0000001141543,503.0000048992577,539.0001283074427,609.0020586474385,643.0203693886748,676.125640418329,738.4914659971654,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,155.0,179.0,224.0,252.0,301.0,395.00000000000006,438.000000000014,458.0000000016192,503.0000001141543,539.0000048992578,609.0001283074427,643.0020586474385,676.0203693886748,738.125640418329,756.4914659971654,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,179.0,224.0,252.0,301.0,395.0,438.00000000000006,458.000000000014,503.0000000016192,539.0000001141543,609.0000048992578,643.0001283074427,676.0020586474385,738.0203693886748,756.125640418329,791.4914659971654,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,224.0,252.0,301.0,395.0,438.0,458.00000000000006,503.000000000014,539.0000000016192,609.0000001141543,643.0000048992578,676.0001283074427,738.0020586474385,756.0203693886748,791.125640418329,803.4914659971654,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,252.0,301.0,395.0,438.0,458.0,503.00000000000006,539.000000000014,609.0000000016192,643.0000001141543,676.0000048992578,738.0001283074427,756.0020586474385,791.0203693886748,803.125640418329,832.4914659971654,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,301.0,395.0,438.0,458.0,503.0,539.0000000000001,609.000000000014,643.0000000016192,676.0000001141543,738.0000048992578,756.0001283074427,791.0020586474385,803.0203693886748,832.125640418329,874.4914659971654,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,395.0,438.0,458.0,503.0,539.0,609.0000000000001,643.000000000014,676.0000000016192,738.0000001141543,756.0000048992578,791.0001283074427,803.0020586474385,832.0203693886748,874.125640418329,945.4914659971654,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,438.0,458.0,503.0,539.0,609.0,643.0000000000001,676.000000000014,738.0000000016192,756.0000001141543,791.0000048992578,803.0001283074427,832.0020586474385,874.0203693886748,945.125640418329,987.4914659971654,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,458.0,503.0,539.0,609.0,643.0,676.0000000000001,738.000000000014,756.0000000016192,791.0000001141543,803.0000048992578,832.0001283074427,874.0020586474385,945.0203693886748,987.125640418329,1007.4914659971654,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,503.0,539.0,609.0,643.0,676.0,738.0000000000001,756.000000000014,791.0000000016192,803.0000001141543,832.0000048992578,874.0001283074427,945.0020586474385,987.0203693886748,1007.125640418329,1024.4914659971653,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,539.0,609.0,643.0,676.0,738.0,756.0000000000001,791.000000000014,803.0000000016192,832.0000001141543,874.0000048992578,945.0001283074427,987.0020586474385,1007.0203693886748,1024.125640418329,1063.4914659971653,,,,,,,
