data,yhat,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,2.4999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,2.714285714285714,4.880952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,2.928571428571428,5.404761904761906,7.266666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,3.1428571428571423,5.92857142857143,8.033333333333335,10.98787878787879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,3.3571428571428563,6.452380952380953,8.8,12.109090909090911,17.072727272727278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,3.5714285714285707,6.976190476190478,9.566666666666666,13.230303030303032,18.74545454545455,22.686480186480182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,3.7857142857142847,7.500000000000002,10.333333333333332,14.351515151515153,20.41818181818183,24.766899766899762,32.05494505494505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,3.999999999999999,8.023809523809526,11.100000000000001,15.472727272727274,22.0909090909091,26.847319347319342,34.840659340659336,52.98461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,4.2142857142857135,8.54761904761905,11.866666666666667,16.593939393939394,23.763636363636373,28.927738927738922,37.62637362637362,57.41978021978022,72.42619047619047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,4.428571428571428,9.071428571428573,12.633333333333333,17.71515151515152,25.436363636363645,31.008158508158502,40.412087912087905,61.85494505494505,78.14761904761903,91.83088235294113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,4.642857142857142,9.595238095238097,13.400000000000002,18.836363636363636,27.109090909090916,33.08857808857808,43.19780219780219,66.29010989010989,83.8690476190476,98.6617647058823,110.89705882352942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,4.857142857142857,10.11904761904762,14.166666666666668,19.95757575757576,28.78181818181819,35.16899766899766,45.983516483516475,70.72527472527472,89.59047619047618,105.49264705882347,118.66911764705884,132.30581355349156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,5.07142857142857,10.642857142857146,14.933333333333334,21.078787878787878,30.454545454545467,37.24941724941724,48.76923076923076,75.16043956043956,95.31190476190474,112.32352941176465,126.44117647058823,141.07567939456484,149.32807017543854,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,5.285714285714285,11.16666666666667,15.7,22.200000000000003,32.12727272727274,39.32983682983682,51.554945054945044,79.59560439560438,101.03333333333332,119.15441176470581,134.21323529411765,149.8455452356381,158.6736842105263,171.53458646616542,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,5.499999999999999,11.690476190476193,16.466666666666665,23.32121212121212,33.80000000000001,41.4102564102564,54.34065934065933,84.03076923076922,106.75476190476189,125.98529411764697,141.98529411764707,158.61541107671135,168.01929824561398,181.73759398496242,195.7090909090909,,,,,,,,,,,,,,,,,,,,,,,,,
