data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_47,yhat_model_43_to_47,yhat_model_44_to_47,yhat_model_45_to_47,yhat_model_46_to_47,yhat_model_47_to_47
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,2.4999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,2.714285714285714,5.357142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,2.928571428571428,6.0,8.678571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,3.1428571428571423,6.642857142857142,9.785714285714286,14.142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,3.3571428571428563,7.285714285714285,10.892857142857144,16.0,23.571428571428566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,3.5714285714285707,7.928571428571429,12.0,17.857142857142858,26.714285714285705,32.53571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,3.7857142857142847,8.571428571428571,13.107142857142858,19.714285714285715,29.85714285714285,36.78571428571428,48.07142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,3.999999999999999,9.214285714285714,14.214285714285715,21.571428571428573,32.999999999999986,41.03571428571428,54.28571428571427,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,4.2142857142857135,9.857142857142856,15.321428571428573,23.42857142857143,36.142857142857125,45.28571428571428,60.49999999999998,98.57142857142858,121.85714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,4.428571428571428,10.499999999999998,16.42857142857143,25.28571428571429,39.28571428571428,49.53571428571428,66.7142857142857,110.14285714285714,137.71428571428567,152.60714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,4.642857142857142,11.142857142857142,17.53571428571429,27.142857142857142,42.428571428571416,53.78571428571428,72.92857142857142,121.71428571428572,153.57142857142856,171.5,177.60714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,4.857142857142857,11.785714285714285,18.642857142857146,29.000000000000004,45.571428571428555,58.03571428571428,79.14285714285711,133.28571428571428,169.4285714285714,190.3928571428571,198.07142857142856,204.64285714285717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,5.07142857142857,12.428571428571427,19.75,30.857142857142858,48.714285714285694,62.28571428571428,85.35714285714283,144.85714285714286,185.28571428571428,209.28571428571428,218.53571428571428,226.57142857142856,209.32142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,5.285714285714285,13.071428571428571,20.857142857142858,32.71428571428572,51.85714285714283,66.53571428571428,91.57142857142856,156.42857142857142,201.1428571428571,228.1785714285714,239.0,248.5,228.35714285714286,226.35714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
