data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_51,yhat_model_47_to_51,yhat_model_48_to_51,yhat_model_49_to_51,yhat_model_50_to_51,yhat_model_51_to_51
01/04/2020,,,,,6.0,8.0,13.0,22.0,26.0,42.00000000000007,87.00000000001396,100.00000000161918,117.00000011415429,133.00000489925773,158.5662414859584,161.43594524706293,200.02036938867477,230.12564041832903,260.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,8.0,13.0,22.0,26.0,42.0,87.00000000000007,100.00000000001396,117.00000000161918,133.0000001141543,158.566118187112,161.4340150164057,200.00205864743853,230.02036938867477,260.12564041832906,289.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,13.0,22.0,26.0,42.0,87.0,100.00000000000007,117.00000000001396,133.00000000161918,158.56611340358612,161.43389160979828,200.00012830744268,230.00205864743853,260.02036938867474,289.12564041832906,312.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,22.0,26.0,42.0,87.0,100.0,117.00000000000007,133.00000000001396,158.56611329106477,161.43388682470857,200.00000489925773,230.00012830744268,260.0020586474385,289.02036938867474,312.12564041832906,332.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,26.0,42.0,87.0,100.0,117.0,133.00000000000009,158.5661132894596,161.43388671217355,200.0000001141543,230.00000489925773,260.0001283074427,289.0020586474385,312.02036938867474,332.12564041832906,355.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,42.0,87.0,100.0,117.0,133.0,158.56611328944572,161.43388671056832,200.00000000161918,230.0000001141543,260.0000048992577,289.0001283074427,312.0020586474385,332.02036938867474,355.12564041832906,370.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,87.0,100.0,117.0,133.0,158.56611328944564,161.43388671055445,200.00000000001396,230.00000000161918,260.0000001141543,289.0000048992577,312.0001283074427,332.0020586474385,355.02036938867474,370.12564041832906,402.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,100.0,117.0,133.0,158.56611328944564,161.43388671055436,200.00000000000009,230.00000000001396,260.0000000016192,289.0000001141543,312.0000048992577,332.0001283074427,355.0020586474385,370.02036938867474,402.12564041832906,454.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,117.0,133.0,158.56611328944564,161.43388671055436,200.0,230.00000000000009,260.000000000014,289.0000000016192,312.0000001141543,332.0000048992577,355.0001283074427,370.0020586474385,402.02036938867474,454.12564041832906,468.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,133.0,158.56611328944564,161.43388671055436,200.0,230.0,260.00000000000006,289.000000000014,312.0000000016192,332.0000001141543,355.0000048992577,370.0001283074427,402.0020586474385,454.02036938867474,468.12564041832906,473.4914659971654,,,,,,,,,,,,,,,,,,,,,,,
