data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,1.9805715345436332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,2.050206798176141,4.340148901871636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,2.122290380314997,4.720687587068849,6.85253695884044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,2.196908361822049,5.134591415768208,7.610485602025783,11.271445164393194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,2.2741498500913373,5.584785800928297,8.452269786581736,12.798915962964491,19.33965082670474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,2.354107085459475,6.074452651961183,9.387162433648927,14.533384800071131,22.4830687245973,26.581426171027665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,2.4368755513573235,6.60705286401225,10.425462128007469,16.502903398860653,26.137409811813797,31.16796024682344,40.790517291489834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,2.5225540883345206,7.186350779071217,11.578606565165028,18.73932496377537,30.38571825043142,36.54588507393129,48.522359297632526,78.1592035484488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,2.6112450120930055,7.816440791801986,12.859298546653994,21.278819345341304,35.32453599045168,42.85175241691071,57.719771852458244,95.607424225282,109.7269204623787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,2.703054235670515,8.501776288137492,14.281645911475936,24.162458018469042,41.066096666087496,50.24567557976735,68.66055383383598,116.95077677354932,135.15997865227334,139.8708084964299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,2.798091395919945,9.247201121173411,15.861316945149342,27.43687833517413,47.740876082400284,58.91539486891388,81.67516089321326,143.05880844261623,166.48803914574896,172.57626954529414,168.13084853353052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,2.896469984435625,10.057983846827831,17.615712978314694,31.155037794736934,55.50055725157981,69.08104453784547,97.15668654634244,174.9951837656362,205.0774752629056,212.92912459950637,207.18949296457873,201.93518955683996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,2.998307483082851,10.939854961239629,19.564160076207532,35.37707053018233,64.52147735871665,81.00074225179792,115.57273517962057,214.06101920282953,252.61136521278755,262.71753481617907,255.32188988125006,248.54609655629463,221.58235324676454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,3.103725504292524,11.899047403094121,21.72812193061125,40.17125986311334,75.00863498866738,94.97714299539501,137.4795455846219,261.8478917883924,311.1628995474119,324.14778029877016,314.6359717366459,305.9157854009526,271.3123271074654,257.4707962275463,,,,,,,,,,,,,,,,,,,,,,,,,,,
