data,yhat,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40
30/03/2020,,43.89285714285714,48.46428571428574,79.0888888888889,95.49090909090911,107.8545454545455,133.14685314685312,145.13186813186815,154.05494505494502,165.61904761904762,180.3529411764705,189.78431372549022,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,46.28571428571428,51.14285714285717,83.72222222222223,101.19393939393942,114.3818181818182,141.3986013986014,154.21978021978023,163.78021978021974,176.19047619047618,192.0294117647058,202.18627450980395,206.88992088063299,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,48.678571428571416,53.821428571428584,88.35555555555557,106.89696969696973,120.90909090909093,149.65034965034963,163.30769230769232,173.50549450549445,186.76190476190473,203.7058823529411,214.58823529411768,219.63605091159275,225.26140350877188,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,51.07142857142856,56.500000000000014,92.9888888888889,112.60000000000004,127.43636363636367,157.90209790209786,172.3956043956044,183.2307692307692,197.33333333333331,215.38235294117635,226.99019607843138,232.3821809425525,238.39999999999998,243.30225563909784,,,,,,,,,,,,,,,,,,,,
03/04/2020,,53.46428571428571,59.178571428571445,97.62222222222223,118.30303030303034,133.9636363636364,166.15384615384613,181.4835164835165,192.9560439560439,207.9047619047619,227.05882352941165,239.39215686274514,245.1283109735122,251.53859649122802,256.7676691729324,260.2597402597402,,,,,,,,,,,,,,,,,,,
04/04/2020,,,61.857142857142875,102.25555555555557,124.00606060606066,140.49090909090913,174.40559440559437,190.5714285714286,202.68131868131863,218.47619047619045,238.7352941176469,251.79411764705884,257.874441004472,264.67719298245606,270.233082706767,273.9480519480519,280.61603613777527,,,,,,,,,,,,,,,,,,
05/04/2020,,,,106.8888888888889,129.70909090909095,147.01818181818186,182.6573426573426,199.6593406593407,212.40659340659334,229.047619047619,250.4117647058822,264.1960784313726,270.62057103543174,277.81578947368416,283.69849624060157,287.63636363636357,294.71259175606997,307.18181818181813,,,,,,,,,,,,,,,,,
06/04/2020,,,,,135.41212121212126,153.5454545454546,190.90909090909088,208.7472527472528,222.13186813186806,239.61904761904756,262.0882352941175,276.5980392156863,283.3667010663915,290.9543859649122,297.16390977443615,301.32467532467524,308.8091473743647,322.01185770750976,333.43304347826086,,,,,,,,,,,,,,,,
07/04/2020,,,,,,160.07272727272732,199.16083916083912,217.83516483516487,231.8571428571428,250.19047619047618,273.7647058823528,289.00000000000006,296.11283109735126,304.0929824561403,310.6293233082708,315.01298701298697,322.9057029926595,336.8418972332015,348.90956521739133,359.2399999999999,,,,,,,,,,,,,,,
08/04/2020,,,,,,,207.41258741258736,226.92307692307696,241.58241758241755,260.7619047619047,285.44117647058806,301.40196078431376,308.858961128311,317.23157894736835,324.09473684210536,328.70129870129864,337.00225861095424,351.67193675889325,364.3860869565217,375.28,387.26461538461535,,,,,,,,,,,,,,
09/04/2020,,,,,,,,236.01098901098902,251.30769230769224,271.33333333333326,297.11764705882337,313.8039215686275,321.6050911592707,330.37017543859645,337.56015037593994,342.3896103896103,351.098814229249,366.5019762845849,379.86260869565217,391.31999999999994,403.9353846153846,417.4220594220594,,,,,,,,,,,,,
10/04/2020,,,,,,,,,261.032967032967,281.90476190476187,308.79411764705867,326.2058823529412,334.3512211902305,343.5087719298245,351.0255639097746,356.07792207792204,365.1953698475437,381.33201581027663,395.33913043478265,407.3599999999999,420.6061538461538,434.7785917785918,449.9436234263819,,,,,,,,,,,,
11/04/2020,,,,,,,,,,292.4761904761904,320.4705882352939,338.607843137255,347.09735122119025,356.6473684210526,364.49097744360915,369.7662337662337,379.29192546583846,396.16205533596826,410.815652173913,423.39999999999986,437.276923076923,452.1351241351241,468.0459770114942,505.86896551724146,,,,,,,,,,,
12/04/2020,,,,,,,,,,,332.1470588235292,351.0098039215687,359.84348125215,369.78596491228063,377.95639097744373,383.4545454545454,393.3884810841332,410.99209486166,426.2921739130435,439.43999999999994,453.94769230769225,469.4916564916565,486.14833059660634,525.7724137931035,560.1643307378567,,,,,,,,,,
13/04/2020,,,,,,,,,,,,363.4117647058824,372.5896112831098,382.9245614035087,391.4218045112783,397.14285714285705,407.485036702428,425.82213438735164,441.76869565217385,455.4799999999999,470.6184615384615,486.8481888481889,504.2506841817185,545.6758620689656,581.6550982573228,612.6326612903224,,,,,,,,,
14/04/2020,,,,,,,,,,,,,385.33574131406954,396.0631578947368,404.8872180451129,410.8311688311687,421.58159232072273,440.6521739130434,457.2452173913043,471.52,487.2892307692307,504.2047212047212,522.3530377668308,565.5793103448276,603.1458657767889,635.5104838709676,659.9800219941351,,,,,,,,
15/04/2020,,,,,,,,,,,,,,409.2017543859648,418.3526315789475,424.51948051948045,435.67814793901744,455.482213438735,472.7217391304348,487.55999999999995,503.9599999999999,521.5612535612536,540.4553913519429,585.4827586206898,624.636633296255,658.3883064516127,683.9217375366572,707.9632352941176,,,,,,,
16/04/2020,,,,,,,,,,,,,,,431.8180451127821,438.2077922077921,449.7747035573122,470.31225296442676,488.19826086956516,503.5999999999999,520.6307692307691,538.917785917786,558.5577449370552,605.3862068965518,646.1274008157211,681.2661290322579,707.8634530791792,732.9207887700534,753.7772345301755,,,,,,
17/04/2020,,,,,,,,,,,,,,,,451.8961038961038,463.87125917560695,485.1422924901184,503.67478260869564,519.6399999999999,537.3015384615384,556.2743182743183,576.6600985221673,625.2896551724139,667.6181683351872,704.143951612903,731.8051686217011,757.8783422459892,779.5919022154314,798.167787114846,,,,,
18/04/2020,,,,,,,,,,,,,,,,,477.96781479390165,499.97233201581014,519.1513043478261,535.68,553.9723076923076,573.6308506308507,594.7624521072795,645.1931034482759,689.1089358546533,727.0217741935483,755.7468841642233,782.835895721925,805.4065699006874,824.7254901960785,842.5753753753754,,,,
19/04/2020,,,,,,,,,,,,,,,,,,514.8023715415018,534.6278260869565,551.7199999999999,570.6430769230768,590.9873829873831,612.8648056923918,665.0965517241381,710.5997033741194,749.8995967741934,779.6885997067452,807.7934491978608,831.2212375859433,851.283193277311,869.8285285285285,886.3115220483642,,,
20/04/2020,,,,,,,,,,,,,,,,,,,550.104347826087,567.7599999999999,587.313846153846,608.3439153439153,630.9671592775039,685.0000000000001,732.0904708935852,772.7774193548386,803.6303152492674,832.7510026737966,857.0359052711992,877.8408963585434,897.0816816816816,914.1906116642958,926.9328154064995,,
21/04/2020,,,,,,,,,,,,,,,,,,,,583.8,603.9846153846153,625.7004477004477,649.0695128626162,704.9034482758622,753.5812384130513,795.6552419354837,827.5720307917893,857.7085561497324,882.8505729564549,904.398599439776,924.3348348348347,942.0697012802275,955.2838384943648,968.7360323886642,
22/04/2020,,,,,,,,,,,,,,,,,,,,,620.6553846153845,643.0569800569801,667.1718664477283,724.8068965517242,775.0720059325174,818.5330645161288,851.5137463343112,882.6661096256682,908.6652406417109,930.9563025210084,951.5879879879881,969.9487908961592,983.6348615822299,997.573279352227,1010.3337711069419
