data,yhat,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_40,yhat_model_36_to_40,yhat_model_37_to_40,yhat_model_38_to_40,yhat_model_39_to_40,yhat_model_40_to_40
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,19.96428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,22.357142857142854,25.35714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,24.749999999999996,28.285714285714278,48.85714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,27.14285714285714,31.214285714285708,55.14285714285714,69.17857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,29.53571428571428,34.14285714285713,61.428571428571416,78.07142857142856,88.4285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,31.928571428571423,37.07142857142856,67.71428571428571,86.96428571428572,99.4285714285714,123.24999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,34.32142857142857,39.999999999999986,74.0,95.85714285714286,110.4285714285714,138.35714285714283,143.28571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,36.71428571428571,42.928571428571416,80.28571428571428,104.75,121.4285714285714,153.4642857142857,159.57142857142856,160.1785714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,39.10714285714285,45.85714285714285,86.57142857142856,113.64285714285714,132.4285714285714,168.57142857142853,175.85714285714283,176.9285714285714,177.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
