data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,33.461564153769196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,32.811498907335725,34.860171796857784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,32.77048932915734,29.650800368732842,35.53647907015651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,32.769396501605236,29.176073834574403,33.39181401274644,43.512835010744965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,32.76938496889536,29.161198943757324,33.22389957547435,39.45028614132228,49.425918898994915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,32.76938492268418,29.16103146997445,33.21892943197147,39.08839273804006,44.9553837593325,49.322821846808935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,32.76938492261522,29.16103078218321,33.21887464452948,39.077136980566856,44.567590487224976,44.37972967216665,54.229568344573096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,32.76938492261518,29.161030781147293,33.218874421274556,39.077010583855014,44.5556475683511,43.950314583391446,49.77169995523702,56.35604579680023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,32.76938492261518,29.16103078114672,33.218874420939265,39.07701006525104,44.55551394232543,43.93707981439754,49.389275779804684,50.6513798626289,66.07816600901434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,32.76938492261518,29.16103078114672,33.21887442093908,39.077010064470215,44.55551339479394,43.93693168878188,49.37754172222541,50.15188647394431,60.92466310414774,80.0212464110987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,32.76938492261518,29.16103078114672,33.21887442093908,39.07701006446978,44.55551339396997,43.93693108176766,49.377410605241984,50.13644845286413,60.48270617499512,72.78373561253895,85.80646157673337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,32.76938492261518,29.16103078114672,33.21887442093908,39.07701006446978,44.55551339396951,43.93693108085413,49.377410068247,50.13627549092817,60.4691481606767,72.14739582517393,77.57667759931925,91.8232564742041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,32.76938492261518,29.16103078114672,33.21887442093908,39.07701006446978,44.55551339396951,43.936931080853626,49.37741006743903,50.13627478186922,60.46899667541408,72.12770014953719,76.86107710468025,83.66552956635,102.39943083773966,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,32.76938492261518,29.16103078114672,33.21887442093908,39.07701006446978,44.55551339396951,43.936931080853626,49.37741006743858,50.13627478080197,60.46899605502,72.12747937319939,76.83901738426447,82.96143261423511,93.21986826444756,111.74717228655909,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,32.76938492261518,29.16103078114672,33.21887442093908,39.07701006446978,44.55551339396951,43.936931080853626,49.37741006743858,50.13627478080138,60.46899605408655,72.12747846795557,76.83877047377523,82.93978195344064,92.42147950531607,101.40987087501674,124.80908641789638,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,29.16103078114672,33.21887442093908,39.07701006446978,44.55551339396951,43.936931080853626,49.37741006743858,50.13627478080138,60.468996054086034,72.12747846659293,76.83876946192389,82.93953983859319,92.39686172951515,100.5110548888934,113.83518011527572,160.4286700259052,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,33.21887442093908,39.07701006446978,44.55551339396951,43.936931080853626,49.37741006743858,50.13627478080138,60.468996054086034,72.12747846659218,76.83876946040108,82.93953884671811,92.39658615749381,100.48334515440413,112.8841339119307,147.7139393853337,207.29965301395546,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,39.07701006446978,44.55551339396951,43.936931080853626,49.37741006743858,50.13627478080138,60.468996054086034,72.12747846659218,76.83876946040024,82.93953884522556,92.39658502813856,100.48303499234787,112.85484752640276,146.60656451538006,189.41849163384705,236.369623434373,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,44.55551339396951,43.936931080853626,49.37741006743858,50.13627478080138,60.468996054086034,72.12747846659218,76.83876946040024,82.93953884522473,92.3965850264389,100.48303372126855,112.85451985204377,146.572404176655,187.84708961087085,214.21329954767248,262.53666695937693,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,43.936931080853626,49.37741006743858,50.13627478080138,60.468996054086034,72.12747846659218,76.83876946040024,82.93953884522473,92.39658502643796,100.4830337193556,112.85451850939995,146.57202172525075,187.7984653103934,212.27816024134867,239.29503612836976,416.6131467737448,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,49.37741006743858,50.13627478080138,60.468996054086034,72.12747846659218,76.83876946040024,82.93953884522473,92.39658502643796,100.48303371935455,112.85451850737942,146.57202015779166,187.79792032160918,212.21841247845347,237.28264476306055,390.06178253919103,469.6999661275764,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,50.13627478080138,60.468996054086034,72.12747846659218,76.83876946040024,82.93953884522473,92.39658502643796,100.48303371935455,112.8545185073783,146.5720201554326,187.79791808709808,212.2177433530463,237.22069761030937,387.75094948575116,417.0332203254954,657.1852747030828,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,60.468996054086034,72.12747846659218,76.83876946040024,82.93953884522473,92.39658502643796,100.48303371935455,112.8545185073783,146.5720201554313,187.7979180837346,212.21774061036837,237.22000460000163,387.6796817471389,412.3470608878619,616.6487125591088,802.9860039621761,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,72.12747846659218,76.83876946040024,82.93953884522473,92.39658502643796,100.48303371935455,112.8545185073783,146.5720201554313,187.79791808373275,212.21774060624043,237.2200017605372,387.6788839171608,412.2014381347014,613.2175625098405,721.4107759194134,962.4250295338463,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,76.83876946040024,82.93953884522473,92.39658502643796,100.48303371935455,112.8545185073783,146.5720201554313,187.79791808373275,212.21774060623815,237.2200017562642,387.67888064739265,412.1998034815353,613.1128211600701,714.1444831812281,885.3768002540256,1129.293651240998,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,82.93953884522473,92.39658502643796,100.48303371935455,112.8545185073783,146.5720201554313,187.79791808373275,212.21774060623815,237.22000175626184,387.67888064247165,412.19979677556,613.111653006539,713.9185706138867,878.7556887495665,1025.185236807479,1360.0054272955556,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,92.39658502643796,100.48303371935455,112.8545185073783,146.5720201554313,187.79791808373275,212.21774060623815,237.22000175626184,387.6788806424689,412.1997967654638,613.1116482256923,713.9160341948564,878.5524576544291,1016.0477352267063,1246.2138560765056,1509.2206953789646,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,100.48303371935455,112.8545185073783,146.5720201554313,187.79791808373275,212.21774060623815,237.22000175626184,387.6788806424689,412.19979676545825,613.1116482185008,713.916023788733,878.550186518899,1015.7650880561225,1236.3401366587877,1364.3922582118419,1749.0872196216535,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,112.8545185073783,146.5720201554313,187.79791808373275,212.21774060623815,237.22000175626184,387.6788806424689,412.19979676545825,613.1116482184968,713.9160237730656,878.5501772170819,1015.7619204525525,1236.0359812115107,1351.7201131345398,1603.488045495689,1979.2576361503657,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,146.5720201554313,187.79791808373275,212.21774060623815,237.22000175626184,387.6788806424689,412.19979676545825,613.1116482184968,713.916023773057,878.550177203086,1015.7619074655477,1236.0325777406001,1351.3285763628044,1590.9143475943465,1794.2419340038982,2364.589708780856,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,187.79791808373275,212.21774060623815,237.22000175626184,387.6788806424689,412.19979676545825,613.1116482184968,713.916023773057,878.5501772030783,1015.7619074459993,1236.0325637943338,1351.3241902807947,1590.527659897292,1778.0517163832385,2169.006484706822,2576.4366531801898,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,212.21774060623815,237.22000175626184,387.6788806424689,412.19979676545825,613.1116482184968,713.916023773057,878.5501772030783,1015.7619074459885,1236.0325637733458,1351.3241723008655,1590.523335472767,1777.5514442406588,2152.0656547199856,2323.464988799806,2897.759032650838,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,237.22000175626184,387.6788806424689,412.19979676545825,613.1116482184968,713.916023773057,878.5501772030783,1015.7619074459885,1236.0325637733342,1351.3241722738032,1590.5233177565956,1777.5458399109702,2151.544111407942,2301.3122868233713,2654.183030075155,3162.069507212596,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,387.6788806424689,412.19979676545825,613.1116482184968,713.916023773057,878.5501772030783,1015.7619074459885,1236.0325637733342,1351.3241722737882,1590.5233177299365,1777.5458169367928,2151.5382766282296,2300.6276211855948,2633.205920191431,2859.6776658239196,3423.1793007667607,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,412.19979676545825,613.1116482184968,713.916023773057,878.5501772030783,1015.7619074459885,1236.0325637733342,1351.3241722737882,1590.5233177299217,1777.5458169022133,2151.5382527211354,2300.619950574,2632.561430371332,2833.242788390603,3118.235675497155,3882.9849163281383,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,613.1116482184968,713.916023773057,878.5501772030783,1015.7619074459885,1236.0325637733342,1351.3241722737882,1590.5233177299217,1777.5458169021942,2151.5382526851586,2300.6199191284954,2632.5542254624384,2832.4262273475833,3091.895047103584,3540.6109661200085,4136.166597731107,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,713.916023773057,878.5501772030783,1015.7619074459885,1236.0325637733342,1351.3241722737882,1590.5233177299217,1777.5458169021942,2151.5382526851386,2300.6199190811653,2632.554195949461,2832.4170808253834,3091.0849021323565,3510.8377962754835,3738.6952325778443,4713.104650826955,,,
