data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,15.813047743055556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,18.8186249425516,26.572587159232587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,22.39547053059075,32.23251632600387,34.42187935083004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,26.65216517241206,39.098003611030784,41.888336296450625,39.07193616398341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,31.717927399973988,47.42583144633114,50.97434395726078,47.394339034684656,46.07654198684093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,37.746536239816265,57.52747661369693,62.031199412742026,57.489430856646585,55.81684464790266,53.22969936175963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,44.92099941262023,69.7807600755403,75.48639966430164,69.73479802730071,67.61618845741215,64.33951266085441,57.249219045599915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,53.45910881486617,84.64397820572502,91.86017017604523,84.58845362436212,81.90984227697776,77.76810575808221,68.83300279843539,61.76539850295203,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,63.62005192780289,102.6730439556018,111.78557862473538,102.60596845436687,99.22508817640843,93.99944175952585,82.76064465570325,73.89817545338708,65.29763160810822,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,75.7122798532471,124.54227906783252,136.0330115274001,124.46125104982876,120.20067247014245,113.61849391817293,99.50639991523474,88.41423301233262,77.68897579346998,71.90110594031427,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,90.10287082257607,151.06963500679979,165.53996009928133,150.97175384858642,145.61036858528726,137.33232792231652,119.64048449939528,105.7817266962138,92.4317898091867,85.2410548648292,82.81612658316872,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,107.22867342267261,183.24728591691803,201.4472669683709,183.12904834126306,176.39152097763701,165.99558436451036,143.84849158891691,126.56077332335896,109.97230533766145,101.05598988283187,98.04798577025485,91.9638926781872,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,127.60956780863478,222.27873784434092,245.14323517226882,222.13591278810375,213.67962305912312,200.64127977282806,172.95473701054166,151.4215152698955,130.84143416725055,119.80509987110281,116.08134683707723,108.55561284936594,99.93321993021873,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,151.86424746781765,269.6238421783453,298.31730484664143,269.4513196958806,258.8502046902674,242.5180362658197,207.95032832092875,181.16573314584318,155.67083769298935,142.0327678920036,137.431472739114,128.14073804312258,117.51494141794426,109.55501827477066,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,327.053396901696,363.02537293523955,326.845005720029,313.5695744355283,293.1350815785341,250.02691337761024,216.75270391905852,185.21204588036093,168.3843774327473,162.70839556807294,151.25932519971093,138.18989787486018,128.4127244335248,119.48436036621358,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,441.76928141167963,396.46366506832516,379.85628842492974,354.31664124918734,300.61725758210054,259.3301384340797,220.35920437995935,199.62505120630112,192.6343468543927,178.54886595215663,162.50229668027816,150.5164077019538,139.58603893008495,131.33797443947785,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,480.9112422358698,460.15561336174983,428.2676832471575,361.4440315059124,310.27119608783636,262.17613829683194,236.6618665976569,228.0643937177382,210.76186536406757,191.0920901778101,176.42479814551902,163.06956161017987,153.0009753390383,155.854651774124,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,557.429730560258,517.653384462106,434.5784701850255,371.21877041779874,311.92855177367306,280.57019278409706,270.01087049733167,248.7865921458395,224.71182053734034,206.79280004025173,190.5038793819153,178.23709064040955,181.7225744345764,194.09223283254624,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,625.6951830064368,522.5109015121966,444.1384738514072,371.12233799652694,332.62491423147065,319.6723039413074,293.6715725334086,264.2464282128065,242.38804634037592,222.5536617699092,207.63567297241815,211.88391673409694,227.03791942964565,231.28367604248163,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,628.2355453155533,531.3820304211622,441.5491591803459,394.33744714511363,378.4676584276762,346.65450324464905,310.73654539514047,284.11030266657394,259.99540024011236,241.88328330430335,247.05127753263648,265.57588681775815,270.7830443550907,265.6957322053851,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,635.7631209157231,525.3406761376218,467.4996236533047,448.0768796974886,409.19638078392387,365.40588759196186,333.014211302905,303.7362207767361,281.7797245747934,288.0555290428326,310.65538230892156,317.02824152943293,310.7935672579801,364.20385107603005,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,625.0330688366491,554.2357179067359,530.488895546684,483.0217882053336,429.6934643367428,390.335950118092,354.83586142883183,328.2567199220495,335.86544720937405,363.3867807574205,371.17134186380224,363.5460782421362,429.48150107828974,452.31671310744093,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,657.0641246791588,628.0584449890285,570.1664502362192,505.2914568795614,457.5244802871406,414.53234729120857,382.3996717172667,391.6106002338846,425.06893473980966,434.5611746018064,425.25253071126383,506.45911410188495,534.7343944195363,598.8104331449754,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,743.5733596563542,673.0333680864408,594.1897598781735,536.2781726835253,484.2719849645859,445.4730095523961,456.608036014915,497.2211672208633,508.7769263732541,497.43272091051944,597.2337192937882,632.1695933161493,711.9388176080571,765.2928941933781,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,794.4590818525219,698.728359518327,628.5877387725526,565.7444031907852,518.9497191472317,532.3933990266844,581.6206947322786,595.6674823677165,581.8644075288242,704.2782043601176,747.3586866379151,846.4396275714947,913.1095269735583,944.9227679302098,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,821.6589267631814,736.7865511997355,660.9234886158112,604.545741780378,620.7572118111556,680.3464028525457,697.3974863199423,680.6270969250786,830.5086821340673,883.5366528200286,1006.3505815436554,1089.477002303375,1129.3025354526103,1138.7662116515246,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,863.6096260624427,772.1152084588738,704.2600475925838,723.7871782783807,795.8300522429985,816.5012667673761,796.1532602347942,979.3639315116147,1044.5279232495598,1196.4722113482476,1299.9099269964358,1349.6597392538301,1361.512924965654,1371.0780956032613,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,902.0134787190678,820.4213186159385,843.9175082826902,930.9161765206854,955.9459730069664,931.2882438065279,1154.899076890147,1234.8537878600905,1422.5119742393326,1550.9880564081404,1613.0145417876438,1627.8296860952082,1639.8140679934122,1585.2202557423182,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,955.7423317429193,983.9864288285879,1088.9321473415318,1119.205493613263,1089.3603485294673,1361.8960581313745,1459.8593713497992,1691.25559094603,1850.5620283083638,1927.7569274288617,1946.2389510548858,1961.2232054556844,1892.9185272381064,1829.5595317143557,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,1147.303240679427,1273.7701325007442,1310.346998998216,1274.262804067756,1605.993900478457,1725.8637460318462,2010.7707532203606,2207.998834335054,2303.9139914581233,2326.9301985082975,2345.629627586121,2260.3423958164026,2181.1976992034297,2089.6404495443303,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,1489.98296580006,1534.1322639870243,1490.549656982212,1893.8423332489042,2040.3373970967023,2390.649316195165,2634.4747043586167,2753.469384294239,2782.086005315576,2805.3810165536133,2699.084864354738,2600.4201123492767,2486.2765564236,2434.080288961133,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,1796.136294588604,1743.5479344115377,2233.2829421936935,2412.1120242330703,2842.2952461742316,3143.324561580015,3290.74508786128,3326.271903615583,3355.2452422501765,3222.9891889266514,3100.216345900312,2958.1984385732753,2893.1967667075287,2743.1112713331813,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,2039.4888458432738,2633.56279048696,2851.628571690587,3379.266968056272,3750.4589750227565,3932.8576867611696,3976.902495337277,4012.8847273203537,3848.5856629118716,3696.072548333118,3519.6961413517115,3438.911842328533,3252.4438639488444,3076.02628722618,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,3105.5863278231814,3371.2304524776764,4017.684389673086,4474.861646567732,4700.263670185698,4754.798740364098,4799.423789350611,4595.613182836491,4406.451278991139,4187.772113564133,4087.5597523792344,3856.3477897115263,3637.7298470517344,3398.774375854721,
