data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_49,yhat_model_45_to_49,yhat_model_46_to_49,yhat_model_47_to_49,yhat_model_48_to_49
02/04/2020,,,,,,,3.5108113730663315,341.20265623466565,527.6742268493715,609.1533167817577,6818.8369046632315,474.9606491590798,5108280794934.724,176.14651983354415,360.62064170496,279.6116033035493,349.8266352618971,262.9456515926361,208.9426466354481,266.14245055832174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,430.91993386062813,676.2964964001351,784.4520337339429,10921.701474569416,596.19007098193,43154512887946.6,196.89589228947125,441.7628312471529,331.7478565893316,437.04301776107235,312.01918027905765,232.18617446146925,322.3268340937658,260.4362465289754,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,866.7790234402704,1010.1972299525158,17493.241848626225,748.362209304606,364567269763749.8,220.08945982641174,541.1625861149821,393.6054121192427,546.0035918383064,370.25129821443903,258.0153955123954,390.3721024547448,289.7531455308745,293.0442800621179,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,1300.9061096396515,28018.849543458367,939.3749134279783,3079846933462140.0,246.0151390840973,662.927987363452,466.99689951980525,682.1294705211641,439.3512722739451,286.7179515568672,472.7821647347145,322.3702017825514,325.86667485583183,370.69269227797673,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,44877.669704235464,1179.1418874528554,2.6018400224745892e+16,274.9947621585496,812.0914632786186,554.0729305191617,852.1933216352866,521.3473696908877,318.61348266335017,572.5895213456124,358.6589087994889,362.3653386412697,440.98712147927574,379.0275780144709,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,1480.1072190358016,2.198022060447242e+17,307.38807171044357,994.8177740283568,657.3851189371162,1064.6563281966432,618.646393071401,354.0571868055311,693.4668530458721,399.0325785384133,402.9520315530728,524.611478352931,430.33074787015715,485.67787800683504,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,1.8568785691972431e+18,343.5971866816416,1218.6587943274483,779.9608513540638,1330.0891574626305,734.1043264247695,393.4437754509576,839.8621671301566,443.95104883350905,448.0846328778982,624.0935161472323,488.57804366789003,575.8802513125264,502.9898201257815,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,384.0715940557032,1492.8656240004987,925.3919994850817,1661.6978831058884,871.1101658574873,437.21186918351606,1017.1624738492062,493.92592074132966,498.272306625351,742.440325781407,554.7093855965127,682.8354324326697,574.3398918593703,1480641775.5807288,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,1828.770925624298,1097.9401738232327,2075.981026705098,1033.6853955839258,485.84888231068516,1231.8920159749239,549.526385445395,554.081245668164,883.2292326144947,629.7919164742914,809.6548314043026,655.8111082616824,1611526658.2635906,47557964.11632216,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,1302.6616028296705,2593.5504083234887,1226.602029137958,539.8964508519836,1491.9523459019579,611.3857070862823,616.1410592542142,1050.7159299621183,715.0372219316826,960.027723928882,748.8391731367412,1753981424.2210128,50747631.05371584,131220781388704.75,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,3240.156645935697,1455.522680607709,599.9564643562784,1806.9130845699597,680.2084353537126,685.1518759511724,1249.9631179644466,811.8208814270309,1138.3285752936367,855.0634476297454,1909028821.0480042,54151225.886479855,151843586538408.3,2213238351935053.0,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,1727.1667773551144,666.6977687200402,2188.364061464921,756.7784299887948,761.8922421557479,1486.9935362336523,921.7046655844301,1349.7442969949398,976.3558394119402,2077782004.5674078,57783096.552914925,175707494871172.53,2602543383170411.5,202549867.71510288,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,740.8636146510902,2650.3417936402843,841.9677885918754,847.2279052746561,1768.9720160715615,1046.4617380459256,1600.4251380585968,1114.8537898518312,2261452530.6821423,61658553.293751396,203321881797713.38,3060326537068272.0,217406765.2192129,23609367.670475308,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,3209.8459972031474,936.7467794196905,942.1215806648785,2104.422055236548,1188.1052685132443,1897.663600603812,1272.9979404799687,2461359053.6864,65793933.1928482,235276176739491.8,3598633004178834.0,233353406.23161337,25039735.221056886,796.0186643424456,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,1042.1948923018806,1047.6438125190737,2503.483461768263,1348.9209186996366,2250.106584444798,1453.5751425140838,2678936793.4849343,70206669.04657435,272252444506812.16,4231626704505578.0,250469722.71074533,26556761.226803925,862.9996136997443,885.6632274233663,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,1164.9850512233531,2978.2188547927553,1531.5037254084762,2668.0069321827436,1659.7675673679432,2915747839.689919,74915362.85219382,315039943980411.2,4975962968574737.0,268841509.57081115,28165695.868237242,935.6166715778286,981.4291210172803,877.9154182096872,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,3542.9782870537324,1738.7999759104582,3163.5216924319916,1895.208783580177,3173492366.573164,79939864.22504555,364551974851771.4,5851226772499558.0,288560854.7256633,29872107.40673251,1014.3440880367959,1087.5500864848705,942.2012857600827,944.245193910359,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,1974.1547513505493,3751.065777891423,2164.047788363133,3454020839.390957,85301354.0750885,421845372016032.1,6880448057880551.0,309726600.6761253,31681901.455368195,1099.6960188835324,1205.1458075620153,1011.1945233839356,995.3908309833222,1071.621611799254,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,4447.731306451495,2471.0221221498723,3759347299.7162666,91022433.89555208,488143063725553.44,8090707695639193.0,332444839.9544346,33601341.41729283,1192.2298835387119,1335.4570382855713,1085.239830995128,1049.3068037789023,1139.5945887838163,1231.6411727120453,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,2821.5413545800416,4091663825.1597776,97127221.04009055,564860175008187.1,9513850037905724.0,356829446.90920377,35637070.16234571,1292.5500054513436,1479.858694205926,1164.7071493593933,1106.1431692805531,1211.8790928496462,1326.20461687279,1281.0155234722054,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,4453356267.29265,103641450.39008449,653634233528036.9,1.1187320806626658e+16,383002648.49645424,37796133.01694999,1401.3115588358098,1639.8743591394866,1249.9935083703854,1166.0581124029761,1288.748604232525,1428.028491400483,1356.384645051319,1416.1349752866622,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,110592582.84067069,756360122633166.4,1.3155152365417382e+16,411095636.9377901,40086002.146842785,1519.22484750689,1817.1923605220481,1341.5250106668398,1229.2183862466457,1370.4939500242208,1537.670240554702,1436.1881426262912,1514.8691598679063,1829.6362812555985,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875230527663480.8,1.5469122299133314e+16,441249227.31664056,42514602.41702668,1647.0599437571357,2013.6835829743045,1439.7589605012565,1295.7997761990023,1457.4244044838583,1655.7301082758745,1520.6869146932256,1620.4871792354143,2113.028171933153,1827.031818246183,,,,,,
