data,yhat,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_47,yhat_model_43_to_47,yhat_model_44_to_47,yhat_model_45_to_47,yhat_model_46_to_47,yhat_model_47_to_47
02/04/2020,,,,,,,,5.678571428571427,62.214285714285715,101.78571428571425,134.0,155.32142857142856,173.21428571428572,181.89285714285705,169.42857142857142,192.35714285714283,202.07142857142856,205.9285714285714,219.28571428571428,235.1785714285714,261.1428571428571,281.96428571428567,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,65.32142857142858,107.14285714285708,141.35714285714286,164.1428571428571,183.32142857142856,192.64285714285705,179.07142857142858,204.0,214.6785714285714,219.0,233.78571428571428,251.71428571428567,281.5,305.92857142857133,319.8928571428572,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,112.49999999999994,148.71428571428572,172.96428571428572,193.42857142857144,203.39285714285705,188.7142857142857,215.6428571428571,227.28571428571428,232.07142857142856,248.28571428571428,268.25,301.8571428571428,329.8928571428571,346.78571428571433,345.1785714285714,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,156.07142857142858,181.78571428571428,203.53571428571428,214.14285714285705,198.35714285714286,227.28571428571428,239.8928571428571,245.1428571428571,262.7857142857143,284.7857142857142,322.21428571428567,353.8571428571428,373.67857142857144,372.35714285714283,381.42857142857133,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,190.60714285714283,213.6428571428571,224.89285714285705,208.00000000000003,238.92857142857144,252.49999999999994,258.21428571428567,277.2857142857143,301.32142857142844,342.57142857142856,377.82142857142844,400.57142857142856,399.5357142857143,409.9999999999999,443.32142857142844,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,,223.75,235.64285714285705,217.64285714285714,250.57142857142856,265.10714285714283,271.2857142857142,291.7857142857143,317.8571428571428,362.92857142857133,401.7857142857142,427.46428571428567,426.7142857142857,438.57142857142844,477.21428571428555,494.0357142857142,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,,246.39285714285705,227.2857142857143,262.2142857142857,277.71428571428567,284.35714285714283,306.2857142857143,334.3928571428571,383.2857142857142,425.7499999999999,454.3571428571429,453.89285714285705,467.142857142857,511.10714285714266,530.7857142857142,537.3214285714284,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,236.92857142857142,273.85714285714283,290.32142857142856,297.4285714285714,320.7857142857143,350.92857142857133,403.6428571428571,449.71428571428567,481.25,481.0714285714285,495.71428571428555,544.9999999999998,567.5357142857142,575.7857142857142,583.8928571428571,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,285.5,302.9285714285714,310.49999999999994,335.2857142857143,367.46428571428555,423.9999999999999,473.67857142857133,508.1428571428571,508.24999999999994,524.2857142857142,578.8928571428571,604.2857142857142,614.2499999999998,624.5,639.7142857142857,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,315.5357142857142,323.5714285714285,349.7857142857143,383.9999999999999,444.3571428571428,497.642857142857,535.0357142857143,535.4285714285713,552.8571428571427,612.7857142857142,641.0357142857142,652.7142857142856,665.1071428571429,683.142857142857,682.5000000000001,,,,,,,,,,,,,,,,,
