data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_45,yhat_model_41_to_45,yhat_model_42_to_45,yhat_model_43_to_45,yhat_model_44_to_45,yhat_model_45_to_45
09/04/2020,,,,,,,55.64285714285713,58.285714285714285,67.39285714285715,102.42857142857143,158.74999999999994,200.71428571428567,214.71428571428567,212.57142857142856,204.17857142857142,264.2857142857142,325.8928571428571,380.57142857142856,389.75,368.2857142857141,331.2142857142857,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,60.92857142857142,70.5,107.57142857142857,167.4285714285714,212.35714285714283,227.5714285714285,225.39285714285717,216.28571428571425,281.4999999999999,349.21428571428567,410.5357142857142,421.8571428571429,398.07142857142844,354.7142857142857,301.17857142857144,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,73.60714285714286,112.71428571428571,176.10714285714278,223.99999999999994,240.4285714285714,238.21428571428572,228.39285714285714,298.71428571428567,372.5357142857142,440.5,453.96428571428567,427.8571428571428,378.2142857142857,314.2142857142857,285.21428571428567,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,117.85714285714285,184.78571428571422,235.6428571428571,253.28571428571422,251.03571428571428,240.49999999999997,315.92857142857133,395.8571428571428,470.46428571428567,486.07142857142856,457.642857142857,401.7142857142857,327.25,292.57142857142856,291.92857142857144,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,193.46428571428567,247.28571428571428,266.14285714285705,263.85714285714283,252.6071428571428,333.142857142857,419.17857142857133,500.42857142857133,518.1785714285714,487.4285714285712,425.2142857142857,340.2857142857143,299.92857142857144,298.42857142857144,310.85714285714283,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,258.9285714285714,278.99999999999994,276.6785714285714,264.71428571428567,350.3571428571428,442.4999999999999,530.3928571428571,550.2857142857143,517.2142857142856,448.7142857142857,353.32142857142856,307.2857142857143,304.92857142857144,319.42857142857144,346.46428571428567,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,291.8571428571428,289.5,276.82142857142856,367.57142857142844,465.82142857142844,560.3571428571429,582.3928571428572,546.9999999999999,472.2142857142857,366.35714285714283,314.6428571428571,311.42857142857144,328.0,359.49999999999994,395.14285714285717,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,302.32142857142856,288.92857142857144,384.7857142857142,489.142857142857,590.3214285714284,614.4999999999999,576.7857142857141,495.7142857142857,379.3928571428571,322.0,317.92857142857144,336.57142857142856,372.5357142857142,414.4285714285714,441.6428571428571,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,301.0357142857142,401.9999999999999,512.4642857142856,620.2857142857142,646.6071428571428,606.5714285714283,519.2142857142858,392.42857142857144,329.35714285714283,324.42857142857144,345.1428571428571,385.5714285714285,433.7142857142857,466.2857142857142,464.1785714285714,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,419.21428571428555,535.7857142857142,650.25,678.7142857142857,636.3571428571428,542.7142857142858,405.4642857142857,336.7142857142857,330.92857142857144,353.7142857142857,398.60714285714283,452.99999999999994,490.92857142857133,489.35714285714283,505.7857142857142,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,559.1071428571428,680.2142857142856,710.8214285714286,666.142857142857,566.2142857142858,418.5,344.07142857142856,337.42857142857144,362.2857142857143,411.6428571428571,472.2857142857143,515.5714285714286,514.5357142857142,533.5714285714284,562.5,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,710.1785714285713,742.9285714285714,695.9285714285712,589.7142857142858,431.5357142857142,351.42857142857144,343.92857142857144,370.85714285714283,424.6785714285714,491.5714285714285,540.2142857142857,539.7142857142856,561.3571428571429,595.1428571428571,596.2857142857142,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,775.0357142857143,725.7142857142854,613.2142857142858,444.57142857142856,358.7857142857143,350.42857142857144,379.42857142857144,437.7142857142856,510.85714285714283,564.8571428571428,564.8928571428571,589.1428571428571,627.7857142857142,629.1428571428571,653.7500000000001,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,755.4999999999997,636.7142857142858,457.6071428571429,366.1428571428571,356.92857142857144,388.0,450.74999999999994,530.1428571428571,589.5,590.0714285714284,616.9285714285713,660.4285714285713,662.0,690.7857142857143,695.4642857142858,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,660.2142857142858,470.6428571428571,373.5,363.42857142857144,396.57142857142856,463.7857142857143,549.4285714285713,614.1428571428571,615.25,644.7142857142856,693.0714285714284,694.8571428571429,727.8214285714286,734.2142857142858,734.6785714285713,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,483.67857142857144,380.85714285714283,369.92857142857144,405.1428571428571,476.8214285714285,568.7142857142856,638.7857142857142,640.4285714285713,672.5,725.7142857142856,727.7142857142858,764.8571428571428,772.9642857142858,774.2142857142856,772.4285714285713,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,388.2142857142857,376.42857142857144,413.7142857142857,489.85714285714283,588.0,663.4285714285713,665.6071428571429,700.2857142857142,758.3571428571427,760.5714285714287,801.8928571428572,811.7142857142858,813.7499999999998,810.7142857142856,822.392857142857,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,382.92857142857144,422.2857142857143,502.89285714285705,607.2857142857142,688.0714285714284,690.7857142857142,728.0714285714284,790.9999999999998,793.4285714285713,838.9285714285714,850.4642857142858,853.2857142857142,849.0,862.3571428571428,868.9999999999998,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,430.85714285714283,515.9285714285713,626.5714285714284,712.7142857142856,715.9642857142856,755.8571428571427,823.6428571428569,826.2857142857142,875.9642857142857,889.2142857142858,892.8214285714284,887.2857142857142,902.3214285714283,910.7142857142853,906.7142857142857,917.8190476190475,915.2,899.3,893.1666666666666,912.9999999999998,825.0
