data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_42,yhat_model_38_to_42,yhat_model_39_to_42,yhat_model_40_to_42,yhat_model_41_to_42
10/04/2020,,,,,,,,21120584261510.496,3184.4655983187813,2223.3840324124044,119.02900266405706,262.83271340152015,1392.0729081100271,2018.0867251584757,2761.7846980910845,1614.8289154669224,372.786870397971,322.6290931410155,376.36622348981547,20162779459775.973,1.1543582782636704e+36,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,4549.669714187075,3088.192641685878,128.35818541383975,300.4595859496308,1874.74520519049,2869.5804041235497,4161.417249794955,2303.4232207821888,426.71220722593057,354.6822059523076,429.3069285677569,23205255118748.793,1.7820879788055454e+36,311787224044260.9,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,4289.377657270969,138.4185651730142,343.4730845361406,2524.7740717520937,4080.3458013347954,6270.363341089041,3285.6474659449914,488.4380922569544,389.9197868191335,489.69441839742683,26706827111831.152,2.751171472500006e+36,363854707049674.06,52279287008.43331,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,149.26745125589906,392.64435324272864,3400.1869137966114,5801.970850701999,9448.092817707862,4686.711140649546,559.0929106963582,428.6582117782426,558.5761781427824,30736771077554.84,4.247233897044175e+36,424617295490626.7,58166612212.54817,6851.388075044476,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,448.8549323787808,4579.130932190958,8250.003159385069,14236.249645545906,6685.215484483238,639.9682738636269,471.2452887397406,637.1470351033855,35374816046773.56,6.556841678722737e+36,495527044549568.94,64716926528.4582,6975.014286102455,70796.2963996177,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,6166.849242630284,11730.936587113074,21450.975120656625,9535.920762503072,732.5426306011966,518.0633802351741,726.7698842632436,40712721814064.33,1.0122393501746073e+37,578278498044484.0,72004891121.82344,7100.87120426579,73007.8110907913,331.0565321203616,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,16680.584304300497,32322.01914715614,13602.221947789056,838.5082941822069,569.5328364097893,828.9993291521823,46856094327607.6,1.5626860495455906e+37,674849183266187.4,80113574973.09087,7228.999080336857,75288.40845264123,341.1133772832207,351.68869611308736,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,48702.35109932611,19402.47266362022,959.8023787848692,626.1157690816394,945.6086480956092,53926475013498.65,2.4124607376932846e+37,787546868325730.2,89135401706.39615,7359.43889140213,77640.24647010276,351.47572958705643,356.5796434138954,385.95658951562496,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,27676.062551215768,1098.6422110702622,688.3202007524401,1078.620553610917,62063745370003.29,3.7243352960141923e+37,919064711329763.1,99173203043.66988,7492.232353937219,80065.55053863452,362.1528697368688,361.53860929409956,394.7782307184784,458.6302980258791,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,1257.5658642078608,756.7046258215269,1230.3422785049331,71428894404620.58,5.749595498246245e+37,1072545619294241.8,110341390891.32764,7627.421937148393,82566.61556996926,373.15436036719,366.56653969052115,403.8015043215185,499.94510926640686,465.63726099477356,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,831.8830249551804,1403.4055972780502,82207203665352.47,8.876174072949931e+37,1251657354793723.5,122767261419.1107,7765.050876554814,85145.80816364365,384.49005460654786,371.6643936951588,413.03101894845474,544.98168427873,489.4007018585279,576.5187203013928,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,1600.8124770488116,94611912879328.84,1.370295809458947e+38,1460680185184205.0,136592445995.10342,7905.163187815868,87805.5688463616,396.1701049021012,376.83314373813795,422.4714885602962,594.0752908556119,514.3768917202441,639.9878136143574,602.1439703195209,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,108888438720345.69,2.1154504068853937e+38,1704609168969717.5,151974525514.83652,8047.8036808079905,90548.41438131013,408.20497211235016,382.0737757732046,432.12773486299983,647.5913987316255,540.6277222958774,710.4442356368978,661.1317434312247,614.2437800773067,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,3.2658134054708638e+38,1989273523669520.0,169088826524.76733,8193.017973955484,93376.94014961325,420.60543487606503,387.3872894657988,442.00468977014964,705.9284002658694,568.2182438976882,788.6572231730586,725.8981302104063,652.710202532374,597.3581013993427,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,2321475927742618.5,188130419612.54,8340.852508819933,96293.82260617668,433.38259926582475,392.7746983837437,452.10739792192476,769.5205762120526,597.2168266307839,875.480698503307,797.0092204440922,693.5855474779636,609.1200314650557,793.9152650193738,,,,,,
