data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_50,yhat_model_46_to_50,yhat_model_47_to_50,yhat_model_48_to_50,yhat_model_49_to_50,yhat_model_50_to_50
01/04/2020,,,,1.6126039927918268,4.15470104796901,4.617085322952555,5.9195081567553345,7.911107740821363,8.622409730032198,11.237380694246971,11.268351082501509,12.276271457155229,13.429345392265445,13.78582115169826,14.624138932450464,16.752042307009305,17.58487440031432,18.265826643485408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,4.315592451535476,4.78626402537418,6.1415031616797,8.208535571236121,8.948875242511674,11.725372406616472,11.683585569745873,12.71884966953128,13.930854738000424,14.296453040601161,15.170592942987867,17.39693367516802,18.251998998533335,18.955040630483897,18.830950477271035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,4.955442727795808,6.3634981666040655,8.50596340165088,9.275099386682074,12.213364118985977,12.098820056990235,13.161427881907331,14.4323640837354,14.80708492950406,15.717046953525271,18.041825043326735,18.919123596752357,19.64425461748238,19.518280098531086,20.608014651355766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,6.585493171528433,8.803391232065637,9.601322258828324,12.701355831355478,12.5140545442346,13.604006094283383,14.933873429470381,15.317716818406964,16.263500964062672,18.68671641148545,19.586248194971375,20.333468604480874,20.205609719791138,21.336969787409743,21.624968706573327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,9.100819062480396,9.927545130974574,13.189347543724978,12.929289031478962,14.046584306659433,15.435382775205357,15.828348707309866,16.809954974600075,19.331607779644166,20.253372793190394,21.022682591479363,20.892631338153716,22.065924923463722,22.34119382074365,22.90222518062419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,10.253768003120824,13.677339256094484,13.344523518723324,14.489162519035485,15.936892120940337,16.338980596212764,17.35640898513748,19.976499147802883,20.920497391409413,21.71189657847785,21.579420880674828,22.7948800595177,23.057418934913983,23.637584676020143,24.837520661011926,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,14.165330968463984,13.759758005967687,14.931740731411539,16.438401466675312,16.849612485115664,17.902862995674884,20.621390515961593,21.58762198962843,22.40111056547634,22.266210423195925,23.523835195571678,23.773644049084307,24.372944171416098,25.62234140171382,27.201929507669647,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,14.17499249321205,15.374318943787591,16.939910812410293,17.360244374018567,18.449317006212286,21.266281884120307,22.25474658784745,23.09032455247483,22.95299996571703,24.25279033162565,24.48986916325463,25.108303666812045,26.40716214241571,28.038071603208508,29.283914291380604,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,15.816897156163643,17.44142015814527,17.870876262921474,18.995771016749693,21.911173252279028,22.92187118606647,23.779538539473318,23.639789508238135,24.98174546767963,25.205994036367137,25.843663162208,27.1919828831176,28.87421369874736,30.145650324164407,32.526488269523654,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,17.942929503880247,18.381508151824374,19.542225027287095,22.556064620437738,23.588995784285483,24.468752526471807,24.32657905075924,25.710700603733606,25.9217336531295,26.57902265760395,27.97680362381949,29.710355794286222,31.007386356948217,33.45844527657601,35.44267571567049,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,18.89214004072727,20.088679037824495,23.200955988596448,24.25593610685374,25.157966513470303,25.013368593280344,26.43965573978758,26.637473269891863,27.3143821529999,28.761624364521378,30.546497889825083,31.86912238973202,34.390402283628354,36.43238491532315,39.02096057272371,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,20.635133048361897,23.84584735675516,24.92287497857372,25.847180500468788,25.70015813580145,27.16861087584156,27.353212886654227,28.04974164839585,29.546445105223267,31.382639985363944,32.73085842251583,35.322359290680716,37.422094114975806,40.08553570964635,42.80372185706136,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,24.49073872491389,25.5898138502937,26.53639448746728,26.38694767832255,27.897383281088352,28.06895250341659,28.78510114379181,30.331265845925156,32.21878208090281,33.59259445529963,36.25431629773306,38.41180331462847,41.15011084656898,43.931090516556964,45.930056967284635,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,26.256752722013683,27.22560847446577,27.073737220843658,28.625888424171617,28.784692120178953,29.52046063918776,31.116086586627052,33.05492417644167,34.45433048808344,37.18627330478541,39.40144013928263,42.21468598349162,45.05845917605256,47.11166185494052,49.1971880221874,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,27.914822461464258,27.760526763364755,29.354393567254878,29.500431736941316,30.25582013458371,31.900907327328937,33.89106627198053,35.316066520867246,38.11823031183776,40.3909369642781,43.27926112041425,46.18582783554816,48.293266742596415,50.42895613464844,55.44212054435712,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,28.447316305885863,30.082898710338142,30.21617135370368,30.991179629979666,32.68572806803083,34.72720836751938,36.177802553651055,39.05018731889012,41.38043378927357,44.34383625733689,47.31319649504375,49.474871630252295,51.66072424710947,56.79201764650774,62.90221542310162,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,30.811403853421396,30.931910970466035,31.72653912537562,33.47054880873272,35.56335046305824,37.03953858643486,39.982144325942464,42.36993061426904,45.40841139425952,48.44056515453935,50.65647651790819,52.89249235957051,58.141914748658344,64.41870132245218,71.010257817651,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,31.647650587228405,32.461898620771564,34.25536954943461,36.3994925585971,37.90127461921866,40.91410133299482,43.3594274392645,46.47298653118214,49.567933814034944,51.838081405564076,54.124260472031544,59.49181185080894,65.93518722180272,72.6799631700915,80.56229421086091,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,33.197258116167525,35.04019029013651,37.235634654135964,38.76301065200247,41.846058340047165,44.34892426425997,47.53756166810477,50.69530247353053,53.01968629321996,55.35602858449259,60.84170895295954,67.45167312115326,74.34966852253197,82.4024087035197,91.63973435460805,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,35.8250110308384,38.071776749674825,39.62474668478628,42.778015347099526,45.33842108925544,48.60213680502741,51.822671133026134,54.20129118087584,56.58779669695362,62.19160605511015,68.9681590205038,76.01937387497247,84.24252319617852,93.6884936212901,108.00086479683534,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,38.907918845213686,40.48646395601797,43.70997235415187,46.32791791425091,49.66671194195005,52.950039792521736,55.382896068531736,57.81956480941467,63.541503157260756,70.48464491985436,77.68907922741295,86.08263768883732,95.73725288797213,110.36317565629837,118.46472771774432,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,41.34818104747952,44.641929361204234,47.317414739246374,50.73128707887268,54.07740845201732,56.56450095618762,59.0513329218757,64.89140025941136,72.0011308192049,79.35878457985343,87.92275218149611,97.78601215465419,112.72548651576136,120.99883665665986,144.23454925964867,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,45.573886368256574,48.306911564241844,51.795862215795324,55.20477711151292,57.74610584384351,60.283101034336745,66.24129736156196,73.51761671855544,81.02848993229392,89.7628666741549,99.83477142133624,115.08779737522441,123.53294559557538,147.25799159492345,141.42085858708603,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,49.296408389237314,52.86043735271795,56.33214577100851,58.9277107314994,61.51486914679778,67.59119446371257,75.03410261790599,82.6981952847344,91.60298116681372,101.88353068801827,117.45010823468743,126.06705453449091,150.28143393019823,144.31996457389332,162.38418823407247,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.92501248964058,57.45951443050411,60.10931561915528,62.74663725925882,68.94109156586318,76.5503059912659,84.3679006371749,93.44309565947252,103.93228995470032,119.81241909415046,128.60116347340647,153.30487626547304,147.21907056070054,165.65262721401214,162.10315575393662,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5868830899997,61.29092050681116,63.97840537171985,70.29098866801378,78.06630122400449,86.03760598961537,95.28321015213132,105.98104922138235,122.17472995361348,131.135272412322,156.3283186007478,150.11817654750777,168.92106619395176,165.30396649932013,185.90740781106268,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.47252539446707,65.21017348418088,71.64088577016439,79.58229645674311,87.70731134205586,97.12332464479012,108.0298084880644,124.5370408130765,133.66938135123752,159.35176093602257,153.01728253431506,172.18950517389143,168.50477724470363,189.49492484107833,143.84427805885377,169.46409107573572,197.68517286364792,184.25184512690643,268.8839733313723,202.87929861414804,225.79078831929291
