data,yhat,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_45,yhat_model_41_to_45,yhat_model_42_to_45,yhat_model_43_to_45,yhat_model_44_to_45,yhat_model_45_to_45
05/04/2020,,,,,,,,,22.535714285714285,25.57142857142857,24.60714285714286,23.999999999999996,22.678571428571423,22.142857142857142,20.14285714285714,23.285714285714285,27.14285714285714,26.785714285714285,26.67857142857143,25.999999999999996,23.64285714285714,23.5,24.0,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,26.785714285714285,25.785714285714285,25.142857142857135,23.714285714285708,23.142857142857142,21.0,24.392857142857146,28.571428571428562,28.178571428571423,28.07142857142857,27.357142857142858,24.714285714285715,24.46428571428571,25.0,28.96428571428571,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,26.964285714285715,26.28571428571428,24.749999999999993,24.142857142857142,21.857142857142854,25.5,29.999999999999993,29.57142857142857,29.464285714285715,28.71428571428571,25.785714285714285,25.428571428571427,26.0,30.642857142857142,34.0,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,27.428571428571427,25.785714285714278,25.142857142857142,22.714285714285715,26.607142857142854,31.428571428571423,30.964285714285715,30.85714285714286,30.071428571428566,26.857142857142854,26.392857142857142,27.0,32.32142857142857,36.28571428571429,37.78571428571428,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,26.821428571428562,26.142857142857142,23.57142857142857,27.714285714285715,32.85714285714285,32.357142857142854,32.25,31.428571428571427,27.92857142857143,27.357142857142854,28.0,34.0,38.57142857142857,40.428571428571416,42.464285714285715,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,27.142857142857142,24.42857142857143,28.82142857142857,34.28571428571428,33.75,33.642857142857146,32.78571428571428,29.0,28.32142857142857,29.0,35.67857142857143,40.85714285714286,43.07142857142857,45.50000000000001,43.75,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,25.285714285714285,29.92857142857143,35.71428571428571,35.14285714285714,35.035714285714285,34.14285714285714,30.07142857142857,29.285714285714285,30.0,37.35714285714286,43.14285714285714,45.71428571428571,48.535714285714285,46.5,49.35714285714285,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,31.035714285714285,37.14285714285713,36.535714285714285,36.42857142857143,35.5,31.14285714285714,30.25,31.0,39.03571428571428,45.42857142857143,48.35714285714285,51.57142857142858,49.25,52.571428571428555,53.464285714285694,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,38.57142857142856,37.92857142857142,37.82142857142858,36.85714285714285,32.214285714285715,31.214285714285708,32.0,40.71428571428571,47.71428571428571,51.0,54.607142857142854,52.0,55.78571428571426,56.78571428571428,55.96428571428572,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,39.32142857142857,39.214285714285715,38.21428571428571,33.285714285714285,32.17857142857142,33.0,42.39285714285714,50.0,53.64285714285714,57.642857142857146,54.75,58.999999999999986,60.10714285714283,59.21428571428572,57.96428571428572,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,40.60714285714286,39.57142857142857,34.357142857142854,33.14285714285714,34.0,44.07142857142857,52.28571428571428,56.28571428571428,60.67857142857142,57.5,62.214285714285694,63.428571428571416,62.46428571428572,61.07142857142857,72.07142857142856,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,40.92857142857143,35.42857142857143,34.107142857142854,35.0,45.75,54.57142857142857,58.928571428571416,63.714285714285715,60.249999999999986,65.42857142857142,66.74999999999997,65.71428571428572,64.17857142857143,76.85714285714283,88.67857142857144,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,36.5,35.07142857142857,36.0,47.428571428571416,56.85714285714285,61.571428571428555,66.75,62.999999999999986,68.64285714285714,70.07142857142856,68.96428571428572,67.28571428571429,81.64285714285711,95.5,102.0,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,36.035714285714285,37.0,49.10714285714285,59.14285714285714,64.21428571428571,69.78571428571428,65.74999999999999,71.85714285714283,73.39285714285714,72.21428571428572,70.39285714285715,86.42857142857142,102.32142857142856,110.0,124.85714285714283,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,38.0,50.78571428571428,61.428571428571416,66.85714285714285,72.82142857142856,68.49999999999999,75.07142857142856,76.7142857142857,75.46428571428572,73.49999999999999,91.2142857142857,109.14285714285711,118.0,135.57142857142856,152.75000000000006,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,52.46428571428571,63.71428571428571,69.49999999999999,75.85714285714286,71.24999999999999,78.28571428571428,80.03571428571428,78.71428571428572,76.60714285714285,95.99999999999997,115.96428571428572,126.0,146.28571428571428,166.64285714285717,183.96428571428567,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,65.99999999999999,72.14285714285714,78.89285714285714,73.99999999999999,81.49999999999997,83.35714285714283,81.96428571428572,79.71428571428571,100.78571428571428,122.78571428571428,134.0,157.0,180.53571428571428,200.92857142857144,204.6428571428571,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,74.78571428571428,81.92857142857142,76.75,84.7142857142857,86.67857142857142,85.21428571428572,82.82142857142857,105.57142857142856,129.60714285714283,142.0,167.71428571428572,194.4285714285714,217.8928571428571,222.28571428571422,242.7499999999999,249.95238095238085,251.9999999999999,254.0999999999999,256.5,288.0,210.0
