data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_47,yhat_model_43_to_47,yhat_model_44_to_47,yhat_model_45_to_47,yhat_model_46_to_47
05/04/2020,,,,,,,,26.144987914914743,28.76338836806702,27.468320549534486,177407377.75366822,85.45547967367371,180.36203299174176,12.71083244033499,15.149457655946279,67.2972800358508,44.86794399504774,18.690402879453583,18.97975099221061,33.967617395537076,27.805275102877882,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,32.20024125131346,30.70656893050946,610827718.5414003,104.55170727681404,239.3352621797644,12.976321744798279,15.57140159169392,83.68776711225867,53.35297425473548,19.09441948493823,19.403049492660802,41.517660578623286,32.60822920949337,21.818727493036103,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,34.326575364656144,2103128440.670373,127.91525524447022,317.5910515783514,13.247356285666445,16.005097544507617,104.07021443518434,63.44261867984526,19.507169418353804,19.835788665992155,50.74586538849337,38.24082330581956,22.073588339184976,27.494047034803128,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,7241238574.632244,156.49971626897155,421.434247189552,13.524051885484003,16.450872832529477,129.41687783421304,75.44032776390165,19.928841461586273,20.278179064106826,62.0252398169319,44.84636555122009,22.331426171545374,29.17887332439369,28.76592292488937,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,191.4717767279552,559.2311994357558,13.806526785964083,16.909063890393313,160.93680943443093,89.70693788421649,20.35962847727992,20.730435934769655,75.81170101042856,52.59291849105122,22.59227576378708,30.966945222842874,29.4032388837755,2414.731640981833,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,742.0838161775936,14.094901698517235,17.38001652313792,200.13353021940353,106.6715236146328,20.799727497048064,21.19277932633829,92.66250363655448,61.677575014350424,22.856172295765177,32.86458958759255,30.054674731410252,2475.1680196781354,1167334548058310.2,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,14.389299855835652,17.864086167192365,248.8767489478504,126.84430233204083,21.249339811590573,21.665434194829054,113.25876435635371,72.33147292060055,23.123151358264696,34.87852098385768,30.720543297333666,2537.1170119534927,1390814602890116.0,596108.3498013502,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,18.36163815863026,309.49154846240816,150.83197922838224,21.708671062759386,22.14863051337071,138.4329928515736,84.82567567947162,23.393248957800544,37.01586544323296,31.401164341899655,2600.6164757982233,1657078737907589.0,629260.917323827,606467538871045.6,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,384.8692936346975,179.35599423612751,22.17793133761416,22.64260338409925,169.20274222264865,99.4780690056928,23.66650152147362,39.284185678219146,32.09686470982991,2665.7052167198763,1974317740063557.5,664257.2649807355,718498462503970.6,1171445713.118086,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,213.2742196515353,22.657335264511026,23.147593152548332,206.81173892094074,116.66144871624346,23.942945901883594,41.69150784188747,32.807978487169706,2732.4230114578813,2352290479359859.5,701199.9346093498,851224521565595.0,1288213644.5297036,79284.44074330006,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,23.14710211126842,23.663845524590837,252.78015470471624,136.81300564643908,24.222619382099086,44.24634992736753,33.534847161721245,2800.8106322917283,2802624110093297.0,740197.1709115081,1008468666153300.0,1416620826.1886554,82657.0411979208,62.27048157352073,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,24.191611685988597,308.96605263285807,160.4454489463783,24.5055596806859,46.95775190764665,34.27781978703131,2870.909871957544,3339171744049988.0,781363.2386184407,1194760048432939.5,1557827440.9009764,86173.10528449598,70.55460482903861,62.05824923807015,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,377.64049076970116,188.16005076396704,24.79180495679399,49.83530772232635,35.037253150012205,2942.7635691882765,3978438598350124.0,824818.7572947209,1415464477222031.5,1713109316.7346237,89838.73565703703,79.94080239614803,63.58297764218813,98.6893985128686,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,220.66194420591464,25.08139381530387,52.889199224516844,35.813511942276286,3016.4156348931147,4740089727054528.0,870691.0547623396,1676938971055571.8,1883869454.3637304,93660.29456416826,90.57568819533371,65.14516757212849,117.33408467878019,91.29418404322611,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,25.374365312033078,56.13023220798635,36.606968935266515,3091.9110789921215,5647554955314789.0,919114.5401804595,1986714861374657.0,2071650703.4410503,97644.41489175877,102.62538085874435,66.74573943175672,139.50117879796352,98.37682102586882,100.01977814588398,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,59.56987464204229,37.4180051592671,3169.2960379224987,6728749624982305.0,970231.097874002,2353714719816194.5,2278149702.53197,101798.01167528596,116.27809853003048,68.38563623862677,165.85614435308943,106.00893163767662,103.52715095753814,127.63459215711262,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,38.24701008638005,3248.6178028332756,8016933323170446.0,1024190.503065011,2788509357828120.0,2505232208.5600023,106128.29410191163,131.74709886211772,70.06582417958386,197.19016610972477,114.2331442485473,107.15751608399216,136.98822383325916,259.5415261318523,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,3329.9248484856657,9551733009879936.0,1081150.860724919,3303622301050239.0,2754949954.26814,110642.77802310242,149.27401013615517,71.78729318001791,234.4439017441596,123.09539435327731,110.91518647123503,147.02733132011156,355.5504334124705,195.45311496028592,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,1.1380362018022772e+16,1141279.0688335816,3913890508331295.5,3029559186.006387,115349.29899951167,169.13260553425428,73.55105748710332,278.73572069735434,132.64518113954958,114.80462630643798,157.80214933968279,487.07469892726806,222.45467451184766,215.66173004326973,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,1204751.3074024655,4636891725284686.0,3331541049.337829,120256.02590076452,191.63307952076738,75.35815626736836,331.39527799472404,142.93584396056224,118.83045632149773,169.36659403827,667.2520690190441,253.18645968997296,237.5043548083246,308.4516916262113,,,,,,
