data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46
06/04/2020,,,,,,,,,11.30238095238095,12.191176470588232,13.56372549019608,15.170622635018916,16.094736842105263,16.557894736842105,17.63203463203463,19.077357425183514,19.983201581027668,20.726811594202896,21.13538461538461,21.300854700854693,21.978632478632484,22.537766830870282,23.580295566502464,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,12.619117647058818,14.046568627450984,15.718610251117987,16.680701754385964,17.16315789473684,18.282683982683977,19.789949181253526,20.73517786561265,21.51159420289855,21.93846153846153,22.111452991452982,22.820512820512825,23.40585659551177,24.498029556650252,25.66347793845012,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,14.529411764705884,16.266597867217058,17.266666666666666,17.768421052631577,18.93333333333333,20.502540937323545,21.48715415019763,22.296376811594204,22.741538461538454,22.92205128205127,23.662393162393165,24.27394636015326,25.415763546798033,26.635001853911746,27.622177419354838,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,16.81458548331613,17.852631578947367,18.373684210526314,19.583982683982683,21.215132693393564,22.23913043478261,23.081159420289854,23.544615384615376,23.732649572649564,24.50427350427351,25.14203612479475,26.33349753694582,27.60652576937337,28.63790322580645,29.99615102639297,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,18.43859649122807,18.97894736842105,20.23463203463203,21.927724449463575,22.99110671936759,23.865942028985508,24.3476923076923,24.543247863247853,25.34615384615385,26.01012588943624,27.2512315270936,28.578049684834994,29.653629032258063,31.070931085044,32.09336007130124,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,19.58421052631579,20.88528138528138,22.640316205533594,23.74308300395257,24.650724637681158,25.15076923076922,25.353846153846142,26.188034188034194,26.878215654077728,28.16896551724139,29.54957360029662,30.669354838709676,32.145711143695024,33.2113413547237,34.93200916730328,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,21.535930735930734,23.352907961603613,24.49505928853755,25.43550724637681,25.95384615384615,26.16444444444443,27.029914529914535,27.746305418719217,29.08669950738917,30.521097515758242,31.68508064516129,33.220491202346054,34.32932263814616,36.12070282658517,37.817927170868344,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,24.06549971767363,25.24703557312253,26.220289855072462,26.756923076923073,26.975042735042724,27.871794871794876,28.614395183360706,30.00443349753695,31.49262143121986,32.700806451612905,34.29527126099708,35.44730392156862,37.30939648586707,39.07450980392157,40.396996996997004,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,25.99901185770751,27.005072463768116,27.559999999999995,27.785641025641013,28.713675213675216,29.482484948002195,30.92216748768474,32.464145346681484,33.71653225806452,35.37005131964811,36.56528520499108,38.498090145148964,40.331092436974785,41.705105105105105,42.931247036510186,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,27.789855072463766,28.36307692307691,28.596239316239306,29.555555555555564,30.350574712643684,31.83990147783252,33.43566926214311,34.73225806451613,36.44483137829913,37.68326648841354,39.68678380443086,41.58767507002801,43.01321321321322,44.2859174964438,47.61155487471275,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,29.16615384615384,29.40683760683759,30.397435897435905,31.218664477285174,32.7576354679803,34.40719317760473,35.747983870967744,37.51961143695016,38.801247771836,40.875477463712755,42.844257703081226,44.32132132132132,45.64058795637742,49.08939708939708,52.905937921727414,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,30.217435897435884,31.239316239316246,32.08675424192666,33.67536945812809,35.378717093066356,36.76370967741936,38.59439149560119,39.91922905525846,42.064171122994644,44.10084033613445,45.629429429429436,46.99525841631104,50.5672393040814,54.52172739541163,58.43067542213884,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,32.081196581196586,32.95484400656815,34.59310344827587,36.35024100852798,37.77943548387097,39.669171554252216,41.03721033868092,43.25286478227654,45.35742296918767,46.93753753753754,48.349928876244654,52.04508151876571,56.13751686909585,60.1844277673546,65.57247386759583,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,33.82293377120964,35.51083743842365,37.321764923989605,38.79516129032258,40.743951612903246,42.15519162210338,44.441558441558435,46.614005602240894,48.24564564564565,49.704599336178276,53.52292373345003,57.75330634278005,61.93818011257036,67.51202090592335,74.2503038651649,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,36.42857142857144,38.29328883945123,39.810887096774195,41.818731671554275,43.27317290552584,45.63025210084033,47.87058823529411,49.55375375375375,51.05926979611189,55.00076594813436,59.36909581646427,63.691932457786116,69.45156794425088,76.41698403695,84.77786167321051,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,39.26481275491285,40.82661290322581,42.89351173020529,44.3911541889483,46.818945760122226,49.127170868347335,50.86186186186187,52.41394025604551,56.478608162818674,60.98488529014847,65.44568480300188,71.3911149825784,78.58366420873512,87.22017517366355,95.5492600422833,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,41.84233870967742,43.96829178885632,45.50913547237076,48.00763941940412,50.38375350140055,52.16996996996997,53.76861071597913,57.95645037750299,62.600674763832686,67.19943714821764,73.33066202090593,80.75034438052022,89.66248867411657,98.26025369978858,109.01422924901186,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,45.04307184750735,46.62711675579322,49.19633307868601,51.640336134453776,53.478078078078084,55.12328117591275,59.43429259218732,64.2164642375169,68.9531894934334,75.27020905923345,82.91702455230532,92.10480217456961,100.97124735729388,112.06482213438738,124.36133209990747
