data,yhat,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,6.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,7.285714285714286,7.3690476190476195,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,7.999999999999999,8.095238095238095,7.7666666666666675,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,8.714285714285712,8.821428571428573,8.45,7.957575757575757,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,9.428571428571427,9.547619047619047,9.133333333333333,8.58181818181818,8.036363636363639,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,10.142857142857142,10.273809523809526,9.816666666666666,9.206060606060605,8.600000000000001,8.796037296037296,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,10.857142857142858,11.0,10.5,9.830303030303028,9.163636363636364,9.37995337995338,9.64835164835165,,,,,,,,,,,,,,,,,,,,
03/04/2020,,11.57142857142857,11.726190476190478,11.183333333333334,10.454545454545453,9.72727272727273,9.963869463869463,10.258241758241759,10.56043956043956,,,,,,,,,,,,,,,,,,,
04/04/2020,,12.285714285714285,12.452380952380953,11.866666666666667,11.078787878787878,10.290909090909093,10.547785547785546,10.868131868131869,11.197802197802197,11.220238095238095,,,,,,,,,,,,,,,,,,
05/04/2020,,13.0,13.17857142857143,12.55,11.703030303030301,10.854545454545455,11.13170163170163,11.478021978021978,11.835164835164834,11.859523809523807,11.973529411764705,,,,,,,,,,,,,,,,,
06/04/2020,,13.714285714285712,13.904761904761905,13.233333333333334,12.327272727272726,11.418181818181822,11.715617715617714,12.087912087912088,12.472527472527473,12.498809523809523,12.62205882352941,12.794117647058826,,,,,,,,,,,,,,,,
07/04/2020,,14.428571428571427,14.630952380952383,13.916666666666668,12.95151515151515,11.981818181818184,12.299533799533798,12.697802197802197,13.10989010989011,13.138095238095236,13.270588235294117,13.455882352941181,13.903680770553834,,,,,,,,,,,,,,,
08/04/2020,,15.142857142857142,15.357142857142858,14.600000000000001,13.575757575757574,12.545454545454547,12.883449883449881,13.307692307692307,13.747252747252746,13.777380952380952,13.919117647058822,14.117647058823533,14.598211214310284,15.682456140350876,,,,,,,,,,,,,,
09/04/2020,,15.857142857142854,16.083333333333336,15.283333333333335,14.199999999999998,13.109090909090913,13.467365967365966,13.91758241758242,14.384615384615385,14.416666666666664,14.567647058823528,14.779411764705888,15.292741658066735,16.45263157894737,17.114285714285717,,,,,,,,,,,,,
10/04/2020,,16.57142857142857,16.809523809523814,15.966666666666669,14.824242424242422,13.672727272727276,14.05128205128205,14.52747252747253,15.021978021978022,15.05595238095238,15.216176470588234,15.441176470588239,15.987272101823184,17.222807017543857,17.92857142857143,20.309090909090898,,,,,,,,,,,,
11/04/2020,,,17.53571428571429,16.650000000000002,15.448484848484847,14.236363636363638,14.635198135198133,15.137362637362639,15.659340659340659,15.695238095238093,15.864705882352936,16.102941176470594,16.681802545579636,17.99298245614035,18.742857142857147,21.27532467532467,23.72670807453416,,,,,,,,,,,
12/04/2020,,,,17.333333333333336,16.07272727272727,14.800000000000004,15.219114219114216,15.747252747252748,16.296703296703296,16.334523809523805,16.513235294117642,16.76470588235295,17.376332989336085,18.763157894736842,19.55714285714286,22.241558441558432,24.843026538678714,26.762845849802368,,,,,,,,,,
