data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_36,yhat_model_32_to_36,yhat_model_33_to_36,yhat_model_34_to_36,yhat_model_35_to_36,yhat_model_36_to_36
09/04/2020,36.51428571428571,42.57142857142856,41.28571428571428,33.64285714285714,39.14285714285714,43.57142857142856,48.285714285714285,55.75,63.571428571428555,62.964285714285715,56.71428571428571,55.78571428571428,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,38.37142857142857,44.85714285714285,43.49999999999999,35.28571428571428,41.21428571428571,45.99999999999999,51.14285714285714,59.35714285714285,68.14285714285712,67.57142857142856,60.428571428571416,59.28571428571428,58.07142857142858,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,40.22857142857143,47.14285714285713,45.71428571428571,36.92857142857143,43.28571428571428,48.42857142857142,53.99999999999999,62.96428571428571,72.7142857142857,72.17857142857142,64.14285714285714,62.78571428571428,61.285714285714285,65.46428571428572,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,42.08571428571428,49.428571428571416,47.92857142857142,38.57142857142857,45.35714285714285,50.85714285714285,56.857142857142854,66.57142857142857,77.28571428571426,76.78571428571428,67.85714285714285,66.28571428571428,64.5,69.21428571428572,79.10714285714286,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,51.71428571428571,50.14285714285714,40.21428571428571,47.428571428571416,53.28571428571428,59.7142857142857,70.17857142857142,81.85714285714285,81.39285714285714,71.57142857142856,69.78571428571428,67.71428571428572,72.9642857142857,84.5,91.53571428571429,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,52.35714285714285,41.85714285714285,49.49999999999999,55.71428571428571,62.57142857142856,73.78571428571428,86.42857142857142,86.0,75.28571428571428,73.28571428571428,70.92857142857142,76.7142857142857,89.89285714285714,98.35714285714285,100.07142857142856,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,43.5,51.57142857142856,58.14285714285713,65.42857142857142,77.39285714285714,90.99999999999999,90.60714285714286,78.99999999999999,76.78571428571428,74.14285714285714,80.4642857142857,95.28571428571428,105.17857142857143,107.42857142857142,121.64285714285717,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,53.64285714285713,60.57142857142856,68.28571428571428,81.0,95.57142857142856,95.21428571428572,82.7142857142857,80.28571428571428,77.35714285714286,84.2142857142857,100.67857142857142,111.99999999999999,114.78571428571428,131.28571428571428,135.21428571428567,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,62.99999999999999,71.14285714285714,84.60714285714285,100.14285714285712,99.82142857142858,86.42857142857142,83.78571428571428,80.57142857142856,87.9642857142857,106.07142857142858,118.82142857142857,122.14285714285714,140.92857142857144,145.71428571428567,157.8928571428571,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,74.0,88.21428571428571,104.71428571428568,104.42857142857142,90.14285714285712,87.28571428571428,83.78571428571428,91.7142857142857,111.46428571428572,125.64285714285712,129.5,150.57142857142856,156.21428571428567,170.35714285714283,185.71428571428572,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,91.82142857142857,109.28571428571426,109.03571428571428,93.85714285714283,90.78571428571428,87.0,95.4642857142857,116.85714285714286,132.46428571428572,136.85714285714283,160.21428571428572,166.71428571428567,182.8214285714285,200.85714285714283,227.46428571428578,,,,,,,,,,,,,,
