data,yhat,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_43,yhat_model_39_to_43,yhat_model_40_to_43,yhat_model_41_to_43,yhat_model_42_to_43,yhat_model_43_to_43
28/03/2020,,18.428571428571423,21.5,36.35714285714285,58.642857142857146,80.28571428571428,118.78571428571425,145.99999999999997,162.21428571428572,168.0,180.24999999999997,208.78571428571428,227.78571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,19.321428571428566,22.571428571428573,38.39285714285713,62.285714285714285,85.64285714285714,127.42857142857139,157.28571428571425,175.28571428571428,181.85714285714283,195.7142857142857,228.25,250.42857142857144,252.53571428571425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,20.214285714285708,23.642857142857142,40.428571428571416,65.92857142857143,91.0,136.07142857142853,168.57142857142853,188.35714285714283,195.71428571428567,211.17857142857142,247.71428571428572,273.07142857142856,276.21428571428567,279.3571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,21.10714285714285,24.714285714285715,42.4642857142857,69.57142857142857,96.35714285714286,144.71428571428567,179.8571428571428,201.4285714285714,209.57142857142856,226.64285714285714,267.17857142857144,295.71428571428567,299.8928571428571,304.0,296.85714285714283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,25.78571428571429,44.49999999999999,73.21428571428572,101.7142857142857,153.3571428571428,191.14285714285708,214.5,223.4285714285714,242.10714285714286,286.64285714285717,318.3571428571429,323.57142857142856,328.6428571428571,320.5714285714285,315.92857142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,46.53571428571428,76.85714285714286,107.07142857142856,161.99999999999994,202.42857142857136,227.57142857142856,237.28571428571422,257.57142857142856,306.10714285714283,341.0,347.2499999999999,353.2857142857142,344.28571428571416,338.42857142857144,339.57142857142856,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,80.5,112.42857142857142,170.64285714285708,213.71428571428564,240.6428571428571,251.1428571428571,273.0357142857142,325.57142857142856,363.6428571428571,370.92857142857133,377.92857142857144,367.99999999999994,360.92857142857144,361.57142857142856,375.24999999999994,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,117.78571428571428,179.28571428571422,224.99999999999997,253.71428571428572,264.99999999999994,288.5,345.0357142857143,386.28571428571433,394.6071428571428,402.57142857142856,391.7142857142856,383.42857142857133,383.57142857142844,399.64285714285717,438.7857142857142,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,187.92857142857136,236.28571428571425,266.7857142857143,278.8571428571428,303.96428571428567,364.49999999999994,408.92857142857144,418.2857142857142,427.21428571428567,415.4285714285713,405.92857142857133,405.57142857142844,424.0357142857143,470.1428571428571,477.07142857142856,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,247.57142857142853,279.85714285714283,292.71428571428567,319.42857142857144,383.9642857142857,431.57142857142856,441.96428571428567,451.8571428571428,439.14285714285705,428.42857142857133,427.57142857142844,448.4285714285714,501.5,510.0,499.3214285714285,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,292.9285714285714,306.5714285714285,334.8928571428571,403.4285714285714,454.21428571428567,465.642857142857,476.5,462.8571428571427,450.92857142857133,449.57142857142844,472.8214285714285,532.8571428571429,542.9285714285713,531.2142857142858,538.6071428571429,,,,,,,,,,,,,,,,,,,,,
