data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_48,yhat_model_44_to_48,yhat_model_45_to_48,yhat_model_46_to_48,yhat_model_47_to_48,yhat_model_48_to_48
04/04/2020,,,,,52.19585350790599,69.87102708226584,72.5565120549457,75.60430917203531,93.88550531353202,103.53510377768123,101.88268906587078,97.44046188076567,106.54557373185052,84.21587131375463,115.68202151480838,82.65803742589026,125.71406830489977,100.06918612723034,92.37383327771687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,72.38935397404416,75.17010210976618,78.3183738272597,97.26040014962493,107.27987292539474,105.52943924711774,100.91663128395075,110.37032998792878,87.23627286445178,119.86153351676711,85.61256152900636,130.26904394241444,103.67455026053659,95.67093039424992,114.82490596575846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,77.78369216458667,81.03243848248405,100.63529498571786,111.02464207310825,109.1761894283647,104.39260948790715,114.19508624400709,90.25667441514891,124.04104551872587,88.56708563212247,134.82401957992914,107.27991439384284,98.96802751078297,118.81478558941416,120.42833217657864,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,83.74523970235364,104.00921986530783,114.76941122082177,112.82293960961167,107.8675957594213,118.01984250008537,93.27707596584604,128.2205575206846,91.52160973523858,139.37899521744384,110.88527852714908,102.26512462731603,122.80466521306984,124.45310282841518,117.49289390407975,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,107.38307513286975,118.51418036853529,116.46968979085862,111.34258203093543,121.84459875616363,96.29747751654317,132.40006952264335,94.47555727403672,143.93397085495852,114.49064266045534,105.56222174384908,126.79454483672556,128.47787348025173,121.31708015289604,140.02969599939286,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,122.25894951624879,120.11643997210561,114.81756830244959,125.66935501224192,99.3178790672403,136.57958152460208,97.42928291696806,148.4889464924732,118.09600679376156,108.85931886038216,130.78442446038127,132.50264413208825,125.14126640171231,144.44575507562215,110.47639117461952,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,123.76319015335257,118.29255457396371,129.4941112683202,102.33828061793746,140.75909352656083,100.38275251887737,153.0439221299879,121.70137092706783,112.1564159769152,134.77430408403694,136.5274147839248,128.96545265052862,148.86181415185143,113.84340336066654,117.59162185786442,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,121.76754084547788,133.31886752439848,105.35868216863459,144.93860552851956,103.33610702366546,157.59889776750256,125.30673506037407,115.45351309344825,138.76418370769267,140.55218543576134,132.78963889934494,153.27787322808078,117.21041554671353,121.08227893341481,131.0834273732227,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,137.14362378047676,108.37901923242232,149.11811753047832,106.28946152845357,162.15387340501724,128.91209919368035,118.75061020998132,142.75406333134833,144.57695608759786,136.6138251481612,157.69393230431007,120.57742773276053,124.57293600896526,134.83519072697948,128.0361171300683,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,111.3992771531387,153.29762953243704,109.24281603324168,166.70884904253194,132.5174633269866,122.04770732651438,146.74394295500403,148.60172673943444,140.4380113969775,162.10999138053938,123.94443991880752,128.06359308451565,138.58695408073626,131.60685708530156,143.1638676062278,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,157.47714153439577,112.19617053802976,171.2638246800466,136.12282746029283,125.34480444304744,150.73382257865973,152.62649739127093,144.26219764579378,166.5260504567687,127.31145210485452,131.55425016006606,142.33871743449302,135.1775970405348,147.04799275347065,145.81523264066735,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,115.14952504281787,175.81880031756137,139.72800658325158,128.64190155958048,154.72370220231545,156.65126804310748,148.08638389461007,170.94210953299802,130.67846429090153,135.04490723561648,146.09048078824983,138.74833699576808,150.9321179007135,149.66936407181245,154.94489076082436,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,180.37377595507598,143.33280761850185,131.93899867611353,158.71358182597112,160.67603869494403,151.91057014342636,175.3581686092273,134.04547647694855,138.53556431116687,149.84224414200662,142.31907695100134,154.81624304795636,153.52349550295753,158.93707655280022,207.64627515729234,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,146.9375758478583,135.23609579264658,162.70346144962684,164.70079857592842,155.73475639224267,179.77422768545665,137.41248866299551,142.02622138671725,153.5940074957634,145.88981690623459,158.70036819519922,157.3776269341026,162.92926234477605,212.84101687366808,183.05663281813193,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,138.53319290917963,166.6933410732825,168.72547870520495,159.55894264105893,184.1902867616859,140.77950084904253,145.5168784622677,157.3454589034366,149.46055686146786,162.58449334244202,161.2317583652477,166.92144813675188,218.03575859004383,187.55128271025717,181.31118189277623,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,170.68322069693818,172.75015883448148,163.38312888987525,188.60634583791528,144.14651303508953,149.0075355378181,161.096682988371,153.03129681670111,166.46861848968487,165.08588979639282,170.91363392872776,223.23050030641954,192.04593260238235,185.6587625432692,141.8444233757652,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,176.77483896375801,167.20731513869157,193.02240491414457,147.51352522113652,152.4981926133685,164.847817504458,156.60203677193437,170.35274363692773,168.9400212275379,174.9058197207036,228.4252420227953,196.54058249450756,190.00634319376218,145.14695767820683,176.29108453155825,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,171.03150138750783,197.4384639903739,150.88053740718354,155.98884968891892,168.59895202054494,160.17277672716762,174.23686878417058,172.794152658683,178.89800551267945,233.61998373917103,201.03523238663274,194.35392384425512,148.44949198064847,180.3152153830604,173.1284019932401,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,201.8545230666032,154.24754959323056,159.47950676446933,172.35008653663195,163.74351668240087,178.12099393141344,176.64828408982808,182.89004731680498,238.81472545554675,205.52917617722485,198.70150449474806,151.75202628309012,184.33924783307936,176.98880884465646,142.71935444500954,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,157.61456177927752,162.97016384001978,176.10122105271896,167.31425663763414,182.0051190786563,180.5024155209732,186.882078071581,244.00946717192252,210.0229896151657,203.04908514524104,155.05456058553176,188.3632802830983,180.84921569607278,145.84622072502083,181.25756554758365,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,166.46082091557017,179.85235556880596,170.88499659286742,185.88924422589915,184.3565469521183,190.87410882635695,249.20420888829824,214.51680305310654,207.39666579573395,158.3570948879734,192.38731273311723,184.70962254748915,148.97308700503214,185.13211067244907,238.29940951499893,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,183.60349008489294,174.45573654810062,189.773369373142,188.2106783832634,194.86613958113296,254.398950604674,219.01061649104736,211.74424644622695,161.65962919041507,196.4113451831362,188.5700293989055,152.0999532850434,189.00665579731447,243.28114255131365,182.06666696866634,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,178.02647650333392,193.65749452038486,192.0648098144085,198.85817033590894,259.5936923210498,223.50442992898815,216.0918270967199,164.9621634928567,200.43537763315513,192.43043625032183,155.2268195650547,192.88120092217986,248.26287558762832,185.7901459421224,216.23168181902165,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.54161966762766,195.91894124555355,202.85020109068492,264.78843403742553,227.998243366929,220.43940774721287,168.26469779529833,204.4594100831741,196.29084310173818,158.35368584506602,196.75574604704525,253.24460862394304,189.5136249155785,220.5843616893762,220.26391500218986,225.15752087314885,248.89119286010995,219.73387757682033,215.28900878119111,244.1431718979972,157.55317277687774
