data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,10.278571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,11.17142857142857,20.633333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,12.064285714285713,21.71666666666667,30.27111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,12.957142857142857,22.799999999999997,31.971111111111114,39.54424242424243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,13.85,23.883333333333333,33.67111111111112,41.95636363636363,65.42363636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,14.742857142857142,24.96666666666667,35.37111111111111,44.36848484848485,68.52363636363637,76.95664335664335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,15.635714285714284,26.050000000000004,37.071111111111115,46.78060606060606,71.62363636363636,81.21888111888111,90.92527472527472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,16.52857142857143,27.133333333333333,38.77111111111111,49.192727272727275,74.72363636363636,85.48111888111887,96.14505494505494,102.40527472527472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,17.42142857142857,28.21666666666667,40.471111111111114,51.60484848484849,77.82363636363637,89.74335664335663,101.36483516483516,108.47780219780219,129.55166666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,18.314285714285713,29.300000000000004,42.17111111111112,54.0169696969697,80.92363636363638,94.0055944055944,106.58461538461538,114.55032967032966,136.32666666666665,180.04558823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,19.207142857142856,30.383333333333333,43.87111111111111,56.42909090909092,84.02363636363637,98.26783216783215,111.8043956043956,120.62285714285714,143.10166666666666,187.69264705882352,207.45588235294116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,20.099999999999998,31.46666666666667,45.571111111111115,58.84121212121213,87.12363636363636,102.53006993006991,117.02417582417581,126.69538461538461,149.87666666666667,195.33970588235292,216.43382352941177,204.6432748538012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
