data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48
06/04/2020,,,,,,,92.98125681325828,102.95601756281768,133.04945870003667,180.2828799995773,205.2241154939234,207.25991653389872,243.07788436055347,251.6655128439117,294.8544238944273,321.90671400021193,355.33981054923095,423.4731849195566,427.5364027319279,448.95507180683086,566.5777595190824,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,102.95601756281768,133.04945870003667,180.2828799995773,205.2241154939234,207.25991653389872,243.07788436055347,251.6655128439117,294.8544238944247,321.9067139937182,355.33980631761824,423.47199646724556,427.40309351871133,445.2550348054862,517.8397735698218,596.6956718896556,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,133.04945870003667,180.2828799995773,205.2241154939234,207.25991653389872,243.07788436055347,251.6655128439117,294.8544238944247,321.9067139937146,355.3398063112506,423.4719915965847,427.4016003709561,445.14161030340733,513.5988247037587,537.5022746340235,653.9502887405209,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,180.2828799995773,205.2241154939234,207.25991653389872,243.07788436055347,251.6655128439117,294.8544238944247,321.9067139937146,355.33980631124706,423.47199158925434,427.4015942503935,445.14034332974614,513.4680274100091,532.3353339348342,598.6073756682804,726.8690692535735,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,205.2241154939234,207.25991653389872,243.07788436055347,251.6655128439117,294.8544238944247,321.9067139937146,355.33980631124706,423.4719915892503,427.40159424118144,445.1403381414663,513.4665631247101,532.1758249695305,593.8494657257048,659.3010939024002,747.5551764501694,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,207.25991653389872,243.07788436055347,251.6655128439117,294.8544238944247,321.9067139937146,355.33980631124706,423.4719915892503,427.4015942411763,445.1403381336603,513.4665571235316,532.1740386707248,593.7033720169469,653.3987417197651,675.7470424720987,752.7120699156749,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,243.07788436055347,251.6655128439117,294.8544238944247,321.9067139937146,355.33980631124706,423.4719915892503,427.4015942411763,445.140338133656,513.4665571144998,532.1740313489602,593.701739141323,653.2164654519084,669.5247993220303,682.5152175306985,767.9692674181209,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,251.6655128439117,294.8544238944247,321.9067139937146,355.33980631124706,423.4719915892503,427.4015942411763,445.140338133656,513.4665571144948,532.1740313379404,593.7017324531943,653.2144239024826,669.3332110190097,676.4606455780697,696.2159153239572,780.767776455697,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,294.8544238944247,321.9067139937146,355.33980631124706,423.4719915892503,427.4015942411763,445.140338133656,513.4665571144948,532.1740313379343,593.7017324431308,653.214415534043,669.3310674971714,676.2745094054711,690.0087830346862,707.1717308975668,823.8299788969455,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,321.9067139937146,355.33980631124706,423.4719915892503,427.4015942411763,445.140338133656,513.4665571144948,532.1740313379343,593.7017324431253,653.2144155214477,669.3310587142411,676.2724280334505,689.8177502512459,700.8048089389473,749.5952029968007,878.637168054883,,,,,,,,,,,,
