data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_48,yhat_model_44_to_48,yhat_model_45_to_48,yhat_model_46_to_48,yhat_model_47_to_48,yhat_model_48_to_48
04/04/2020,,,,,10.0,19.0,28.0,37.0,60.0,72.00000000000007,86.00000000001396,98.00000000161918,123.00000011415429,168.00000489925773,195.00012830744268,197.00205864743853,226.02036938867477,241.12564041832903,274.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,19.0,28.0,37.0,60.0,72.0,86.00000000000007,98.00000000001396,123.00000000161918,168.0000001141543,195.00000489925773,197.00012830744268,226.00205864743853,241.02036938867477,274.12564041832906,306.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,28.0,37.0,60.0,72.0,86.0,98.00000000000007,123.00000000001396,168.00000000161918,195.0000001141543,197.00000489925773,226.00012830744268,241.00205864743853,274.02036938867474,306.12564041832906,334.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,37.0,60.0,72.0,86.0,98.0,123.00000000000007,168.00000000001396,195.00000000161918,197.0000001141543,226.00000489925773,241.00012830744268,274.0020586474385,306.02036938867474,334.12564041832906,396.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,60.0,72.0,86.0,98.0,123.0,168.00000000000009,195.00000000001396,197.00000000161918,226.0000001141543,241.00000489925773,274.0001283074427,306.0020586474385,334.02036938867474,396.12564041832906,410.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,72.0,86.0,98.0,123.0,168.0,195.00000000000009,197.00000000001396,226.00000000161918,241.0000001141543,274.0000048992577,306.0001283074427,334.0020586474385,396.02036938867474,410.12564041832906,418.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,86.0,98.0,123.0,168.0,195.0,197.00000000000009,226.00000000001396,241.00000000161918,274.0000001141543,306.0000048992577,334.0001283074427,396.0020586474385,410.02036938867474,418.12564041832906,481.4914659971654,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,98.0,123.0,168.0,195.0,197.0,226.00000000000009,241.00000000001396,274.0000000016192,306.0000001141543,334.0000048992577,396.0001283074427,410.0020586474385,418.02036938867474,481.12564041832906,508.4914659971654,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,123.0,168.0,195.0,197.0,226.0,241.00000000000009,274.000000000014,306.0000000016192,334.0000001141543,396.0000048992577,410.0001283074427,418.0020586474385,481.02036938867474,508.12564041832906,555.4914659971654,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,168.0,195.0,197.0,226.0,241.0,274.00000000000006,306.000000000014,334.0000000016192,396.0000001141543,410.0000048992577,418.0001283074427,481.0020586474385,508.02036938867474,555.125640418329,618.4914659971654,,,,,,,,,,,,,,,,,,,,
