,,,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53,yhat_model_1_to_54,yhat_model_1_to_55,yhat_model_1_to_56,yhat_model_1_to_57,yhat_model_1_to_58,yhat_model_1_to_59,yhat_model_1_to_60,yhat_model_1_to_61
,,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
AC,RMSE,svr,19.256339756754013,21.719351904754113,25.11807456158848,19.709194734374968,17.837453945971784,23.046949467448602,26.75626737071211,31.84133277468844,37.287840515488476,44.889918440950225,52.52789611935349,60.46909417541914,71.35213123579493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MAE,exponential-holt,6.571428571428571,7.7142857142857135,8.928571428571429,10.142857142857142,7.542857142857144,6.0967205885488305,3.0629931493288893,1.474244293570128,1.8061437006410943,1.6353377835795186,3.142771498371181,5.329263219952517,5.439961289439352,4.353182070449994,7.7579561998133,11.079043669789334,10.391745089617505,8.232462640759744,3.478265683095653,5.785955214881545,8.367098206238882,12.481396723980136,14.803212348183346,19.699856491410173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MAE,gaussian-process,6.1175971303438805,7.1749580305360725,8.302449803583901,9.426080341479713,7.040127419105794,7.884001167611972,6.52661659051203,8.498902526279386,9.468218269790393,9.197307736453302,9.206511595523018,11.042106202021413,12.984571410387476,12.108469644107888,11.709661620079865,13.933439259137495,16.51404194225994,21.02448708298422,25.26083974617352,27.06137011157755,34.042852829204264,36.657447098141816,44.461675840987866,54.561442031474506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MAE,linear-regression,6.133333333333334,7.2,8.333333333333334,9.466666666666667,7.080000000000001,6.492307692307692,5.136043956043954,5.815794871794872,7.0424126984127,6.259921568627452,5.958921568627452,7.231423001949318,9.298994152046783,8.262315789473686,7.8747763347763335,9.376924524750613,11.866851119894594,15.835584541062802,20.49846153846154,22.10802051282052,28.237948717948715,31.492782338989233,37.676669950738905,48.23433543443332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MAE,mlp,5.676963549079638,5.7397522303645205,7.504070806194644,7.433877590598535,6.465323598701849,5.947137705495425,4.35878102305357,5.94007723186671,7.6777486444783305,6.9001001724365105,6.664961250595175,7.861245668018628,10.140552871834576,9.12989531757226,8.738471025835619,10.442378527690963,12.993584055977907,16.832597604464222,21.639929624730453,23.235812261323318,29.32343669341783,32.681740095729076,38.8511466930232,49.51686375122257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MAE,svr,6.133333333333334,7.2,8.333333333333334,9.466666666666667,7.080000000000001,7.391414584727246,7.027662088660043,8.954613060979689,11.036818698898422,10.771567706047156,10.57945404003568,12.291689436597245,14.581742282041665,13.86817949905959,13.152327486130234,15.585626526161239,18.487451948353947,22.801579674747025,27.528676510198913,29.266452215441646,35.68551862896997,39.21121831917751,45.753457001139935,56.62873912963406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MSLE,exponential-holt,2.0657928742339697,2.4106354344661365,2.7726579174999126,3.1346804005336892,0.7600007535116209,0.29811666532875564,0.04882388182105408,0.015393273299688037,0.019183087779304584,0.01040679578786233,0.01882812446403764,0.03868622147412296,0.034106510939945475,0.020213599126559102,0.04698693740187476,0.07439232207735529,0.05758065938590585,0.03528097310228362,0.010724602374387849,0.012262012690445993,0.019526024037149696,0.033370232536147994,0.035218845149384614,0.04670653335891406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MSLE,gaussian-process,1.86891987780152,2.1788664221730802,2.5113757277072355,2.8387124110871467,0.6965879726169587,0.7429201488489007,0.3527369875962057,0.5694978409337648,0.583517768346174,0.4361991323050013,0.3466064404599543,0.44809095108577385,0.534140174926959,0.3694008021815367,0.29584536080913004,0.37045698464818255,0.4112126127791669,0.5751834113362068,0.6991935751264261,0.6007068513054039,0.7788463628624868,0.6609273537784742,0.7767579156146664,0.9200303690744516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MSLE,linear-regression,1.9280733492850384,2.2499264055017267,2.587814056333252,2.925701707164776,0.7101902626717405,0.4157315042511821,0.18197662961007355,0.1939299727847052,0.2419180904966903,0.15568987430901587,0.11218028530744444,0.14347868698925328,0.2046965963051055,0.13884502438628948,0.09987958754153363,0.12718166846729534,0.16827778518700587,0.2533891231688093,0.36002517885603186,0.3281107116915173,0.4295008129704919,0.4131548022427695,0.4653216170912498,0.6030230109263709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MSLE,mlp,1.2837396080157562,0.7795743896299996,1.5008445097025147,0.9709387637527468,0.5206697328697956,0.31923478785823983,0.12044974065765965,0.20495024294532976,0.3074891797547615,0.1994977821085263,0.1469585252695333,0.17707196744351095,0.2585073646251556,0.1774491043611601,0.12920077191557364,0.1671000442089645,0.2123545131499606,0.2999635623099629,0.42448597445285946,0.37897030904876294,0.4844177729456461,0.463334799490658,0.5117639185851421,0.661345547764785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,MSLE,svr,1.9280733492850384,2.2499264055017267,2.587814056333252,2.925701707164776,0.7101902626717405,0.6259423540542792,0.4382594342754516,0.6740152383465308,0.9570051662675468,0.6930529910346136,0.5232728470550569,0.6227756222098729,0.7730603930916372,0.5368685581608029,0.40013180304014295,0.5129908184089332,0.5855531783400539,0.7578773006638451,0.9503223891138944,0.7826435935562421,0.940847112076468,0.8274191525461668,0.8733325159041553,1.07506764034562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,RMSE,exponential-holt,8.11524139241359,9.17294157524494,10.23648935356816,11.199489784296935,8.840814442120138,7.060783855773924,3.6004138155001515,1.8194772819924647,2.051587925273572,1.9223198655597395,3.956982384720686,7.018125855091017,6.8981831861958645,5.358523069551549,9.62289929205412,14.489944106010695,13.120582421931047,10.372299456099226,5.598839687445649,8.09688043188465,12.539433526606814,20.037657962013565,22.737692275694695,29.752718585641517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,RMSE,gaussian-process,7.799008458624736,8.81643474046041,9.843979725936684,10.771263125838887,8.498452505717196,9.344897114288594,8.08047438433923,10.302216461360482,11.466828057874002,11.481337486892336,11.862343665440605,13.734785458624142,16.019200729650983,15.872901766488607,15.876926731327055,18.044382969303946,21.724514443524477,27.48592835270075,32.618678682428715,36.781823898039896,46.07407280787457,53.07016211862158,63.0660524200803,76.69400859955743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,RMSE,linear-regression,7.840068026915753,8.861903482510591,9.889388252060893,10.819735055289783,8.542443054146357,7.894921344603461,6.424366271226881,7.264220021241566,8.623838237179724,8.145128623900588,8.086442279969399,9.382816341744789,11.74194787151517,11.470102901564742,10.822661131770062,12.457680603370232,16.359462511805216,21.66956221696849,27.097815249969862,31.216862215720386,39.74079485317181,47.273783127527494,55.80573613365424,69.68911737619578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,RMSE,mlp,7.234625235011816,7.022819335775818,8.907721261988552,8.599567655281728,7.798813985463438,7.228310829266966,5.490939788781493,7.406667007653217,9.369897804506731,8.898702684220895,8.917664083315431,10.129549582068623,12.740851769759484,12.509742239510677,11.929100341813346,13.786509426556899,17.68595237921989,22.841769350744553,28.464500761295763,32.54008788438861,41.05216145227264,48.701900871685766,57.19003137841864,71.2695503481852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,RMSE,svr,7.840068026915753,8.861903482510591,9.889388252060893,10.819735055289783,8.542443054146357,8.930921707727464,8.641012877060538,10.793826142227257,13.031500414751903,13.053040118513525,13.357744423030677,15.063934370648349,17.668885895758496,17.65072054171484,17.411362886489567,19.881323607033554,23.934583750879646,29.437870984664887,35.04029455763577,39.13919699982196,48.00927671923751,55.7082889673184,64.69688782472241,79.13502935158398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MAE,exponential-holt,119.27081296206094,91.83144476643749,56.615279123989495,18.77924659651441,46.040388130146894,84.74953208710394,135.4918530797926,255.51191603560474,409.8166512833549,467.29574417792435,526.5796715384606,581.717464755184,661.966340596659,746.0073546102465,894.5768647214227,1293.020918200295,1861.1682743931547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MAE,gaussian-process,125.59616666875186,154.27374593302014,176.4243960814294,222.87000430620517,262.278319465422,311.08033716121946,340.81157668759164,386.95330187382814,451.2853046415133,512.4039309020135,580.888237504979,649.7307948785335,724.1983497610138,776.8367064334776,778.0389446672124,778.8406518165419,785.2596121480592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MAE,linear-regression,115.52761904761904,133.8326984126984,151.82214814814816,188.7122424242424,226.85939393939395,268.6439782439782,295.59113553113554,330.9035018315018,388.1996190476191,446.27684313725496,506.4857843137255,571.638614837748,638.6288654970763,686.1120501253133,674.6503722943722,650.3196837944665,636.6863768115942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MAE,mlp,118.43560853581819,141.80149846549048,162.6788615103154,204.82817325869217,244.69710765545682,285.9631183989688,316.4466021303918,358.380401965315,417.17944046252,478.42836548959474,542.4076711454026,611.503678341101,676.9105492363938,727.5186670327897,720.4407969169611,702.3874646756807,695.9695725730758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MAE,svr,123.64869090771812,150.64758614141843,173.88006651398524,216.38489635236718,257.8539811747616,303.14387860658167,333.31823729161994,375.43740435589285,438.1037125550456,499.9360800562992,563.31287246344,632.3646080321242,702.1011336354529,752.2047756273047,744.1632141372451,726.7497304198137,721.8977800132475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MSLE,exponential-holt,1.4460660131809466,0.3388111338087012,0.07491561730951835,0.026949024374355517,0.02644902471215143,0.038259407981088664,0.04714367117825295,0.09864669953076946,0.16906469896287707,0.17117750356210934,0.17802032777013893,0.1802225973917733,0.1903553002188104,0.20670055564810327,0.24047242026908602,0.35546567016756897,0.5228278260893572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MSLE,gaussian-process,2.5399758430879955,2.6266370724743897,1.9891470559463007,2.2968286369509903,2.083452546500583,2.129262907290047,1.68925321892506,1.5900597142506026,1.7290031874561684,1.679167292488308,1.6994598827021756,1.6485008702791395,1.629823016377992,1.435601992541767,1.028146009360328,0.7801936088414062,0.6272688770043467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MSLE,linear-regression,1.6260707733869124,1.2690693264782482,0.9967676791728112,1.0378444932839697,1.0455029738697188,1.065511721393012,0.9163052819193792,0.8398167746917172,0.9166795761343944,0.937160352773761,0.9557944800766768,0.9650621412904168,0.9680803827023832,0.8773785123726416,0.62091905140411,0.4376496066311101,0.3326206742581385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MSLE,mlp,1.8451722064402012,1.6650348127626449,1.339876204135207,1.497531668322437,1.4668864075300267,1.404684949619022,1.2176567758857857,1.1522363556115471,1.238447890449503,1.2565743952027824,1.2776751153288188,1.2802320329935235,1.2338798297861395,1.110113345473739,0.7920591269979707,0.5715362784171272,0.4465228661739683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,MSLE,svr,2.3538260822645984,2.332060720166248,1.866683160041675,2.0083369072216635,1.936913161015708,1.9043517217181205,1.5581582881393123,1.4136825072723578,1.5528008822713475,1.5334519009665857,1.5149644709862848,1.4873168553942226,1.4528675808472788,1.2796276129434228,0.8948454279841658,0.6420005303695413,0.5025122282840243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,RMSE,exponential-holt,153.72453629906195,116.46845478311268,72.52324126004521,21.99992192188034,64.10904874463402,137.24663285294318,233.20579079192277,421.5739552915804,666.586526919685,767.7936324681173,882.2976820954968,978.4437305980036,1086.2596491374334,1197.6113191352604,1411.5233847941229,1999.1604834214982,2811.997370513126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,RMSE,gaussian-process,166.50119912160866,207.5200005736987,245.80829423907943,310.5155900549869,366.64987332630636,426.2937619861769,467.292293057392,524.7606805393377,591.2873751220025,660.9936732615588,730.4490691900327,800.8175394525055,870.984800418174,917.4667406595779,918.7912869750155,919.7324494852053,924.6287591570024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,RMSE,linear-regression,155.46486270992222,185.07815648003103,218.40175803400862,273.4406966834945,326.9008805049798,379.0785284728303,416.0866968727732,461.61643238633116,519.4085103629078,584.3925951272251,644.6317583845556,709.9096004400136,771.7054789455728,812.0269525429749,799.8832232876899,774.6764631225093,757.0673635601155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,RMSE,mlp,158.85523607623483,194.27647823994903,230.8356523512137,292.0075649160184,347.6734972581504,399.4378190562291,441.18933846171615,494.6107162568216,555.5541832756581,625.0311358848222,690.5434625999437,760.7710981926501,821.1388445015573,865.7340690457045,860.1962639022379,844.2309361018716,836.9321205344405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,RMSE,svr,164.9302058180929,204.6350099952417,243.7661585698604,305.5579584063766,363.3146103123849,420.17242065354446,461.5757171318104,514.6081865411168,580.8074262161588,650.675852548768,715.50536910288,785.5741895373342,851.8498010175409,895.7249591843843,888.761671592083,873.4324020150572,868.2608613030599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,MAE,exponential-holt,40.98800785786523,52.04052456271802,67.15384848656116,78.50187404639414,93.72449093905428,111.28469733489824,132.6699727494634,147.3647957701494,152.05564274953775,157.86313639747752,168.84139655143562,168.7531936022171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,MAE,gaussian-process,38.660663522405756,48.890773668701065,64.58159336536073,75.17649094692091,94.23947493685566,114.15821294118959,138.00897002387381,152.14261767470376,169.06711931140413,194.04020991600675,214.62984031081345,228.10603938586846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,MAE,linear-regression,37.794285714285714,48.06428571428572,62.287629629629635,73.19862626262626,89.92751515151514,109.55370629370628,132.32446886446888,146.77236630036631,160.61688888888887,183.60460784313725,203.92326797385616,215.02013071895425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
