,state,model,metric,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53,yhat_model_1_to_54,yhat_model_1_to_55,yhat_model_1_to_56,yhat_model_1_to_57,yhat_model_1_to_58,yhat_model_1_to_59,yhat_model_1_to_60,yhat_model_1_to_61
0,AC,linear-regression,MAE,5.142857142857141,5.671428571428588,4.37666666666667,3.7178181818181804,8.189333333333336,7.825874125874122,9.117216117216117,9.77890109890111,11.539682539682541,14.013725490196077,17.948529411764703,23.260428849902542,30.201403508771932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AC,linear-regression,RMSE,6.061251975475369,6.727640664007425,5.474590576043901,4.349822579580596,9.245432674805041,8.824072563497253,9.825321777613766,10.438321499646602,14.312549398859192,18.60895663417721,25.838663479773707,33.64770184837542,42.77923597583418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AC,linear-regression,MSLE,0.016516403286249245,0.019184271637778787,0.012799116797222338,0.006493103928170071,0.025927892640985408,0.02120185797860885,0.025725860253769613,0.02601204831536934,0.02953290317673894,0.037586615949309836,0.05537950116240478,0.08147226340440775,0.11798368983302268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AC,gaussian-process,MAE,17.4538212911714,19.399558254810266,22.62442839709199,15.257677885503739,12.842851264973278,16.31775805297956,18.76134460446737,23.417222871444967,26.200387121643313,33.147126290135226,38.050457222662054,45.37034688451173,54.33125696541206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AC,gaussian-process,RMSE,20.09814109626687,22.073480383979586,25.305446753353905,19.10576971676973,18.690581729513045,23.408477201341782,26.532628344435068,31.75729825471911,36.43314285342119,44.48790739237243,50.99684650321967,59.44459794689938,69.65033407552203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AC,gaussian-process,MSLE,0.2922671067095669,0.30915815971631944,0.3866286418615998,0.1388173830272218,0.0975069269045993,0.13884612062333127,0.1623307563817627,0.22183328470507185,0.2339577501061888,0.3280688494365218,0.3595730600332845,0.43520302402579797,0.5398113670674431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AC,mlp,MAE,3.617733309060919,4.6312452179744055,3.5483827105871653,3.705599248977469,6.763626694102698,6.647929823191967,7.531513064971468,9.372426576684576,12.183853002802163,16.304670157196178,21.635354628439483,25.84513772415034,33.290806659660056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AC,mlp,RMSE,4.436291390626728,5.833564091470817,4.172363658832138,4.59845470600778,7.889531863305585,8.450649376962428,10.116053436187917,13.58504197403084,17.58643711744363,23.69738001949795,31.35267659256792,36.83637504597309,46.27012447705859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AC,mlp,MSLE,0.01176785095166241,0.0164123911218201,0.008141578490680599,0.005929480533318469,0.018695880726144733,0.015339857286095607,0.016892864970977424,0.025144561705389524,0.03464157762954791,0.05550602613216203,0.08525996536410986,0.10215016158232446,0.1469419569789805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AC,svr,MAE,16.69605807567878,18.963498503595723,22.298734191669833,15.827456729082762,12.009703057216864,15.832611450317179,18.820327500542913,23.212075560533858,26.856197924743473,33.2832533463177,39.260283993796186,46.090866686883416,55.74282650617081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AC,svr,RMSE,19.256339756754016,21.719351904754113,25.11807456158848,19.709194734374968,17.837453945971784,23.046949467448602,26.75626737071211,31.84133277468844,37.287840515488476,44.88991844095023,52.527896119353485,60.469094175419144,71.35213123579494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AC,svr,MSLE,0.2585116646827986,0.29446749662552313,0.37747350523997203,0.15133718147945022,0.08576493690228275,0.13253530612496742,0.16616084944124285,0.22333334892577644,0.25150814597186605,0.33772699658563937,0.3981169577571533,0.46221077815868117,0.5906167200545129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
