data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_50,yhat_model_46_to_50,yhat_model_47_to_50,yhat_model_48_to_50,yhat_model_49_to_50,yhat_model_50_to_50
01/04/2020,,,,2.313591555300809,3.827460815862287,5.0,7.0,15.0,29.000000000000075,35.00000000001396,38.00000000161919,83.00000011415429,128.00000489925773,130.00012830744268,133.00205864743853,153.02036938867477,189.12564041832903,205.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,3.827460815862287,5.0,7.0,15.0,29.0,35.00000000000007,38.00000000001396,83.00000000161918,128.0000001141543,130.00000489925773,133.00012830744268,153.00205864743853,189.02036938867477,205.12564041832903,231.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,5.0,7.0,15.0,29.0,35.0,38.00000000000007,83.00000000001396,128.00000000161918,130.0000001141543,133.00000489925773,153.00012830744268,189.00205864743853,205.02036938867477,231.12564041832903,261.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,7.0,15.0,29.0,35.0,38.0,83.00000000000007,128.00000000001396,130.00000000161918,133.0000001141543,153.00000489925773,189.00012830744268,205.00205864743853,231.02036938867477,261.12564041832906,275.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,15.0,29.0,35.0,38.0,83.0,128.00000000000009,130.00000000001396,133.00000000161918,153.0000001141543,189.00000489925773,205.00012830744268,231.00205864743853,261.02036938867474,275.12564041832906,314.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,29.0,35.0,38.0,83.0,128.0,130.00000000000009,133.00000000001396,153.00000000161918,189.0000001141543,205.00000489925773,231.00012830744268,261.0020586474385,275.02036938867474,314.12564041832906,370.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,35.0,38.0,83.0,128.0,130.0,133.00000000000009,153.00000000001396,189.00000000161918,205.0000001141543,231.00000489925773,261.0001283074427,275.0020586474385,314.02036938867474,370.12564041832906,397.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,38.0,83.0,128.0,130.0,133.0,153.00000000000009,189.00000000001396,205.00000000161918,231.0000001141543,261.0000048992577,275.0001283074427,314.0020586474385,370.02036938867474,397.12564041832906,430.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,83.0,128.0,130.0,133.0,153.0,189.00000000000009,205.00000000001396,231.00000000161918,261.0000001141543,275.0000048992577,314.0001283074427,370.0020586474385,397.02036938867474,430.12564041832906,498.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,128.0,130.0,133.0,153.0,189.0,205.00000000000009,231.00000000001396,261.0000000016192,275.0000001141543,314.0000048992577,370.0001283074427,397.0020586474385,430.02036938867474,498.12564041832906,525.4914659971654,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,130.0,133.0,153.0,189.0,205.0,231.00000000000009,261.000000000014,275.0000000016192,314.0000001141543,370.0000048992577,397.0001283074427,430.0020586474385,498.02036938867474,525.125640418329,559.4914659971654,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,133.0,153.0,189.0,205.0,231.0,261.00000000000006,275.000000000014,314.0000000016192,370.0000001141543,397.0000048992577,430.0001283074427,498.0020586474385,525.0203693886748,559.125640418329,614.4914659971654,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,153.0,189.0,205.0,231.0,261.0,275.00000000000006,314.000000000014,370.0000000016192,397.0000001141543,430.0000048992577,498.0001283074427,525.0020586474385,559.0203693886748,614.125640418329,655.4914659971654,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,189.0,205.0,231.0,261.0,275.0,314.00000000000006,370.000000000014,397.0000000016192,430.0000001141543,498.0000048992577,525.0001283074427,559.0020586474385,614.0203693886748,655.125640418329,698.4914659971654,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,205.0,231.0,261.0,275.0,314.0,370.00000000000006,397.000000000014,430.0000000016192,498.0000001141543,525.0000048992578,559.0001283074427,614.0020586474385,655.0203693886748,698.125640418329,750.4914659971654,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,231.0,261.0,275.0,314.0,370.0,397.00000000000006,430.000000000014,498.0000000016192,525.0000001141543,559.0000048992578,614.0001283074427,655.0020586474385,698.0203693886748,750.125640418329,806.4914659971654,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,261.0,275.0,314.0,370.0,397.0,430.00000000000006,498.000000000014,525.0000000016192,559.0000001141543,614.0000048992578,655.0001283074427,698.0020586474385,750.0203693886748,806.125640418329,815.4914659971654,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,275.0,314.0,370.0,397.0,430.0,498.00000000000006,525.000000000014,559.0000000016192,614.0000001141543,655.0000048992578,698.0001283074427,750.0020586474385,806.0203693886748,815.125640418329,884.4914659971654,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,314.0,370.0,397.0,430.0,498.0,525.0000000000001,559.000000000014,614.0000000016192,655.0000001141543,698.0000048992578,750.0001283074427,806.0020586474385,815.0203693886748,884.125640418329,903.4914659971654,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,370.0,397.0,430.0,498.0,525.0,559.0000000000001,614.000000000014,655.0000000016192,698.0000001141543,750.0000048992578,806.0001283074427,815.0020586474385,884.0203693886748,903.125640418329,958.4914659971654,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,397.0,430.0,498.0,525.0,559.0,614.0000000000001,655.000000000014,698.0000000016192,750.0000001141543,806.0000048992578,815.0001283074427,884.0020586474385,903.0203693886748,958.125640418329,1021.4914659971654,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,430.0,498.0,525.0,559.0,614.0,655.0000000000001,698.000000000014,750.0000000016192,806.0000001141543,815.0000048992578,884.0001283074427,903.0020586474385,958.0203693886748,1021.125640418329,1077.4914659971653,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,498.0,525.0,559.0,614.0,655.0,698.0000000000001,750.000000000014,806.0000000016192,815.0000001141543,884.0000048992578,903.0001283074427,958.0020586474385,1021.0203693886748,1077.125640418329,1154.4914659971653,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,559.0,614.0,655.0,698.0,750.0000000000001,806.000000000014,815.0000000016192,884.0000001141543,903.0000048992578,958.0001283074427,1021.0020586474385,1077.0203693886747,1154.125640418329,1189.4914659971653,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.0,614.0,655.0,698.0,750.0,806.0000000000001,815.000000000014,884.0000000016192,903.0000001141543,958.0000048992578,1021.0001283074427,1077.0020586474386,1154.0203693886747,1189.125640418329,1230.4914659971653,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,655.0,698.0,750.0,806.0,815.0000000000001,884.000000000014,903.0000000016192,958.0000001141543,1021.0000048992578,1077.0001283074428,1154.0020586474386,1189.0203693886747,1230.125640418329,1283.4914659971653,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.0,698.0,750.0,806.0,815.0,884.0000000000001,903.000000000014,958.0000000016192,1021.0000001141543,1077.0000048992576,1154.0001283074428,1189.0020586474386,1230.0203693886747,1283.125640418329,1308.4914659971653,1363.80339330975,1419.1464405378917,1450.0415060269531,1481.0024787521388,1514.5000001125352,1548.0
