data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_50,yhat_model_46_to_50,yhat_model_47_to_50,yhat_model_48_to_50,yhat_model_49_to_50
31/03/2020,,,9.558423475176074,18.098888033720655,26501.334964275233,92.37434783609703,131.47435003186672,148424.45617969087,1239.6490958325,21173.465701453813,6854.598296440254,409.9814265537575,255.36774529366494,3814.295564565587,599.643139178385,220.29100016544274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,19.87051850527992,49025.77104431537,106.06174107307773,152.8749211717083,336527.4525761477,1768.9227441924215,41836.83099961834,12266.92535334352,503.85358728423506,290.11072167464806,7478.014677776206,861.4227239442624,228.16082575200858,252.90249832780458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,90694.53405761153,121.77723776098786,177.7589432280246,763019.3113207957,2524.172110834215,82665.75027301481,21952.775511680735,619.2193620895765,329.580506472338,14660.820739885481,1237.4845317905063,236.31179834283898,264.4969787755266,329.4950784197098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,139.82134826995102,206.69343052058287,1730017.7592992194,3601.878525238849,163339.95919200455,39286.482862218945,761.0000763382858,374.4201855744621,28742.878160674398,1777.719491086764,244.75396182482038,276.6230157627905,375.7997093138505,412.8209724439712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,240.33769240833135,3922523.8510803077,5139.716445995101,322744.81488078914,70306.72430746576,935.2438758255447,425.36033719391395,56351.07744764816,2553.7988619681496,253.4977188994886,289.30497884681813,428.61162660670163,495.77804109269806,381.9613926175951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,8893662.090802116,7334.141048935226,637714.2252741158,125820.25986346614,1149.383731310385,483.23093526627656,110477.59071864415,3668.6826353030674,262.5538439015677,302.56835482312135,488.8453128339657,595.4054721943006,415.59412450434866,449.3761237048988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,10465.484913586994,1260064.962677027,225166.76673598215,1412.5545175421296,548.9748723136508,216593.8719154986,5270.278908418637,271.93349607544667,316.43979894602194,557.5437646702452,715.0532031180339,452.18830923955466,503.10060402182404,493.935334838506,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,2489773.0789740058,402956.35136466403,1735.9826928765315,623.6633221044144,424637.295637824,7571.066383676929,281.6482333259545,330.9471884974101,635.8965532891389,858.7443467810552,492.00471074221736,563.248033029319,553.3713673644658,500.90478238507404,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,721126.9383084093,2133.465202610824,708.5131924145497,832511.2398237799,10876.283244607677,291.71002646037664,346.11967881139736,725.2604227834291,1031.3104674068447,535.327053898452,630.5862966080535,619.9594331896467,533.498269856219,618.0708659857665,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,2621.9580353126094,804.906952250453,1632157.5413951757,15624.422138468133,302.1312739392639,361.98776186745704,827.182783324236,1238.554040174776,582.464046336632,705.9750840695108,694.560147973259,568.2125903936274,698.6166236403458,62524012421135.734,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,914.4151565805176,3199882.611190965,22445.40360624444,312.9248171542079,378.58332756980445,943.4285058628509,1487.4435574094698,633.7515782252964,790.3768635758006,778.1376866396741,605.1857449675523,789.6589431508265,72155703499077.52,172787456.01152062,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,6273443.871508723,32244.145644710836,324.10395625141166,395.9397278361717,1076.0104823479262,1786.3478416870114,689.5551157692016,884.8691697091276,871.7722448312079,644.5647141648391,892.5657154403691,83271136093735.27,185493962.67620024,738167221.603335,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,46320.61630952712,335.6824665205511,414.0918436247731,1227.2244806337549,2145.3174445538984,750.2723054591643,990.6583600629759,976.6739998675378,686.5060424856442,1008.8830922382293,96098877428726.45,199134885.04064438,797908142.2396727,4582954661919.619,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,347.6746153691239,433.07615503416633,1399.6888976215394,2576.422592791791,816.335807633133,1109.095016481668,1094.1987516498043,731.1764606598907,1140.358716671066,110902705022132.72,213778938.50578973,862483980.350028,5201553680591.155,12310553.048028976,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,452.9308146168876,1596.3900989925494,3094.1590455524793,888.216379539962,1241.6911875717424,1225.8654456598324,778.7535484573748,1288.967981218394,127987030757443.28,229499891.6906716,932286032.6658806,5903650087766.444,12997648.334270757,52180779.16622898,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,1820.7341306285891,3715.9355091666516,966.4262298752766,1390.1396926156037,1373.3758045300074,829.4264406264145,1456.9437075522087,147703160521086.1,246376938.0378111,1007737264.1184027,6700514211519.912,13723092.826314569,55534245.57131546,929.6659622047542,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,4462.658998778163,1051.5226686932765,1556.3357333352665,1538.6363219114985,883.3965787673815,1646.8096941938875,170456518123801.94,264495094.74585402,1089294870.790795,7604937628640.245,14489026.928286439,59103226.905648574,1011.0472616619829,941.0901258043161,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,1144.1120787031284,1742.4010894177047,1723.7829028999895,940.8785121300624,1861.4186360345589,196714982051735.22,283945631.03906256,1177453050.2939913,8631438500059.427,15297710.507798716,62901573.519617304,1099.5525348588124,1000.3917910318941,977.6611661274967,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,1950.71120669951,1931.208469483427,1002.100750518287,2103.994985451439,227018506476291.94,304826527.93104494,1272745996.3527997,9796494622090.54,16151529.56362763,66944025.87459541,1195.8054017445547,1063.430279548058,1037.2929719192873,1039.8444934130182,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,2163.593887797658,1067.3066726924014,2378.1833989990278,261990224360095.2,327242971.7987567,1375751135.7481487,11118807934504.555,17053003.265537404,71246271.74709451,1300.4840728461133,1130.441062789175,1100.5619808497431,1109.292326357965,1099.2054958374392,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,1136.7554938807891,2688.1034975760904,302349260972788.3,351307884.2531262,1487092627.2296636,12619604731433.994,18004791.387021713,75825007.10921751,1414.3261280297322,1201.6744501416742,1167.6900417543345,1183.3783542746605,1172.0806294498907,1057.94492856555,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,3038.4117628279537,348925521301683.56,377142490.9754985,1607445143.6002018,14322976394207.094,19009702.152892623,80698000.92167425,1538.1337135870278,1277.396523937668,1238.9125349936967,1262.4123471254456,1249.787239177722,1078.5857909536198,1256.3562369185715,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,402676755431557.44,404876932.38538027,1737537959.8898547,16256266115690.152,20070700.524871048,85884164.09080558,1672.7791942646522,1357.8901333682008,1314.4791978001895,1346.7247634013124,1332.645642258053,1099.6293635287886,1350.8433480278313,1198.0454315780355,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,434650919.21569073,1878159372.391673,18450507823989.57,21190916.949625198,91403622.85722142,1819.2113000625527,1443.455951026749,1394.6549999659348,1436.668131841471,1420.997392322419,1121.0835033026362,1452.436575940133,1231.235319474134,1322.4187944278015,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,2030161475.3362255,20940924351289.62,22373656.595067833,97277796.90085594,1978.4618111119803,1534.4135960295428,1479.7210729428714,1532.6185254334732,1515.2066873273966,1142.956220579688,1561.6703522348278,1265.3446788940332,1397.8141985339323,1385.9595061130713,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,23767492844628.523,23622409.10216375,103529482.46554701,2151.6528277357916,1631.1028279079658,1569.9756956126669,1634.9771338570101,1615.6618708282206,1165.2556819482122,1679.1193016264108,1300.3989822914436,1477.5081402775188,1468.6314733502995,1402.6550739213246,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24940858.881019976,110182940.82572605,2340.0046769168566,1733.8848157326545,1665.73534018302,1744.1719409461218,1722.7770327838543,1187.9902133293692,1805.4012647801148,1336.4244077927156,1561.7456932945431,1556.234792576333,1472.9118828181695,1518.7278959416283,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117263992.43853596,2544.8445108846026,1843.143487209927,1767.3357818777274,1860.6595141836503,1836.9937164922421,1211.1683030858494,1941.180548465187,1373.447858746346,1650.7859036674606,1649.0636170967007,1546.6877458917254,1613.5210833131048,1499.808040428763,,,,,,
