data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,2.178571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,2.357142857142857,5.5285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,2.5357142857142856,5.707142857142857,7.604444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,2.714285714285714,5.885714285714286,7.971111111111112,16.8230303030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,2.892857142857143,6.064285714285715,8.337777777777777,17.374545454545455,32.721818181818186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,3.071428571428571,6.242857142857143,8.704444444444444,17.926060606060606,33.71272727272728,38.266200466200466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,3.25,6.421428571428571,9.071111111111112,18.477575757575757,34.70363636363636,40.01095571095571,40.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,3.4285714285714284,6.6,9.437777777777779,19.029090909090908,35.69454545454546,41.75571095571095,42.62637362637363,92.9520879120879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,3.6071428571428568,6.7785714285714285,9.804444444444446,19.58060606060606,36.68545454545455,43.5004662004662,44.96703296703297,95.68615384615384,143.34309523809523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,3.7857142857142856,6.957142857142857,10.171111111111111,20.132121212121213,37.67636363636364,45.245221445221446,47.30769230769231,98.42021978021978,147.38952380952378,140.53941176470587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,3.964285714285714,7.135714285714286,10.537777777777778,20.683636363636364,38.66727272727273,46.98997668997669,49.64835164835165,101.15428571428572,151.43595238095236,146.36735294117645,139.99019607843138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,4.142857142857142,7.314285714285715,10.904444444444445,21.235151515151514,39.65818181818183,48.73473193473193,51.98901098901099,103.88835164835166,155.48238095238094,152.19529411764705,146.96568627450978,160.5845889232886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,4.321428571428571,7.492857142857144,11.271111111111113,21.786666666666665,40.649090909090916,50.47948717948718,54.32967032967033,106.62241758241758,159.5288095238095,158.02323529411763,153.94117647058823,168.29563123495012,200.17684210526318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,4.5,7.671428571428573,11.63777777777778,22.338181818181816,41.64000000000001,52.224242424242426,56.67032967032967,109.35648351648352,163.57523809523806,163.85117647058823,160.91666666666669,176.00667354661164,208.60842105263157,214.93413533834587,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,4.678571428571429,7.85,12.004444444444447,22.88969696969697,42.6309090909091,53.96899766899767,59.010989010989015,112.09054945054945,167.62166666666664,169.6791176470588,167.89215686274508,183.71771585827315,217.04000000000002,224.2845112781955,241.86233766233767,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,8.028571428571428,12.371111111111114,23.44121212121212,43.62181818181819,55.71375291375291,61.35164835164835,114.82461538461538,171.66809523809522,175.5070588235294,174.86764705882354,191.42875816993467,225.4715789473684,233.63488721804512,251.97922077922075,273.343308865048,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,12.737777777777781,23.992727272727272,44.612727272727284,57.45850815850816,63.69230769230769,117.55868131868132,175.7145238095238,181.33499999999998,181.84313725490193,199.13980048159613,233.90315789473686,242.98526315789474,262.09610389610384,284.22416713721054,285.28418972332014,,,,,,,,,,,,,,,,,,,,,,,,
