data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40
26/03/2020,388.8571428571428,393.30952380952385,410.1222222222222,435.4545454545455,456.90909090909105,481.0081585081583,504.3461538461539,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,418.64285714285705,423.50000000000006,441.88888888888886,469.67272727272723,493.2727272727274,519.8648018648017,545.7032967032968,574.7472527472528,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,448.42857142857133,453.69047619047626,473.6555555555555,503.8909090909091,529.6363636363637,558.721445221445,587.0604395604397,619.0087912087913,644.6761904761904,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,478.2142857142856,483.8809523809524,505.4222222222222,538.1090909090909,566.0000000000002,597.5780885780883,628.4175824175826,663.2703296703298,691.3440476190476,707.4249999999998,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,507.9999999999999,514.0714285714287,537.1888888888889,572.3272727272728,602.3636363636365,636.4347319347318,669.7747252747255,707.5318681318681,738.0119047619048,755.5117647058821,768.5882352941178,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,537.7857142857142,544.2619047619048,568.9555555555555,606.5454545454545,638.727272727273,675.2913752913751,711.1318681318683,751.7934065934066,784.6797619047618,803.5985294117644,817.7647058823532,824.5228758169933,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,567.5714285714284,574.4523809523811,600.7222222222222,640.7636363636364,675.0909090909092,714.1480186480184,752.4890109890111,796.0549450549452,831.347619047619,851.6852941176468,866.9411764705884,874.2328861369107,879.8070175438595,,,,,,,,,,,,,,,,,,,,,
02/04/2020,597.3571428571427,604.6428571428572,632.4888888888888,674.9818181818182,711.4545454545457,753.0046620046618,793.846153846154,840.3164835164837,878.0154761904762,899.7720588235292,916.1176470588236,923.9428964568282,929.9350877192982,937.5736842105264,,,,,,,,,,,,,,,,,,,,
03/04/2020,627.142857142857,634.8333333333335,664.2555555555555,709.1999999999999,747.818181818182,791.8613053613051,835.2032967032969,884.578021978022,924.6833333333332,947.8588235294113,965.294117647059,973.6529067767455,980.0631578947367,988.2473684210527,1007.7571428571428,,,,,,,,,,,,,,,,,,,
04/04/2020,,665.0238095238096,696.0222222222221,743.4181818181818,784.1818181818185,830.7179487179484,876.5604395604398,928.8395604395605,971.3511904761904,995.9455882352937,1014.4705882352944,1023.362917096663,1030.1912280701754,1038.9210526315792,1059.761038961039,1082.7142857142856,,,,,,,,,,,,,,,,,,
05/04/2020,,,727.7888888888888,777.6363636363636,820.545454545455,869.5745920745918,917.9175824175827,973.101098901099,1018.0190476190476,1044.0323529411762,1063.6470588235297,1073.0729274165806,1080.319298245614,1089.5947368421055,1111.7649350649351,1136.2151326933933,1159.395256916996,,,,,,,,,,,,,,,,,
06/04/2020,,,,811.8545454545455,856.9090909090912,908.4312354312351,959.2747252747256,1017.3626373626375,1064.6869047619048,1092.1191176470584,1112.823529411765,1122.7829377364978,1130.4473684210525,1140.2684210526318,1163.7688311688312,1189.7159796725014,1214.344861660079,1244.6123188405797,,,,,,,,,,,,,,,,
07/04/2020,,,,,893.2727272727277,947.2878787878784,1000.6318681318685,1061.624175824176,1111.354761904762,1140.205882352941,1162.0000000000002,1172.4929480564151,1180.575438596491,1190.942105263158,1215.7727272727273,1243.2168266516092,1269.294466403162,1301.3779710144927,1327.0399999999995,,,,,,,,,,,,,,,
08/04/2020,,,,,,986.1445221445218,1041.9890109890111,1105.8857142857144,1158.022619047619,1188.2926470588231,1211.1764705882356,1222.2029583763328,1230.7035087719296,1241.6157894736843,1267.7766233766233,1296.717673630717,1324.244071146245,1358.1436231884059,1385.2861538461534,1412.5107692307688,,,,,,,,,,,,,,
09/04/2020,,,,,,,1083.346153846154,1150.1472527472529,1204.6904761904761,1236.3794117647053,1260.352941176471,1271.9129686962501,1280.8315789473681,1292.2894736842106,1319.7805194805194,1350.2185206098247,1379.193675889328,1414.9092753623188,1443.5323076923073,1472.2694017094013,1492.934472934473,,,,,,,,,,,,,
10/04/2020,,,,,,,,1194.4087912087914,1251.3583333333333,1284.466176470588,1309.5294117647063,1321.6229790161674,1330.9596491228067,1342.9631578947372,1371.7844155844157,1403.7193675889325,1434.143280632411,1471.674927536232,1501.7784615384612,1532.0280341880339,1553.800162800163,1571.3809523809523,,,,,,,,,,,,
11/04/2020,,,,,,,,,1298.0261904761903,1332.55294117647,1358.7058823529414,1371.3329893360851,1381.0877192982452,1393.6368421052634,1423.7883116883118,1457.2202145680405,1489.092885375494,1528.440579710145,1560.0246153846151,1591.7866666666664,1614.6658526658528,1633.1559934318557,1646.2068965517242,,,,,,,,,,,
12/04/2020,,,,,,,,,,1380.6397058823522,1407.8823529411768,1421.0429996560024,1431.2157894736838,1444.3105263157897,1475.7922077922078,1510.7210615471483,1544.042490118577,1585.206231884058,1618.2707692307686,1651.5452991452985,1675.5315425315428,1694.9310344827586,1708.6344827586204,1718.340229885057,,,,,,,,,,
13/04/2020,,,,,,,,,,,1457.0588235294122,1470.7530099759197,1481.3438596491224,1494.984210526316,1527.796103896104,1564.2219085262561,1598.99209486166,1641.971884057971,1676.5169230769225,1711.303931623931,1736.3972323972325,1756.706075533662,1771.062068965517,1781.2374490174261,1784.8064516129025,,,,,,,,,
14/04/2020,,,,,,,,,,,,1520.4630202958374,1531.471929824561,1545.6578947368423,1579.8,1617.722755505364,1653.941699604743,1698.737536231884,1734.7630769230764,1771.0625641025636,1797.2629222629223,1818.481116584565,1833.4896551724137,1844.1346681497953,1847.8709677419351,1866.6451612903231,,,,,,,,
15/04/2020,,,,,,,,,,,,,1581.5999999999995,1596.3315789473686,1631.803896103896,1671.2236024844717,1708.891304347826,1755.5031884057971,1793.0092307692303,1830.821196581196,1858.128612128612,1880.2561576354683,1895.9172413793103,1907.0318872821645,1910.9354838709673,1930.563049853373,1955.8181818181818,,,,,,,
16/04/2020,,,,,,,,,,,,,,1647.005263157895,1683.807792207792,1724.7244494635797,1763.840909090909,1812.26884057971,1851.2553846153842,1890.5798290598286,1918.994301994302,1942.0311986863712,1958.3448275862065,1969.929106414534,1973.9999999999995,1994.480938416423,2020.850267379679,2060.283422459893,,,,,,
17/04/2020,,,,,,,,,,,,,,,1735.8116883116884,1778.2252964426875,1818.790513833992,1869.0344927536232,1909.5015384615376,1950.3384615384612,1979.859991859992,2003.8062397372746,2020.7724137931032,2032.8263255469033,2037.0645161290317,2058.3988269794727,2085.8823529411766,2127.0055003819707,2167.201680672269,,,,,
18/04/2020,,,,,,,,,,,,,,,,1831.7261434217953,1873.740118577075,1925.8001449275362,1967.7476923076915,2010.0970940170937,2040.725681725682,2065.5812807881775,2083.2,2095.7235446792724,2100.129032258064,2122.3167155425226,2150.914438502674,2193.7275783040486,2235.598599439776,2300.0206349206346,,,,
19/04/2020,,,,,,,,,,,,,,,,,1928.689723320158,1982.5657971014493,2025.9938461538454,2069.855726495726,2101.5913715913716,2127.356321839081,2145.6275862068965,2158.6207638116416,2163.193548387096,2186.2346041055725,2215.946524064171,2260.4496562261265,2303.995518207283,2371.0292578292583,2453.405405405405,,,
20/04/2020,,,,,,,,,,,,,,,,,,2039.3314492753625,2084.2399999999993,2129.6143589743583,2162.4570614570616,2189.131362889984,2208.0551724137927,2221.5179829440112,2226.2580645161283,2250.1524926686225,2280.9786096256685,2327.1717341482045,2372.39243697479,2442.037880737881,2527.6657183499283,2617.4125177809387,,
21/04/2020,,,,,,,,,,,,,,,,,,,2142.486153846153,2189.372991452991,2223.3227513227516,2250.9064039408872,2270.4827586206893,2284.4152020763804,2289.3225806451605,2314.0703812316724,2346.0106951871658,2393.8938120702824,2440.789355742297,2513.046503646504,2601.9260312944516,2695.124630703578,2784.005398110662,
22/04/2020,,,,,,,,,,,,,,,,,,,,2249.1316239316234,2284.188441188441,2312.68144499179,2332.910344827586,2347.3124212087496,2352.3870967741927,2377.9882697947223,2411.042780748663,2460.6158899923603,2509.1862745098038,2584.0551265551267,2676.186344238976,2772.8367436262174,2865.050539811067,2954.8499999999995
23/04/2020,,,,,,,,,,,,,,,,,,,,,2345.054131054131,2374.456486042693,2395.3379310344826,2410.2096403411188,2415.451612903225,2441.9061583577723,2476.0748663101604,2527.337967914438,2577.583193277311,2655.0637494637494,2750.446657183499,2850.5488565488567,2946.0956815114714,3039.180487804878
