data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53,yhat_model_1_to_54,yhat_model_1_to_55,yhat_model_1_to_56,yhat_model_1_to_57,yhat_model_1_to_58,yhat_model_1_to_59,yhat_model_1_to_60,yhat_model_1_to_61
20/03/2020,,,10.794897595470738,13.785645688420232,17.128500433533194,16.567418933019887,20.703450377373517,32.640162533401934,44.78631060806452,60.20036517248733,68.43841944468407,153.445778502617,152.15780865010356,179.73646216587358,259.3986032097797,302.94122432641706,468.15364583133464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,13.785645688420232,17.128500433533194,16.567418933019887,20.703450377373517,32.640162533401934,44.78631060806452,60.20036517248733,68.43841944468332,153.4457785012488,152.15780566560812,179.73610162594417,259.3383962954459,300.0300098572229,435.7972012360183,538.5846682349267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,17.128500433533194,16.567418933019887,20.703450377373517,32.640162533401934,44.78631060806452,60.20036517248733,68.43841944468332,153.44577850124804,152.15780566111405,179.73610015275895,259.3377206815155,299.93986368210756,433.00853286826384,482.6224417447318,746.3605330710776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,16.567418933019887,20.703450377373517,32.640162533401934,44.78631060806452,60.20036517248733,68.43841944468332,153.44577850124804,152.15780566111155,179.73610015054425,259.33771791020695,299.93885306777787,432.9228370013342,477.6636297214079,696.5588893943815,874.3166093807262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,20.703450377373517,32.640162533401934,44.78631060806452,60.20036517248733,68.43841944468332,153.44577850124804,152.15780566111155,179.73610015054302,259.3377179060348,299.9388489237997,432.92187891854417,477.50974309358674,692.2953600203275,784.1539291601586,954.1826006422185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,32.640162533401934,44.78631060806452,60.20036517248733,68.43841944468332,153.44577850124804,152.15780566111155,179.73610015054302,259.3377179060325,299.9388489175618,432.9218749939167,477.5080165021423,692.1646642712415,776.1509646633461,872.3297197801063,1013.226631029766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,44.78631060806452,60.20036517248733,68.43841944468332,153.44577850124804,152.15780566111155,179.73610015054302,259.3377179060325,299.93884891755835,432.92187498801115,477.5080094202276,692.1632044135338,775.9024565993062,865.3132008231086,916.0978601365791,1241.3045736932904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,60.20036517248733,68.43841944468332,153.44577850124804,152.15780566111155,179.73610015054302,259.3377179060325,299.93884891755835,432.9218749880079,477.50800940956617,692.1631984354648,775.899667741513,865.0980176727519,907.6242965748432,1144.4488430417366,1437.5863925859187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,68.43841944468332,153.44577850124804,152.15780566111155,179.73610015054302,259.3377179060325,299.93884891755835,432.9218749880079,477.50800940956026,692.1631984264706,775.8996563015895,865.0956137128458,907.3627274195885,1136.0874479280017,1299.9973561533523,1656.5069447016192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,,,,,,,,,153.44577850124804,152.15780566111155,179.73610015054302,259.3377179060325,299.93884891755835,432.9218749880079,477.50800940956026,692.1631984264656,775.8996562843668,865.0956038681315,907.3597982030719,1135.8303292854414,1287.8971085383632,1515.5996474606634,1703.548584767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
