data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_54,yhat_model_49_to_55,yhat_model_50_to_56,yhat_model_51_to_57,yhat_model_52_to_58,yhat_model_53_to_59,yhat_model_54_to_60,yhat_model_55_to_61,yhat_model_56_to_61,yhat_model_57_to_61,yhat_model_58_to_61,yhat_model_59_to_61,yhat_model_60_to_61,yhat_model_61_to_61
19/03/2020,,9.881497356409598,10.207345170314003,14.878595346630652,19.611290239587568,21.28948637260938,23.305433783208677,26.612724419641886,32.09974939789554,38.73466975241244,48.364523239950074,53.09806493828569,52.14448949398363,68.10725632006447,74.82138434616009,93.75631252919898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,10.61872903003552,15.502246041289176,20.45788329463365,22.158638071302455,24.24373287726997,27.69627137663186,33.40843199703677,40.28700672190092,50.32225127711038,55.249756526230016,54.24723342505913,70.85562738770349,77.82669421770612,97.54029344389131,106.72190902747535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,16.1258967359477,21.30439905690186,23.027789769995522,25.18203197133126,28.77981833362183,34.71711459617799,41.8393436913894,52.27982186881969,57.40070940359282,56.3499773561346,73.60399845534252,80.83200408925215,101.32427435858366,110.82399748299042,106.63523204196214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,22.150914819170076,23.896941468688603,26.11989927843067,29.863365290611803,36.025797195319214,43.39168066087788,54.23624933841925,59.55166228095564,58.45272128721009,76.35236952298156,83.83731396079818,105.108255273276,114.92608593850547,110.6116530078207,116.07003600832431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,24.76609316738167,27.05764381759695,30.946912247601773,37.33447979446044,44.94401763036637,56.19232036011207,61.70261515831846,60.555465218285576,79.1007405906206,86.84262383234422,108.89223618796835,119.02817439402051,114.58807397367924,120.23137748466742,103.52117228294944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,27.995388356763232,32.03045920459175,38.64316239360166,46.49635459985484,58.14839138180488,63.85356803568128,62.65820914936106,81.84911165825963,89.84793370389026,112.67621710266069,123.13026284953557,118.5644949395378,124.3927189610105,107.111826331924,159.1592212729085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,33.11400616158172,39.95123035069458,48.04852591994178,60.104462403497685,66.00452091304409,64.76095308043656,84.59748272589866,92.85324357543628,116.46015894651718,127.23235130505063,122.54091590539635,128.5540604373536,110.70248038089858,164.5062233259368,100.50267454008045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,41.25894929911737,49.60043183978195,62.0605334251905,68.15538519371553,66.86369701151204,87.3458537935377,95.85855344698233,120.24408545219515,131.33443976056572,126.51733687125493,132.71540191369672,114.29313442987313,169.85317886328647,103.76764987299498,144.7736714567747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,51.152337759622114,64.01660444688332,70.30613649706001,68.96644094258752,90.09422486117674,98.86386331852836,124.0280119578731,135.43652821608077,130.49375783711346,136.8767433900398,117.88378847884772,175.2001344006362,107.0326252059095,149.30856777802802,132.1684641389569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,65.97267546857613,72.45688780040452,71.06918487366302,92.84135075636769,101.86917319007439,127.81193846355107,139.5386166715958,134.470178802972,141.03808486638292,121.47444252782228,180.54708993798593,110.29760053882401,153.84346409928133,136.20226059166453,172.13136651568655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
