data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53,yhat_model_1_to_54,yhat_model_1_to_55,yhat_model_1_to_56,yhat_model_1_to_57,yhat_model_1_to_58,yhat_model_1_to_59,yhat_model_1_to_60,yhat_model_1_to_61
20/03/2020,,,16.76712608223076,22.041109219847048,27.962446431051973,26.72108228886444,29.046056843705447,41.63755794449702,56.03206992577943,72.0629686058388,81.62784447544502,164.87901419280678,181.65124303665604,192.12351305053363,280.92322008840375,331.20932252679154,457.59842868578886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,22.645783105417916,28.86735969281942,27.626583044469367,29.949691278337543,42.620745420837,57.248551961810236,73.4921575417865,83.31372498172733,166.76962347997983,184.1236171355604,195.25457406912534,283.4936634085858,334.2398066107893,461.0236464139619,532.514748415102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,29.772272954586864,28.532083800074297,30.85332571296964,43.60297477733692,58.46503399784105,74.92134647773418,84.99905473174172,168.66023276715285,186.5959912344648,198.38536701228065,286.06410672876785,337.27029069478715,464.44886414213494,535.9363545938194,739.6617820830852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,29.43758455567923,31.756960147601742,44.584170031432244,59.681516033871844,76.35053541368185,86.6843353279089,170.5508420543259,189.06831148653058,201.5155760442625,288.6345500489499,340.300774778785,467.87408187030803,539.3579607725369,742.8219382783587,869.2869593081273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,32.660594582233834,45.56536528552757,60.897998069902656,77.77972434962955,88.3696159240761,172.44145134149895,191.53951052918717,204.64578507624435,291.2048583732218,343.3312588627828,471.29929959848107,542.7795669512543,745.9820944736322,873.5951066161662,948.2094536958487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,46.546245300771254,62.11448010593345,79.20891328557721,90.05423160070444,174.33206062867197,194.01070957184373,207.77562662406845,293.7746663608024,346.36157256530214,474.7245173266541,546.2011731299718,749.1422506689057,877.903253924205,952.22011039429,1012.9019278621862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,63.330962141964264,80.63810222152492,91.73847073891334,176.22266991584502,196.48190861450033,210.90534964350957,296.3444743483831,349.39179429676506,478.14969103989006,549.6227793086892,752.3024068641791,882.2114012322438,956.2307670927314,1016.3904009036322,1241.6318794220788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,82.0672911574726,93.42270987712226,178.11327920301807,198.95247942175178,214.0350726629507,298.9142823359637,352.4220160282279,481.5744088007152,553.0443854874068,755.4625630594527,886.5195485402827,960.2414237911729,1019.8788484100876,1244.8928021475901,1443.5289796596187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,95.10694901533114,180.00388849019112,201.4228772127464,217.16479568239185,301.4840903235444,355.4522377596908,484.9991265615403,556.4659916661242,758.6227192547262,890.8276958483216,964.2520804896144,1023.3672759315552,1248.1537248731015,1447.207818652566,1661.0173901199366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,,,,,,,,,181.89449777736417,203.8932750037411,220.294518701833,304.05389831112507,358.48216521318324,488.4238443223655,559.8875978448417,761.7828754499997,895.1358431563606,968.2627371880558,1026.8557034530227,1251.4146475986129,1450.8866576455132,1664.9011692073275,1715.7364658522429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
