data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53,yhat_model_1_to_54,yhat_model_1_to_55,yhat_model_1_to_56,yhat_model_1_to_57,yhat_model_1_to_58
22/03/2020,,,,,61.72774065387249,74.47394071540968,75.82487573996552,88.21779714059252,119.2320738886248,156.43160136004605,184.35552346940176,268.29669245919575,348.0021471569842,359.1588222430846,401.89306766965063,417.2269396685181,481.007404556816,461.19133776150824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,84.67653024089884,86.10581656580212,98.99046710414912,134.93374057791178,179.10934794544326,214.66504484348113,302.21119936333093,412.21870564357755,434.5288865306479,476.05276941850053,502.2534143782791,570.1070049450873,560.9111855406724,646.240043726085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,97.80016796702695,111.25883293097431,153.00271920497653,205.4849324974,250.22370805673998,342.134532186388,489.4960266604135,525.7154816644636,565.7264004310193,605.5734160836117,678.5621541635801,682.8254234439381,770.1350801443633,748.4412584557019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,125.2305595846256,173.7959251165554,236.16132522618102,291.9405835530089,389.13130876361873,582.4904892145827,636.0377324240461,674.1594160626402,731.1228145366142,810.5775542411086,831.8737998158043,921.6977194791272,914.0254874162712,904.4726968896776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,197.7240851418104,271.83981678706647,340.88217876242305,444.454771322199,694.3987431750777,769.5112873341659,805.2762086605209,883.6842856142636,971.2713155167445,1014.0954900889009,1107.1065486477733,1117.2826676397804,1110.9103130057454,1050.1433189898771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,313.33605043209576,398.2997037603434,509.5802061366688,829.067592916445,930.9944853081465,963.8221386156617,1069.0695024625074,1166.873380864774,1236.873793444186,1333.9199248503294,1366.7839732396646,1364.4654258624396,1286.4608371072097,1165.9740106998656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,465.66105891806524,586.2442843346439,991.1262297803992,1126.3651955995124,1155.5352777742137,1294.3405252384891,1404.9670545997965,1509.2352909776491,1611.3840987792264,1673.0506518760271,1675.8921729123779,1575.957734038144,1421.959724593978,1349.1563328035027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,,,,,,,,,676.4913729366441,1186.1453587968067,1362.7347679057475,1387.3540809211972,1568.0788230666185,1694.782999905767,1842.2155867309914,1950.8101463210269,2048.997696391182,2058.3992250692077,1930.6011561607004,1734.1462500984155,1641.338267772973,1560.9419422418907,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,,,,,,,,,1420.8286895855629,1648.7068802500698,1667.6685013535678,1900.712176324651,2047.5571027870992,2249.3064507631243,2366.035074708979,2510.4784585458265,2528.210011508324,2365.0512597305615,2114.8722883758755,1996.796993613007,1894.5502775052537,1796.0539432416592,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,,,,,,,,,1994.690706513127,2006.6236388818857,2304.911912267896,2476.966076583701,2747.002481705416,2873.9859005322323,3076.9531707316446,3105.2508106516675,2897.2672285541316,2579.185461368314,2429.236137357547,2299.4582033205543,2174.5014427861815,1956.1804485854445,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,,,,,,,,,2416.4869098460695,2796.075606276214,2999.6576950188482,3355.469438596294,3495.3696947476346,3772.309566625071,3813.9958916229816,3549.249665992459,3145.43704633922,2955.327071264363,2790.9040428215967,2632.6918200156592,2356.9931478302865,2390.6668539333496,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,,,,,,,,,3392.913636733933,3635.896210406194,4099.361321613892,4255.517724997876,4625.870205623708,4684.505551506237,4347.9500501008815,3836.007282405483,3595.351626725159,3387.382890887056,3187.427739894534,2839.930591748917,2802.915007844947,3046.0216786228307,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,,,,,,,,,4410.347979260258,5008.819308366506,5185.418107454616,5673.628979038982,5753.701075109079,5326.384846721129,4678.189915704631,4373.983998415763,4111.3426593749155,3859.0523660261733,3421.819776343313,3296.8430481149844,3582.118180301391,3527.6559329498014,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,,,,,,,,,6120.693020864793,6322.979065165085,6959.768940409003,7066.930692624944,6525.000335439045,5705.270943509931,5321.24198261614,4990.02888284931,4672.195381039433,4122.935474477046,3888.634440387211,4226.426725862639,4225.988628938836,4164.635569074382,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,,,,,,,,,7714.574290761583,8538.525465482991,8679.892952801285,7993.344567223451,6957.844193026097,6473.644221792383,6056.510078256568,5656.676201335114,4967.7066700650785,4597.67912587628,5000.790111155089,5067.84948680388,5024.592127418189,4950.763561019887,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,,,,,,,,,10476.47330967303,10660.99908843239,9792.115568690078,8485.41573113156,7875.618069475989,7350.922246982731,6848.597508701015,5985.567737496363,5447.208829392191,5931.460139688154,6082.737817360288,6062.121313660118,5968.8658119490265,5662.743331730547,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,,,,,,,,,,13094.274570157626,11995.670461118278,10348.360516940493,9581.212351376873,8921.97935493909,8291.669200566124,7211.984023945598,6465.05824273069,7049.987588765079,7306.21591813771,7313.8901406541345,7196.3362099470705,6810.548408329323,6155.031854314711,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,,,,,,,,,,14695.099215520699,12620.308630923411,11656.181053010956,10828.806636151374,10038.811310530227,8689.687568952708,7684.577023469976,8394.291816881827,8781.155197675249,8824.137001187852,8676.230372430698,8191.006885707134,7368.542791635155,6562.416120443695,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,,,,,,,,,15391.055392690258,14180.518264063609,13143.165714482486,12154.094681146815,10470.166017464382,9145.722490654356,10009.946273304808,10559.238415462636,10646.235083969754,10460.458110814505,9851.276252533089,8821.306559786042,7815.113123187153,7266.420264398507,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,,,,,,,,,17251.54210653737,15952.155283820068,14715.090556919633,12615.456604555236,10896.368819347419,11951.72349007091,12702.770676918473,12844.578619743896,12611.604255668228,11848.072545643357,10560.493658265937,9306.936958469287,8624.480406330384,8277.154223528822,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,19361.488984248743,17815.715261312573,15200.30771966293,12993.875629584642,14285.451933403836,15286.862641758888,15496.858618799472,15205.123926374992,14249.607812057075,12642.57460620211,11083.534452230248,10236.355670701601,9805.241397329608,9310.609751199923,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,21569.674277193728,18314.783365749623,15506.967364267566,17090.247663931324,18402.062446690947,18696.808526043165,18331.98924811737,17137.920283253316,15135.153511339895,13199.26593485588,12149.482923074875,11615.436448750555,11002.932726227438,10325.709921882175,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,22067.401260596143,18517.98503348664,20461.19646153441,22157.52856658504,22557.516827020092,22101.880354303066,20611.676862196084,18119.163140982957,15718.868558575183,14420.164758496594,13759.820735439214,13002.857150390644,12166.675347302287,10992.366569936356,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,22125.584103280784,24512.577341925517,26684.854793090108,27215.42367471533,26647.03260428185,24789.54365814924,21691.492767719606,18719.43712485412,17115.2264650914,16300.090617067517,15366.293540125587,14335.86553627207,12892.39719487977,11521.423408656592,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29381.736745850485,32142.68136024302,32835.142780744696,32126.87496407588,29814.2397092583,25968.13411474734,22292.783031142655,20313.982666443906,19309.332529333387,18159.31486674923,16891.79951034384,15120.848124291228,13444.14171797773,11843.893384172681,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38722.25379368687,39615.278979968614,38733.6222492374,35857.412371078644,31087.947548037617,26548.24351602799,24110.571520292164,22874.12576332355,21460.00371323406,19903.429616838537,17734.486809690152,15687.72712556219,13741.663531152219,12242.85841639427,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47795.447065363725,46699.017387288346,43125.500917949445,37217.17080168205,31616.02716007755,28616.725168097597,27097.03344957649,25360.635175464693,23452.00168104421,20799.892956918135,18305.72657806815,15943.51709174806,14130.411073920293,13405.062623514632,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56302.46019609477,51866.78866219908,44554.81663243505,37651.19800800713,33965.05796875059,32099.553415272585,29970.256533850883,27633.24680397779,24395.154574355085,21360.623044301068,18498.177944657367,16308.978698193185,15433.891310945643,14327.0879434608,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62379.88449682072,53339.13466254646,44838.420218344814,40312.96928785787,38025.613814048054,35417.735813408035,32559.963934624335,28611.857183079264,24925.326776560963,21462.177090731937,18823.428758490158,17769.779052000365,16438.94880128814,15545.95993595078,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63855.34722362909,53397.608417381874,47847.2757001908,45045.714101653444,41855.36445881019,38365.062887631044,33557.41686201495,29084.91543668245,24901.103603394426,21725.546202669837,20459.198603593377,18862.10503891797,17791.231450158568,16801.204331050416,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63590.65664694166,56789.708929220884,53361.83049800684,49463.11484193262,45205.14989903556,39357.816559947336,33938.66461780789,28891.05602128066,25075.09996506085,23555.656278920207,21642.442640328445,20360.782982665824,19176.68825554337,17663.57429992429,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67403.44132597646,63213.227071329595,58453.67162610448,53264.75244885117,46160.81537908496,39602.41722371767,33520.32630035703,28941.073904071814,27120.756461750065,24832.611337571925,23301.449639874103,21888.036429070882,20084.962344419924,18251.815517670322,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74883.33963582326,69078.37764547359,62761.29732506265,54139.71258330439,46211.34825494823,38891.353588971404,33403.08752060898,31225.42723276971,28493.021609946485,26666.83082776515,24982.735931051357,22838.28321080493,20663.265591609885,18965.707155319567,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81634.26052435765,73950.97622405026,63497.76221524168,53923.190987977745,45122.991060092645,38553.03571691174,35951.331491956444,32692.9886441922,30518.267205992077,28514.987930652787,25969.03947703161,23393.319119187978,21387.164175061745,19587.384689476527,
