data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_54,yhat_model_49_to_55,yhat_model_50_to_56,yhat_model_51_to_57,yhat_model_52_to_58,yhat_model_53_to_59,yhat_model_54_to_60,yhat_model_55_to_61,yhat_model_56_to_61,yhat_model_57_to_61,yhat_model_58_to_61,yhat_model_59_to_61,yhat_model_60_to_61,yhat_model_61_to_61
19/03/2020,,2.8640300968357537,2.6429845941368826,2.9768907731209766,3.827460815862287,6.0,10.000000000000073,13.00000000001396,14.566113291064754,17.43388682470858,19.00000489925772,30.000128307442694,42.00205864743852,56.02036938867476,65.12564041832903,136.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,2.6429845941368826,2.9768907731209766,3.827460815862287,6.0,10.0,13.000000000000073,14.566113289459599,17.43388671217355,19.00000011415429,30.00000489925772,42.000128307442694,56.00205864743852,65.02036938867475,136.12564041832903,152.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,2.9768907731209766,3.827460815862287,6.0,10.0,13.0,14.566113289445711,17.433886710568324,19.00000000161919,30.00000011415429,42.000004899257725,56.000128307442694,65.00205864743852,136.02036938867477,152.12564041832903,164.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,3.827460815862287,6.0,10.0,13.0,14.566113289445639,17.433886710554436,19.000000000013962,30.00000000161919,42.00000011415429,56.000004899257725,65.0001283074427,136.00205864743853,152.02036938867477,164.12564041832903,240.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,6.0,10.0,13.0,14.566113289445639,17.43388671055436,19.000000000000075,30.000000000013962,42.00000000161919,56.00000011415429,65.00000489925772,136.00012830744268,152.00205864743853,164.02036938867477,240.12564041832903,286.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,10.0,13.0,14.566113289445639,17.43388671055436,19.0,30.000000000000075,42.00000000001396,56.00000000161919,65.00000011415429,136.00000489925773,152.00012830744268,164.00205864743853,240.02036938867477,286.12564041832906,396.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,13.0,14.566113289445639,17.43388671055436,19.0,30.0,42.00000000000007,56.00000000001396,65.00000000161918,136.0000001141543,152.00000489925773,164.00012830744268,240.00205864743853,286.02036938867474,396.12564041832906,459.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,14.566113289445639,17.43388671055436,19.0,30.0,42.0,56.00000000000007,65.00000000001396,136.00000000161918,152.0000001141543,164.00000489925773,240.00012830744268,286.0020586474385,396.02036938867474,459.12564041832906,631.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,17.43388671055436,19.0,30.0,42.0,56.0,65.00000000000007,136.00000000001396,152.00000000161918,164.0000001141543,240.00000489925773,286.0001283074427,396.0020586474385,459.02036938867474,631.125640418329,745.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,19.0,30.0,42.0,56.0,65.0,136.00000000000009,152.00000000001396,164.00000000161918,240.0000001141543,286.0000048992577,396.0001283074427,459.0020586474385,631.0203693886748,745.125640418329,810.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,,,,,,,,,30.0,42.0,56.0,65.0,136.0,152.00000000000009,164.00000000001396,240.00000000161918,286.0000001141543,396.0000048992577,459.0001283074427,631.0020586474385,745.0203693886748,810.125640418329,862.4914659971654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,,,,,,,,,42.0,56.0,65.0,136.0,152.0,164.00000000000009,240.00000000001396,286.0000000016192,396.0000001141543,459.0000048992577,631.0001283074427,745.0020586474385,810.0203693886748,862.125640418329,1052.4914659971653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,,,,,,,,,56.0,65.0,136.0,152.0,164.0,240.00000000000009,286.000000000014,396.0000000016192,459.0000001141543,631.0000048992578,745.0001283074427,810.0020586474385,862.0203693886748,1052.125640418329,1223.4914659971653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,,,,,,,,,65.0,136.0,152.0,164.0,240.0,286.00000000000006,396.000000000014,459.0000000016192,631.0000001141543,745.0000048992578,810.0001283074427,862.0020586474385,1052.0203693886747,1223.125640418329,1406.4914659971653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,,,,,,,,,136.0,152.0,164.0,240.0,286.0,396.00000000000006,459.000000000014,631.0000000016192,745.0000001141543,810.0000048992578,862.0001283074427,1052.0020586474386,1223.0203693886747,1406.125640418329,1451.4914659971653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,,,,,,,,,152.0,164.0,240.0,286.0,396.0,459.00000000000006,631.000000000014,745.0000000016192,810.0000001141543,862.0000048992578,1052.0001283074428,1223.0020586474386,1406.0203693886747,1451.125640418329,1517.4914659971653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,,,,,,,,,164.0,240.0,286.0,396.0,459.0,631.0000000000001,745.000000000014,810.0000000016192,862.0000001141543,1052.0000048992576,1223.0001283074428,1406.0020586474386,1451.0203693886747,1517.125640418329,2339.4914659971655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,,,,,,,,,240.0,286.0,396.0,459.0,631.0,745.0000000000001,810.000000000014,862.0000000016192,1052.0000001141543,1223.0000048992576,1406.0001283074428,1451.0020586474386,1517.0203693886747,2339.125640418329,2981.4914659971655,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,,,,,,,,,286.0,396.0,459.0,631.0,745.0,810.0000000000001,862.000000000014,1052.0000000016191,1223.0000001141543,1406.0000048992576,1451.0001283074428,1517.0020586474386,2339.0203693886747,2981.125640418329,3506.4914659971655,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,,,,,,,,,,396.0,459.0,631.0,745.0,810.0,862.0000000000001,1052.0000000000139,1223.0000000016191,1406.0000001141543,1451.0000048992576,1517.0001283074428,2339.0020586474384,2981.0203693886747,3506.125640418329,4048.4914659971655,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,,,,,,,,,,459.0,631.0,745.0,810.0,862.0,1052.0,1223.0000000000139,1406.0000000016191,1451.0000001141543,1517.0000048992576,2339.0001283074425,2981.0020586474384,3506.0203693886747,4048.125640418329,4466.4914659971655,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,,,,,,,,,631.0,745.0,810.0,862.0,1052.0,1223.0,1406.0000000000139,1451.0000000016191,1517.0000001141543,2339.000004899258,2981.0001283074425,3506.0020586474384,4048.0203693886747,4466.125640418329,4620.4914659971655,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,,,,,,,,,745.0,810.0,862.0,1052.0,1223.0,1406.0,1451.0000000000139,1517.0000000016191,2339.0000001141543,2981.000004899258,3506.0001283074425,4048.0020586474384,4466.020369388675,4620.125640418329,4866.4914659971655,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,810.0,862.0,1052.0,1223.0,1406.0,1451.0,1517.0000000000139,2339.0000000016194,2981.0000001141543,3506.000004899258,4048.0001283074425,4466.002058647438,4620.020369388675,4866.125640418329,5682.4914659971655,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,862.0,1052.0,1223.0,1406.0,1451.0,1517.0,2339.000000000014,2981.0000000016194,3506.0000001141543,4048.000004899258,4466.0001283074425,4620.002058647438,4866.020369388675,5682.125640418329,6708.4914659971655,,,,,,,,,,,,,,,,,,,,,
