data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_54,yhat_model_49_to_55,yhat_model_50_to_56,yhat_model_51_to_57,yhat_model_52_to_58,yhat_model_53_to_59,yhat_model_54_to_60,yhat_model_55_to_61,yhat_model_56_to_61,yhat_model_57_to_61,yhat_model_58_to_61,yhat_model_59_to_61,yhat_model_60_to_61
19/03/2020,,5.247034091619246,19082.270913437067,18.137477377594944,377563002.19603777,2899443960.387647,5.722406693842925e+32,1.624340007001335e+50,1.2192144733456798e+37,1.1300600874010115e+21,144.46126884035834,73.04380064297634,198.2800190394129,406.0705934413132,262.70986426715706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,34485.79561329241,19.58150843871487,414396386.1735392,3214210378.553294,8.426457843667623e+32,2.9747224036632435e+50,1.8967287784746022e+37,1.443563647077481e+21,177.83785712301582,77.91331931070034,244.3876900483201,616.8763028878897,360.8049108749162,318.75571581378165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,21.140507290672957,454823072.90407276,3563148141.0726995,1.2408274278636344e+33,5.447734674215132e+50,2.9507360171189063e+37,1.8440399996395565e+21,218.92583167780333,83.10746802021549,301.21715408591893,937.1187650888785,495.5283429291879,421.1932270906707,324.3922359896278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,499193609.18189514,3949966921.8740664,1.8271647877473362e+33,9.976666408972782e+50,4.590452331157759e+37,2.3556173135524651e+21,269.5068448933473,88.64788847190827,371.2616371867209,1423.610496578446,680.5570856857697,556.5507557853276,386.82318300038384,1434.8245358046145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,4378779120.646433,2.6905684760142723e+33,1.8270690220475164e+51,7.141354727220437e+37,3.0091174426762706e+21,331.7741852924113,94.55766512603124,457.59413558249213,2162.657414907401,934.674985772296,735.4077032642775,461.2692854687582,2709.1189593788786,484.84198835570464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,3.96196269360397e+33,3.345988604293099e+51,1.1109786936210537e+38,3.8439129020338253e+21,408.4278826758674,100.86142138535016,564.002234397779,3285.369913677254,1283.6797197521398,971.7433394862663,550.0429215915108,5115.138020657268,552.3239785394583,611.7270738941661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,6.127650135249305e+51,1.7283466580581806e+38,4.910299009559698e+21,502.79178652814755,107.58542218987795,695.1542768369734,4990.92246201086,1763.001736417898,1284.0294079658026,655.9014985909276,9657.987472197356,629.1983462576003,684.9591598915232,1219.3498333859357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,2.6887843912511486e+38,6.272524112220579e+21,618.9576944255556,114.75768345116208,856.8041740485671,7581.888090624175,2421.301103995526,1696.6738577211634,782.1331008297524,18235.42622631628,716.7723552038696,766.9581268205752,1712.7971590105087,998.7029891555753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,,,,,,,,8.012660463607197e+21,761.9627801281757,122.4080887820891,1056.0438410986153,11517.916268245886,3325.407408912655,2241.9285427698574,932.6586213444351,34430.64827042763,816.5352185686808,858.7734900709738,2405.9330862974202,1192.5849358116398,1436.3194443805598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,,,,,,,,938.0080149734501,130.56851400856746,1301.61433394126,17497.27687571314,4567.1041974098935,2962.409992947628,1112.1535491149657,65009.14898337292,930.1834234013771,961.58040635928,3379.5677353205574,1424.1059099336458,1911.7332521379742,1214.484261625538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
