data,yhat,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_48,yhat_model_44_to_48,yhat_model_45_to_48,yhat_model_46_to_48,yhat_model_47_to_48,yhat_model_48_to_48
05/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,,13.535714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,,15.357142857142854,19.428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,,17.178571428571427,22.0,22.64285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,,18.999999999999996,24.57142857142857,25.42857142857143,27.82142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,20.82142857142857,27.14285714285714,28.214285714285715,31.07142857142857,31.35714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,22.64285714285714,29.714285714285715,31.0,34.32142857142856,34.714285714285715,35.89285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,24.46428571428571,32.285714285714285,33.785714285714285,37.57142857142856,38.07142857142858,39.35714285714285,39.64285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,26.28571428571428,34.857142857142854,36.57142857142857,40.82142857142856,41.42857142857143,42.82142857142857,43.14285714285714,49.92857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,28.10714285714285,37.42857142857142,39.357142857142854,44.07142857142856,44.785714285714285,46.28571428571428,46.64285714285714,54.57142857142856,69.78571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,29.928571428571423,39.99999999999999,42.14285714285714,47.32142857142856,48.142857142857146,49.75,50.14285714285714,59.2142857142857,77.0,110.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,31.749999999999993,42.57142857142857,44.92857142857142,50.571428571428555,51.5,53.21428571428571,53.64285714285714,63.857142857142854,84.2142857142857,123.5,145.32142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,33.57142857142856,45.14285714285714,47.71428571428571,53.821428571428555,54.857142857142854,56.67857142857143,57.14285714285714,68.5,91.42857142857142,136.25,162.2142857142857,209.1785714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,35.39285714285714,47.71428571428571,50.5,57.071428571428555,58.214285714285715,60.14285714285714,60.64285714285714,73.14285714285714,98.64285714285711,149.0,179.1071428571428,234.21428571428567,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,37.21428571428571,50.285714285714285,53.285714285714285,60.321428571428555,61.57142857142858,63.60714285714285,64.14285714285714,77.78571428571428,105.85714285714283,161.75,195.99999999999997,259.25,313.42857142857133,364.7499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,39.03571428571428,52.857142857142854,56.07142857142857,63.571428571428555,64.92857142857143,67.07142857142857,67.64285714285714,82.42857142857142,113.07142857142856,174.5,212.89285714285714,284.2857142857142,346.8571428571428,407.35714285714266,451.892857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,,55.42857142857142,58.85714285714286,66.82142857142856,68.28571428571428,70.53571428571428,71.14285714285714,87.07142857142856,120.28571428571425,187.24999999999994,229.78571428571425,309.32142857142856,380.2857142857142,449.96428571428555,502.642857142857,527.0357142857144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,,61.64285714285714,70.07142857142856,71.64285714285714,73.99999999999999,74.64285714285714,91.7142857142857,127.49999999999997,199.99999999999994,246.67857142857136,334.3571428571428,413.71428571428567,492.57142857142844,553.392857142857,582.6428571428573,612.6071428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,,73.32142857142856,75.0,77.46428571428571,78.14285714285714,96.35714285714283,134.71428571428567,212.74999999999994,263.57142857142856,359.3928571428571,447.1428571428571,535.1785714285711,604.142857142857,638.2500000000002,674.3571428571429,679.4285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,,78.35714285714285,80.92857142857142,81.64285714285714,101.0,141.9285714285714,225.49999999999994,280.46428571428567,384.42857142857133,480.57142857142844,577.785714285714,654.8928571428568,693.8571428571429,736.1071428571429,742.0000000000001,734.6428571428573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,,84.39285714285712,85.14285714285714,105.64285714285714,149.1428571428571,238.24999999999994,297.3571428571428,409.46428571428567,513.9999999999999,620.3928571428569,705.6428571428568,749.4642857142858,797.8571428571429,804.5714285714286,796.4285714285716,781.4642857142856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,,88.64285714285714,110.28571428571428,156.3571428571428,250.99999999999994,314.2499999999999,434.4999999999999,547.4285714285713,662.9999999999998,756.3928571428568,805.0714285714287,859.6071428571429,867.142857142857,858.2142857142858,840.4999999999998,828.3214285714284,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,,114.92857142857142,163.57142857142853,263.74999999999994,331.1428571428571,459.5357142857142,580.8571428571427,705.6071428571424,807.1428571428568,860.6785714285716,921.3571428571429,929.7142857142857,920.0,899.5357142857142,885.2142857142856,924.5,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,,170.78571428571422,276.49999999999994,348.0357142857142,484.57142857142844,614.2857142857142,748.2142857142853,857.8928571428568,916.2857142857144,983.1071428571429,992.2857142857143,981.7857142857144,958.5714285714284,942.1071428571427,987.4285714285716,1075.8928571428569,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,,289.24999999999994,364.92857142857133,509.6071428571428,647.7142857142856,790.8214285714282,908.6428571428568,971.8928571428573,1044.857142857143,1054.8571428571427,1043.5714285714287,1017.6071428571427,998.9999999999998,1050.357142857143,1152.7857142857142,1222.1071428571431,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,,381.82142857142844,534.6428571428571,681.1428571428569,833.4285714285711,959.3928571428568,1027.5000000000002,1106.607142857143,1117.428571428571,1105.357142857143,1076.6428571428569,1055.8928571428569,1113.2857142857142,1229.6785714285716,1311.6428571428573,1418.428571428571,,,,,,,,,,,,,,,,,,,,,,,
