data,yhat,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_48,yhat_model_44_to_48,yhat_model_45_to_48,yhat_model_46_to_48,yhat_model_47_to_48,yhat_model_48_to_48
06/04/2020,,,,,,,,,,,,,559.6785714285713,714.5714285714284,876.035714285714,1010.1428571428568,1083.1071428571431,1168.357142857143,1179.9999999999995,1167.1428571428573,1135.678571428571,1112.785714285714,1176.2142857142858,1306.5714285714284,1401.1785714285716,1527.5714285714284,1616.3214285714284,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,,,747.9999999999998,918.6428571428567,1060.8928571428569,1138.714285714286,1230.107142857143,1242.5714285714284,1228.9285714285716,1194.7142857142853,1169.678571428571,1239.1428571428573,1383.4642857142858,1490.7142857142858,1636.7142857142853,1742.3571428571422,1750.4642857142858,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,,,961.2499999999995,1111.6428571428569,1194.321428571429,1291.857142857143,1305.1428571428569,1290.7142857142858,1253.7499999999995,1226.5714285714282,1302.0714285714284,1460.3571428571427,1580.25,1745.8571428571427,1868.3928571428569,1880.3571428571427,1924.2142857142853,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,,1162.3928571428569,1249.9285714285718,1353.607142857143,1367.7142857142853,1352.5,1312.7857142857142,1283.4642857142856,1365.0,1537.25,1669.7857142857147,1854.9999999999995,1994.4285714285706,2010.2499999999995,2060.857142857142,2163.4642857142853,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,,1305.5357142857144,1415.357142857143,1430.2857142857142,1414.2857142857142,1371.8214285714284,1340.3571428571424,1427.9285714285716,1614.1428571428569,1759.321428571429,1964.1428571428569,2120.4642857142853,2140.1428571428564,2197.5,2316.357142857143,2485.2857142857138,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,,1477.107142857143,1492.8571428571427,1476.0714285714284,1430.8571428571427,1397.2499999999998,1490.8571428571427,1691.0357142857142,1848.8571428571431,2073.2857142857138,2246.499999999999,2270.035714285714,2334.142857142857,2469.25,2667.5714285714284,2803.6785714285706,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,,1555.428571428571,1537.8571428571431,1489.8928571428569,1454.1428571428567,1553.7857142857142,1767.928571428571,1938.3928571428573,2182.4285714285706,2372.5357142857138,2399.928571428571,2470.7857142857138,2622.142857142857,2849.857142857142,3009.9285714285706,3069.1785714285725,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,,,1599.6428571428573,1548.928571428571,1511.035714285714,1616.7142857142858,1844.8214285714284,2027.9285714285716,2291.5714285714284,2498.5714285714275,2529.821428571428,2607.4285714285716,2775.0357142857138,3032.142857142857,3216.1785714285706,3289.642857142857,3344.499999999999,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,,1607.9642857142853,1567.9285714285709,1679.6428571428573,1921.7142857142858,2117.464285714286,2400.7142857142853,2624.607142857142,2659.714285714285,2744.0714285714284,2927.9285714285706,3214.4285714285716,3422.4285714285706,3510.107142857143,3578.285714285713,3652.357142857142,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,,1624.8214285714282,1742.5714285714284,1998.6071428571427,2207.0,2509.857142857142,2750.642857142857,2789.6071428571418,2880.7142857142853,3080.8214285714284,3396.7142857142853,3628.6785714285706,3730.5714285714294,3812.0714285714284,3897.142857142856,3895.3214285714284,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,,1805.5,2075.5,2296.5357142857147,2618.999999999999,2876.6785714285706,2919.4999999999995,3017.357142857142,3233.7142857142853,3579.0,3834.9285714285706,3951.0357142857138,4045.857142857142,4141.928571428572,4139.499999999999,4199.607142857141,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,,2152.392857142857,2386.071428571429,2728.142857142857,3002.7142857142853,3049.3928571428564,3154.0,3386.607142857142,3761.2857142857147,4041.1785714285706,4171.5,4279.642857142856,4386.714285714285,4383.678571428572,4453.0714285714275,4476.8214285714275,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,2475.607142857143,2837.2857142857138,3128.749999999999,3179.2857142857133,3290.642857142857,3539.5,3943.5714285714284,4247.428571428571,4391.964285714286,4513.428571428572,4631.499999999999,4627.857142857142,4706.535714285712,4736.357142857143,4862.000000000001,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,2946.4285714285706,3254.7857142857138,3309.17857142857,3427.2857142857138,3692.392857142857,4125.857142857142,4453.678571428571,4612.428571428571,4747.214285714285,4876.285714285713,4872.035714285715,4959.999999999998,4995.892857142857,5144.714285714285,5123.928571428571,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,3380.8214285714275,3439.071428571427,3563.9285714285716,3845.2857142857138,4308.142857142858,4659.928571428571,4832.892857142857,4980.999999999999,5121.071428571428,5116.214285714285,5213.464285714284,5255.428571428571,5427.428571428572,5403.714285714286,5332.500000000002,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,3568.964285714285,3700.5714285714284,3998.1785714285706,4490.428571428572,4866.178571428571,5053.357142857143,5214.785714285715,5365.857142857142,5360.392857142856,5466.928571428569,5514.964285714284,5710.142857142858,5683.5,5599.4285714285725,5505.785714285714,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3837.2142857142853,4151.0714285714275,4672.714285714285,5072.428571428571,5273.8214285714275,5448.571428571428,5610.642857142856,5604.571428571428,5720.392857142855,5774.499999999998,5992.857142857142,5963.285714285714,5866.357142857143,5759.714285714284,5759.678571428571,5750.590476190476,5680.4,5726.299999999999,5801.499999999998,6120.0,5306.0
