data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53
05/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/03/2020,18.85084668711986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/03/2020,17.248172744606943,18.767913701458355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/03/2020,17.109398644791227,16.786062451534523,26.045629521535158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/03/2020,17.105128086661264,16.612890510817312,24.416819379980556,28.094717659491153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,17.105080318720876,16.607542356314106,24.278070979326383,24.864873424003555,36.68921785375401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,17.10508012301383,16.60748245466141,24.2738247262523,24.577344100109947,34.33934745281313,38.63186239500964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,17.105080122719325,16.60748220911991,24.273777323574663,24.568406704696717,34.141406286006635,34.1978141813029,53.30073018647833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,17.105080122719162,16.607482208750348,24.273777129503074,24.568306369198776,34.135374623173234,33.80356281244325,50.08367679228307,76.54832140934123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,17.105080122719162,16.60748220875014,24.273777129211105,24.568305957567006,34.135307398000386,33.79131244731897,49.81272947165933,69.90117233578906,128.97131521050426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,17.105080122719162,16.60748220875014,24.273777129210945,24.568305956947267,34.13530712293804,33.7911749350356,49.804473510489444,69.30856638771859,120.5835892122929,139.24782391279163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,17.105080122719162,16.60748220875014,24.273777129210945,24.568305956946922,34.13530712252432,33.79117437090765,49.804381495926826,69.29013625302579,119.85077160578265,122.97883177895254,220.72471894502425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,17.105080122719162,16.60748220875014,24.273777129210945,24.568305956946922,34.13530712252409,33.79117437005833,49.80438111943661,69.28992930639825,119.8281456912016,121.53238574544784,209.33402472066646,273.16018893345927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,17.105080122719162,16.60748220875014,24.273777129210945,24.568305956946922,34.13530712252409,33.79117437005786,49.80438111887033,69.28992845732652,119.82789230319453,121.4874499138191,208.37774351476898,243.68695625568455,360.51918380270763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,17.105080122719162,16.60748220875014,24.273777129210945,24.568305956946922,34.13530712252409,33.79117437005786,49.80438111887002,69.28992845604816,119.82789126458974,121.48694554888795,208.34863923197418,241.0444023271218,335.33022508003285,434.78331995835117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,17.105080122719162,16.60748220875014,24.273777129210945,24.568305956946922,34.13530712252409,33.79117437005786,49.80438111887002,69.28992845604745,119.82789126302656,121.48694347986653,208.34831499857577,240.9620625950769,333.18160930288695,392.5560268765056,495.8814058759702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,16.60748220875014,24.273777129210945,24.568305956946922,34.13530712252409,33.79117437005786,49.80438111887002,69.28992845604745,119.82789126302569,121.48694347675156,208.34831367214161,240.96113740333084,333.1158400608497,388.81722809236396,453.09760598371247,580.4731037082721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,,24.273777129210945,24.568305956946922,34.13530712252409,33.79117437005786,49.80438111887002,69.28992845604745,119.82789126302569,121.48694347674984,208.34831367014664,240.96113360647587,333.11510582682433,388.701226533357,449.403306631126,529.4304696985573,656.5203630204733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,,,24.568305956946922,34.13530712252409,33.79117437005786,49.80438111887002,69.28992845604745,119.82789126302569,121.48694347674984,208.34831367014553,240.96113360075876,333.11510282077074,388.69992509609307,449.2897107486492,524.9776130493559,596.513979065915,705.7127168666566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,34.13530712252409,33.79117437005786,49.80438111887002,69.28992845604745,119.82789126302569,121.48694347674984,208.34831367014553,240.9611336007556,333.11510281624834,388.6999197581475,449.28844046756006,524.8401677184094,591.2853041649917,640.1447506786453,773.4262425266527,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,33.79117437005786,49.80438111887002,69.28992845604745,119.82789126302569,121.48694347674984,208.34831367014553,240.9611336007556,333.11510281624584,388.6999197501115,449.28843526365614,524.8386285677879,591.1239916156728,634.4536149311233,704.6954251312984,832.6158511154256,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,49.80438111887002,69.28992845604745,119.82789126302569,121.48694347674984,208.34831367014553,240.9611336007556,333.11510281624584,388.6999197501071,449.28843525582545,524.8386222591328,591.1221855362026,634.27827147047,698.7427799067555,754.6861522594423,980.7669014987787,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,69.28992845604745,119.82789126302569,121.48694347674984,208.34831367014553,240.9611336007556,333.11510281624584,388.6999197501071,449.2884352558211,524.8386222496379,591.1221781339868,634.2763092527684,698.5595139145071,747.9065147749001,899.8251446737453,1167.5364610861816,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,119.82789126302569,121.48694347674984,208.34831367014553,240.9611336007556,333.11510281624584,388.6999197501071,449.2884352558211,524.8386222496326,591.1221781228463,634.2763012120472,698.5574635735983,747.6974565436745,892.8194635586365,1062.6882290308024,1262.6986122963992,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,121.48694347674984,208.34831367014553,240.9611336007556,333.11510281624584,388.6999197501071,449.2884352558211,524.8386222496326,591.1221781228402,634.2763011999465,698.5574551725656,747.6951162979008,892.6038311163703,1053.5057692290704,1142.9346077035675,1468.7540633033313,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,208.34831367014553,240.9611336007556,333.11510281624584,388.6999197501071,449.2884352558211,524.8386222496326,591.1221781228402,634.2763011999398,698.5574551599232,747.695106706996,892.601418891025,1053.2219592660924,1132.516499199148,1347.343947353913,1638.70897870758,,,,,,,,,,,,,,,,,,,,,,
