data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_53,yhat_model_49_to_53,yhat_model_50_to_53,yhat_model_51_to_53,yhat_model_52_to_53,yhat_model_53_to_53
29/03/2020,,,,43.64660101121725,46.65444862597512,52.31039803884171,54.612019861500045,61.27867070902049,70.13324039929931,78.70823808968255,86.32773597080346,93.42144898809539,98.2404100264799,104.3627504376405,113.06420747229429,104.0044557699076,99.00308868768256,92.22882146509151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,48.40679497648458,54.25474089783379,56.64266799465743,63.545946408468566,72.78516417649926,81.62667915926251,89.5456060904996,96.91122193147064,101.89680596715444,108.23410818761124,117.2834000033154,107.90079273982046,102.6852826530198,95.66490189902257,87.05746259590943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,56.19908375682587,58.67331612781483,65.81322210791664,75.43708795369925,84.54512022884245,92.76347621019575,100.40099487484589,105.55295304893635,112.10546593758198,121.50259253433653,111.79677112095919,106.367476618357,99.10055955449681,90.18250690704949,144.96039795289906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,60.70396426097223,68.08049780736475,78.08901173089923,87.46356129842239,95.98057792149143,103.89076781822114,109.20910013071826,115.97682368755272,125.72178506535766,115.69193325050774,110.04967058369424,102.53621720997103,93.30755121818956,149.99892273258155,134.63459803077686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,70.34777350681283,80.74093550809918,90.38200236800235,99.19721951463424,107.38054076159636,112.86524721250018,119.84818143752346,129.94097759637876,119.5870953800563,113.73186454903147,105.97187486544526,96.43259552932962,155.03744751226412,139.14774345835608,104.04423673758588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,83.39284195678813,93.3004434375823,102.41386110777705,110.8703137049716,116.52139429428209,123.71953918749422,134.1601701273999,123.48225750960486,117.41405851436869,109.40753252091949,99.55763984046969,160.07597229194658,143.6608888859353,107.41293105736958,104.64723640220824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,96.21888450716223,105.63050270091986,114.36008664834684,120.17754137606401,127.59089693746496,138.37936265842103,127.37741963915344,121.09625247970591,112.84319017639372,102.68268415160973,165.1144970716291,148.1740343135145,110.78162537715326,107.94186321348474,108.7438372241044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,108.84714429406267,117.84985959172211,123.83368845784592,131.46225468743572,142.59855518944215,131.27258176870197,124.77844644504313,116.27884783186795,105.80772846274981,170.15302185131162,152.68717974109373,114.15031969693695,111.23649002476124,112.06440206508445,187.85367383122926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,121.33963253509732,127.48983553962782,135.33361243740646,146.8177477204633,135.16774389825054,128.46064041038036,119.71450548734217,108.93277277388988,175.19154663099417,157.20032516867295,117.51901401672063,114.53111683603774,115.38496690606452,193.43763953045195,155.9157083063387,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,,131.14598262140976,139.2049701873772,151.03694025148442,139.0629060277991,132.1428343757176,123.15016314281641,112.05781708502994,180.23007141067666,161.71347059625217,120.88770833650432,117.82574364731425,118.7055317470446,199.02160522967458,160.4002508754297,123.79951999046185,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,,143.0763279373479,155.2561327825056,142.95806815734767,135.8250283410548,126.58582079829063,115.18286139617,185.26859619035918,166.22661602383138,124.256402656288,121.12037045859076,122.02609658802466,204.60557092889727,164.88479344452068,127.26793667215509,174.72059109722036,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,159.47532531352667,146.85321251547524,139.5072223063921,130.02147845376484,118.30790570731007,190.3071209700417,170.7397614514106,127.62509697607169,124.41499726986724,125.34666142900473,210.18953662811995,169.36933601361167,130.73635335384833,179.4686706911289,134.46092753091776,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,150.74833553278486,143.18941627172924,133.4571361092391,121.43293370731008,195.3456457497242,175.2529068789898,130.99379129585537,127.70962408114376,128.66722626998478,215.77350232734264,173.85387858270266,134.2047700355416,184.2167502850374,138.0070724472664,163.87905455592224,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,146.87161023706648,136.89279376471333,124.55793090619308,200.38417052940673,179.76605230656904,134.3624856156391,131.00425089242023,131.98779111096485,221.35746802656527,178.33842115179365,137.67318671723484,188.9648298789459,141.55321736361506,168.10652244318268,170.32493101418106,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,140.32845142018755,127.6829281050761,205.42269530908925,184.27919773414823,137.73117993542274,134.29887770369675,135.30835595194492,226.94143372578802,182.82296372088464,141.1416033989281,193.71290947285442,145.0993622799637,172.3339903304431,174.60794073216834,158.11572375400442,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,,130.80792530395908,210.4612200887718,188.79234316172747,141.09987425520643,137.59350451497323,138.628920792925,232.52539942501065,187.30750628997563,144.61002008062135,198.46098906676295,148.64550719631237,176.56145821770352,178.89095045015566,161.97232209184327,217.02253598815452,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,215.4997448684543,193.30548858930663,144.46856857499014,140.88813132624975,141.94945341737503,238.1093651242333,191.79204885906663,148.07843676231462,203.20906866067145,152.19165211266102,180.78892610496396,183.17396016814294,165.82892042968214,222.21650546138724,194.57491479050424,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,197.81863401688585,147.83726289477383,144.18275813752624,145.26993075792646,243.693330823456,196.27659142815762,151.54685344400787,207.95714825457995,155.73779702900964,185.01639399222435,187.45696988613022,169.68551876752105,227.41047493461997,199.12979567012263,123.6772805186227,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,151.20595721455751,147.47738494880275,148.59040809847795,249.27729652267865,200.76113399724863,155.0152701257011,212.70522784848845,159.2839419453583,189.2438618794848,191.73997960411754,173.54211710535992,232.60444440785267,203.68467654974108,126.48972548925265,194.79534217075565,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,150.7720117600792,151.91088543902944,254.86126222190134,205.24567656633963,158.48368680739438,217.45330744239698,162.83008686170697,193.47132976674524,196.0229893221048,177.3987154431988,237.79841388108537,208.2395574293595,129.3021704598826,199.14128042429422,145.4621075147246,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,155.23136277958088,260.4452279211241,209.7302191354306,161.95210348908762,222.2013870363055,166.3762317780556,197.69879765400566,200.3059990400921,181.25531378103767,242.99238335431812,212.79443830897796,132.11461543051254,203.48721867783277,148.63700277117533,215.62778958209654,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,266.02919362034675,214.21476170452164,165.42052017078092,226.94946663021403,169.92237669440425,201.9262655412661,204.58900875807942,185.11191211887657,248.18635282755082,217.34931918859638,134.92706040114248,207.83315693137138,151.811898027626,220.23768085185247,203.42049135482267,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,218.69930427361263,168.88893685247413,231.69754622412253,173.4685216107529,206.15373342852652,208.87201847606673,188.96851045671542,253.38032230078355,221.9042000682148,137.73950537177242,212.17909518490995,154.98679328407667,224.84757212160835,207.6736736129447,180.6911054964365,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,172.3573535341674,236.4456489161612,177.01466652710153,210.38120131578697,213.15502819405398,192.8251087945543,258.5742917740163,226.45908094783323,140.55195034240236,216.52503343844847,158.1616885405274,229.4574633913643,211.92685587106678,184.39325425987724,174.99503056764297,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.1937873040929,180.5608114434502,214.60866920304738,217.4380379120413,196.6817071323932,263.76826124724903,231.01396182745168,143.3643953130323,220.87097169198705,161.3365837969781,234.06735466112022,216.1800381291888,188.09540302331803,178.50257665488337,172.40882335044685,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.10695635979883,218.8361370903078,221.72104763002858,200.5383054702321,268.96223072048167,235.56884270707013,146.17684028366224,225.21690994552563,164.5114790534288,238.67724593087613,220.43322038731088,191.79755178675876,182.01012274212377,175.79971763215178,204.35522384738184,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.06360497756822,226.0040573480159,204.39490380807098,274.1562001937144,240.12372358668856,148.98928525429218,229.5628481990642,167.68637430987948,243.2871372006321,224.68640264543293,195.4997005501995,185.51766882936417,179.19061191385669,208.29444939524177,248.17122422594747,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.28706706600317,208.25150214590985,279.3501696669471,244.67860446630698,151.80173022492215,233.90878645260278,170.86126956633018,247.897028470388,228.939584903555,199.20184931364022,189.02507755713287,182.58150619556162,212.23367494310173,252.87450133767993,217.968398588374,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.10810048374873,284.5441391401798,249.2334853459254,154.61417519555212,238.25472470614136,174.03616482278085,252.5069197401439,233.19276716167704,202.903998077081,192.53217096310837,185.97240047726652,216.17290049096172,257.5777784494124,222.01787710693847,240.22757671781002,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.7381086134126,253.78836622554385,157.42662016618206,242.60066295967994,177.21106007923157,257.1168110098999,237.4459494197991,206.60614684052175,196.03926436908384,189.36329475897148,220.1121260388217,262.28105556114485,226.067355625503,244.60602138608877,224.9420850889969,253.36497660642448,259.26314004643626,309.78529030241515,192.3049446328688,243.32137852428312,257.1243659987688
