data,yhat,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_33,yhat_model_29_to_33,yhat_model_30_to_33,yhat_model_31_to_33,yhat_model_32_to_33,yhat_model_33_to_33
11/04/2020,,,24.89285714285714,26.857142857142858,30.249999999999993,35.57142857142857,38.39285714285713,38.57142857142857,37.28571428571428,34.71428571428571,32.03571428571428,31.0,29.57142857142857,33.42857142857142,36.60714285714286,42.42857142857143,45.714285714285715,,,,,,,,,,,,,,,,,
12/04/2020,,,,27.928571428571427,31.499999999999993,37.14285714285714,40.14285714285713,40.357142857142854,39.0,36.21428571428571,33.28571428571428,32.14285714285714,30.57142857142857,34.857142857142854,38.42857142857143,45.07142857142857,48.99999999999999,49.5,,,,,,,,,,,,,,,,
13/04/2020,,,,,32.74999999999999,38.71428571428571,41.89285714285713,42.14285714285714,40.71428571428571,37.71428571428571,34.53571428571428,33.285714285714285,31.57142857142857,36.285714285714285,40.25,47.71428571428571,52.285714285714285,53.0,52.5,,,,,,,,,,,,,,,
14/04/2020,,,,,,40.285714285714285,43.642857142857125,43.92857142857142,42.42857142857143,39.21428571428571,35.78571428571428,34.42857142857143,32.57142857142857,37.714285714285715,42.07142857142857,50.35714285714286,55.57142857142856,56.5,56.0,55.82142857142856,,,,,,,,,,,,,,
15/04/2020,,,,,,,45.392857142857125,45.71428571428571,44.14285714285714,40.71428571428571,37.03571428571428,35.57142857142857,33.57142857142857,39.14285714285714,43.89285714285714,53.0,58.857142857142854,60.0,59.5,59.2142857142857,62.607142857142854,,,,,,,,,,,,,
16/04/2020,,,,,,,,47.49999999999999,45.85714285714285,42.21428571428571,38.28571428571428,36.71428571428571,34.57142857142857,40.57142857142857,45.71428571428571,55.64285714285714,62.14285714285713,63.5,63.0,62.60714285714284,66.5,77.28571428571426,,,,,,,,,,,,
17/04/2020,,,,,,,,,47.57142857142857,43.71428571428571,39.53571428571428,37.857142857142854,35.57142857142857,42.0,47.53571428571428,58.28571428571429,65.42857142857142,67.0,66.5,66.0,70.39285714285714,82.85714285714285,98.96428571428572,,,,,,,,,,,
18/04/2020,,,,,,,,,,45.21428571428571,40.78571428571428,38.99999999999999,36.57142857142857,43.42857142857142,49.35714285714286,60.92857142857143,68.7142857142857,70.5,70.0,69.39285714285714,74.28571428571428,88.4285714285714,107.35714285714283,119.7857142857143,,,,,,,,,,
19/04/2020,,,,,,,,,,,42.03571428571428,40.14285714285714,37.57142857142857,44.857142857142854,51.17857142857143,63.57142857142857,72.0,74.0,73.5,72.78571428571428,78.17857142857142,93.99999999999999,115.75,130.57142857142858,144.35714285714283,,,,,,,,,
20/04/2020,,,,,,,,,,,,41.285714285714285,38.57142857142857,46.285714285714285,53.0,66.21428571428571,75.28571428571428,77.5,77.0,76.17857142857142,82.07142857142856,99.57142857142857,124.14285714285717,141.35714285714286,157.71428571428567,170.92857142857144,,,,,,,,
21/04/2020,,,,,,,,,,,,,39.57142857142857,47.71428571428571,54.82142857142857,68.85714285714285,78.57142857142856,81.0,80.5,79.57142857142856,85.9642857142857,105.14285714285712,132.53571428571428,152.14285714285714,171.07142857142856,186.71428571428567,191.71428571428567,,,,,,,
22/04/2020,,,,,,,,,,,,,,49.14285714285714,56.64285714285714,71.5,81.85714285714286,84.5,84.0,82.9642857142857,89.85714285714283,110.71428571428571,140.92857142857144,162.92857142857142,184.4285714285714,202.5,208.57142857142856,216.78571428571428,219.66666666666663,223.99999999999994,223.70000000000005,224.5,242.0,186.0
