data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_43,yhat_model_39_to_43,yhat_model_40_to_43,yhat_model_41_to_43,yhat_model_42_to_43,yhat_model_43_to_43
15/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,11.640863818542151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,9.997617781049934,11.83728345310316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,9.849844053638185,11.08556874288116,11.709713923739454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,9.84523493204605,11.025513520673288,10.38004690214494,11.537798841571988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,9.845183124212818,11.023720629114047,10.261992230392819,9.419728528841734,11.659526758512277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,9.84518291157328,11.023700799645214,10.258324875965693,9.232656359892438,10.09345562100995,11.579525127281826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,9.845182911253085,11.023700718740583,10.258283711560654,9.226858338605417,9.961238456327267,9.65127294186774,11.631914525902488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,9.845182911252907,11.023700718619024,10.258283542691103,9.226793316485889,9.957205698434404,9.482428900610254,9.940765781466128,11.597317486254916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,9.845182911252907,11.023700718618956,10.258283542436864,9.226793049833551,9.9571607353493,9.477209485023183,9.795976069835683,9.749600794354516,11.614523365536948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,9.845182911252907,11.023700718618956,10.258283542436724,9.226793049432146,9.957160551350583,9.477151003804124,9.79153694695564,9.58891550899611,9.844669829123317,11.609418553559776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,9.845182911252907,11.023700718618956,10.258283542436724,9.226793049431924,9.957160551073816,9.47715076405202,9.79148735878844,9.583960612266141,9.691891273930777,9.816464172878627,11.4589095490756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,9.845182911252907,11.023700718618956,10.258283542436724,9.226793049431924,9.957160551073663,9.47715076369115,9.791487155720628,9.583905145191311,9.687192951304851,9.661339412583278,8.978502196246422,11.538683174735167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,9.845182911252907,11.023700718618956,10.258283542436724,9.226793049431924,9.957160551073663,9.47715076369095,9.7914871554151,9.583904917871799,9.687140408800719,9.656564950919982,8.760288604571148,9.419135921158798,11.346226828687204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,9.845182911252907,11.023700718618956,10.258283542436724,9.226793049431924,9.957160551073663,9.47715076369095,9.79148715541493,9.583904917529685,9.687140193545781,9.656511540523386,8.753533332579767,9.237722763179582,8.349571819659594,11.401465511903872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,9.845182911252907,11.023700718618956,10.258283542436724,9.226793049431924,9.957160551073663,9.47715076369095,9.79148715541493,9.583904917529495,9.687140193221868,9.65651132168815,8.753457605430384,9.232161424730007,8.085627857956641,8.652475602206058,11.287985271852511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,11.023700718618956,10.258283542436724,9.226793049431924,9.957160551073663,9.47715076369095,9.79148715541493,9.583904917529495,9.687140193221689,9.656511321358836,8.75345729492126,9.232099303183182,8.077453005835912,8.41613127063156,8.022067441247446,11.128831804332002,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,10.258283542436724,9.226793049431924,9.957160551073663,9.47715076369095,9.79148715541493,9.583904917529495,9.687140193221689,9.656511321358654,8.75345729445386,9.23209904879396,8.077361348543077,8.408874510443564,7.736819518693815,7.133210425825446,11.289703112867244,,,,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,9.226793049431924,9.957160551073663,9.47715076369095,9.79148715541493,9.583904917529495,9.687140193221689,9.656511321358654,8.7534572944536,9.232099048411218,8.077360972689325,8.408793404125351,7.728010697238061,6.783901488175397,8.025093977843941,10.976058875698843,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,9.957160551073663,9.47715076369095,9.79148715541493,9.583904917529495,9.687140193221689,9.656511321358654,8.7534572944536,9.232099048411007,8.077360972123547,8.408793071923368,7.727912036141813,6.773112172212797,7.746832130138968,6.282890297881252,11.221994772062768,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,9.47715076369095,9.79148715541493,9.583904917529495,9.687140193221689,9.656511321358654,8.7534572944536,9.232099048411007,8.077360972123234,8.408793071423514,7.727911631724095,6.772991322119078,7.738314165313022,5.8693093247615264,7.644574008953642,10.911649456801452,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,9.79148715541493,9.583904917529495,9.687140193221689,9.656511321358654,8.7534572944536,9.232099048411007,8.077360972123234,8.408793071423236,7.727911631115406,6.772990826738034,7.7382190671446205,5.856497501726824,7.34133545017961,5.9227741157709906,10.987936155470557,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,9.583904917529495,9.687140193221689,9.656511321358654,8.7534572944536,9.232099048411007,8.077360972123234,8.408793071423236,7.727911631115069,6.772990825992432,7.738218677789556,5.8563538441836895,7.332072391950022,5.48364803761075,6.3400674674604165,10.977293550020406,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,9.687140193221689,9.656511321358654,8.7534572944536,9.232099048411007,8.077360972123234,8.408793071423236,7.727911631115069,6.772990825992019,7.738218677203791,5.856353255080339,7.331969055973869,5.4700498230854375,5.940042025041075,6.282714640841814,10.867374531127336,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,9.656511321358654,8.7534572944536,9.232099048411007,8.077360972123234,8.408793071423236,7.727911631115069,6.772990825992019,7.7382186772034665,5.856353254193547,7.331968633013215,5.469897366906533,5.927754845161949,5.876409105462183,5.6707752370586,10.967433357045826,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,8.7534572944536,9.232099048411007,8.077360972123234,8.408793071423236,7.727911631115069,6.772990825992019,7.7382186772034665,5.856353254193055,7.3319686323769595,5.46989674175029,5.927617496264372,5.863901798262981,5.218359101070276,6.225035666295004,10.844951027403106,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,9.232099048411007,8.077360972123234,8.408793071423236,7.727911631115069,6.772990825992019,7.7382186772034665,5.856353254193055,7.331968632376608,5.469896740809241,5.927616933670346,5.863761874301183,5.2044040621560015,5.817262969065435,5.545818704979976,10.884797887928157,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,8.077360972123234,8.408793071423236,7.727911631115069,6.772990825992019,7.7382186772034665,5.856353254193055,7.331968632376608,5.4698967408087205,5.9276169328238115,5.863761300985672,5.2042478280420355,5.8047406838500315,5.084112623859283,5.764607245765548,10.772479184654681,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,8.408793071423236,7.727911631115069,6.772990825992019,7.7382186772034665,5.856353254193055,7.331968632376608,5.4698967408087205,5.9276169328233435,5.863761300122909,5.204247187728231,5.8046007164445665,5.069866334178286,5.322535387149095,5.140253757240226,10.611366198927943,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,7.727911631115069,6.772990825992019,7.7382186772034665,5.856353254193055,7.331968632376608,5.4698967408087205,5.9276169328233435,5.863761300122431,5.204247186764549,5.80460014313808,5.0697068191942005,5.308939993905388,4.650159821055276,4.24066373763615,10.592041778764639,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,6.772990825992019,7.7382186772034665,5.856353254193055,7.331968632376608,5.4698967408087205,5.9276169328233435,5.863761300122431,5.204247186764016,5.804600142275433,5.069706165403153,5.308787951393619,4.635045011404993,3.6855183005943037,0.8837647482032885,10.253859866383149,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,7.7382186772034665,5.856353254193055,7.331968632376608,5.4698967408087205,5.9276169328233435,5.863761300122431,5.204247186764016,5.804600142274956,5.069706164419172,5.308787328506777,4.634875802448691,3.6683897620188155,0.02685516736675028,0.8373646982908826,10.664040290427216,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,5.856353254193055,7.331968632376608,5.4698967408087205,5.9276169328233435,5.863761300122431,5.204247186764016,5.804600142274956,5.069706164418627,5.308787327569461,4.634875108972345,3.668197980778838,0.00029903281083168496,0.025242998445144813,0.8750996354520258,11.843620257182062,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,7.331968632376608,5.4698967408087205,5.9276169328233435,5.863761300122431,5.204247186764016,5.804600142274956,5.069706164418627,5.308787327568942,4.634875107928661,3.6681971947513072,1.2231367066486605e-06,0.00028025492760710513,0.026433493541784252,0.975044079143097,16.919281594234896,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,5.4698967408087205,5.9276169328233435,5.863761300122431,5.204247186764016,5.804600142274956,5.069706164418627,5.308787327568942,4.634875107928083,3.6681971935683104,1.839498283379497e-09,1.1450870415797544e-06,0.0002936973949490937,0.029485982234028887,1.4077512752030799,14.052608410643874,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,5.9276169328233435,5.863761300122431,5.204247186764016,5.804600142274956,5.069706164418627,5.308787327568942,4.634875107928083,3.668197193567656,1.0175172189921506e-12,1.7214308364298386e-09,1.2003548757339874e-06,0.00032774777447686304,0.04273454602983152,1.136313435703143,20.599326188088156,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,5.863761300122431,5.204247186764016,5.804600142274956,5.069706164418627,5.308787327568942,4.634875107928083,3.668197193567656,2.070415145556411e-16,9.520684918389142e-13,1.8047070340533693e-09,1.3397216755459028e-06,0.0004756747226987243,0.03412906897986771,1.7162471623073081,17.6451844429222,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,5.204247186764016,5.804600142274956,5.069706164418627,5.308787327568942,4.634875107928083,3.668197193567656,1.5497682587295426e-20,1.9371372917808044e-16,9.981648433179924e-13,2.014353017350447e-09,1.945393787354953e-06,0.00037839473335670636,0.0521305891662869,1.4296669328864275,20.64625401901956,20.139595017578642,20.560973814859448,18.859839298878022,20.82200113434095,15.167436034223401,21.518310032469586
