data,yhat,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,3.678571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,,4.071428571428571,5.071428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,,4.464285714285714,5.607142857142858,7.888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,,4.857142857142857,6.142857142857144,8.722222222222223,11.878787878787877,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,5.249999999999999,6.678571428571429,9.555555555555555,13.090909090909088,14.454545454545457,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,5.642857142857142,7.214285714285715,10.38888888888889,14.303030303030303,15.818181818181824,16.527972027972023,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,6.035714285714286,7.75,11.222222222222221,15.515151515151514,17.181818181818187,17.96503496503496,18.61538461538462,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,6.428571428571428,8.285714285714286,12.055555555555555,16.727272727272727,18.54545454545455,19.402097902097896,20.11538461538462,21.021978021978022,,,,,,,,,,,,,,,,,,,,
03/04/2020,,6.82142857142857,8.821428571428573,12.88888888888889,17.939393939393938,19.909090909090914,20.839160839160833,21.61538461538462,22.604395604395606,23.059523809523803,,,,,,,,,,,,,,,,,,,
04/04/2020,,7.2142857142857135,9.357142857142858,13.722222222222221,19.15151515151515,21.272727272727277,22.27622377622377,23.11538461538462,24.186813186813186,24.680952380952377,26.738235294117636,,,,,,,,,,,,,,,,,,
05/04/2020,,7.607142857142857,9.892857142857144,14.555555555555555,20.36363636363636,22.636363636363644,23.713286713286706,24.61538461538462,25.76923076923077,26.30238095238095,28.526470588235284,30.32352941176471,,,,,,,,,,,,,,,,,
06/04/2020,,7.999999999999999,10.428571428571429,15.388888888888888,21.57575757575757,24.000000000000007,25.150349650349643,26.11538461538462,27.35164835164835,27.923809523809517,30.314705882352932,32.25,33.59339525283798,,,,,,,,,,,,,,,,
07/04/2020,,8.39285714285714,10.964285714285715,16.22222222222222,22.787878787878782,25.36363636363637,26.58741258741258,27.61538461538462,28.93406593406593,29.54523809523809,32.10294117647057,34.1764705882353,35.618163054695565,36.39473684210526,,,,,,,,,,,,,,,
08/04/2020,,8.785714285714285,11.500000000000002,17.055555555555554,24.0,26.727272727272734,28.024475524475516,29.11538461538462,30.516483516483515,31.166666666666664,33.89117647058822,36.102941176470594,37.64293085655315,38.4736842105263,38.83458646616542,,,,,,,,,,,,,,
09/04/2020,,9.178571428571427,12.035714285714286,17.888888888888886,25.21212121212121,28.090909090909097,29.461538461538453,30.61538461538462,32.098901098901095,32.78809523809523,35.67941176470587,38.029411764705884,39.667698658410735,40.552631578947356,40.93759398496241,41.8060606060606,,,,,,,,,,,,,
10/04/2020,,,12.571428571428573,18.72222222222222,26.424242424242422,29.45454545454546,30.898601398601386,32.11538461538463,33.681318681318686,34.409523809523805,37.467647058823516,39.95588235294118,41.692466460268314,42.63157894736841,43.04060150375941,43.96450216450216,46.93788819875776,,,,,,,,,,,,
11/04/2020,,,,19.555555555555554,27.636363636363633,30.818181818181827,32.335664335664326,33.61538461538463,35.26373626373626,36.03095238095238,39.255882352941164,41.88235294117648,43.7172342621259,44.710526315789465,45.143609022556404,46.12294372294372,49.27837380011293,55.635375494071155,,,,,,,,,,,
12/04/2020,,,,,28.848484848484844,32.18181818181819,33.77272727272726,35.11538461538463,36.84615384615384,37.652380952380945,41.044117647058805,43.80882352941177,45.742002063983485,46.78947368421052,47.2466165413534,48.281385281385276,51.618859401468086,58.3498023715415,64.01710144927537,,,,,,,,,,
13/04/2020,,,,,,33.545454545454554,35.2097902097902,36.61538461538463,38.42857142857143,39.27380952380952,42.83235294117645,45.735294117647065,47.76676986584107,48.86842105263156,49.34962406015039,50.43982683982683,53.959345002823255,61.06422924901186,67.05231884057972,73.82461538461537,,,,,,,,,
14/04/2020,,,,,,,36.64685314685313,38.11538461538463,40.01098901098901,40.89523809523809,44.6205882352941,47.66176470588236,49.791537667698655,50.947368421052616,51.45263157894738,52.59826839826839,56.299830604178425,63.77865612648222,70.08753623188406,77.22923076923075,83.81914529914528,,,,,,,,
15/04/2020,,,,,,,,39.61538461538463,41.5934065934066,42.51666666666666,46.40882352941175,49.58823529411765,51.81630546955624,53.02631578947367,53.555639097744375,54.75670995670995,58.640316205533594,66.49308300395258,73.12275362318842,80.63384615384614,87.57059829059827,96.3007733007733,,,,,,,
16/04/2020,,,,,,,,,43.175824175824175,44.13809523809523,48.19705882352939,51.51470588235295,53.841073271413826,55.105263157894726,55.65864661654137,56.9151515151515,60.98080180688875,69.20750988142292,76.15797101449276,84.03846153846152,91.32205128205125,100.4961334961335,109.34482758620688,,,,,,
17/04/2020,,,,,,,,,,45.7595238095238,49.98529411764704,53.44117647058824,55.86584107327141,57.184210526315766,57.761654135338354,59.07359307359307,63.32128740824392,71.92193675889328,79.19318840579712,87.4430769230769,95.07350427350424,104.69149369149369,113.97536945812804,122.7064039408867,,,,,
18/04/2020,,,,,,,,,,,51.773529411764684,55.367647058823536,57.890608875129,59.26315789473682,59.864661654135354,61.23203463203462,65.66177300959909,74.63636363636364,82.22840579710146,90.84769230769228,98.82495726495723,108.88685388685388,118.60591133004924,127.75270935960592,138.56366332962548,,,,
19/04/2020,,,,,,,,,,,,57.29411764705883,59.915376676986575,61.342105263157876,61.967669172932354,63.39047619047617,68.00225861095426,77.350790513834,85.2636231884058,94.25230769230767,102.57641025641023,113.08221408221408,123.23645320197043,132.79901477832513,144.10893585465328,153.83225806451608,,,
20/04/2020,,,,,,,,,,,,,61.94014447884417,63.42105263157893,64.07067669172935,65.54891774891775,70.34274421230943,80.06521739130436,88.29884057971016,97.65692307692305,106.32786324786322,117.27757427757427,127.8669950738916,137.84532019704434,149.6542083796811,159.81290322580642,171.3322947214077,,
21/04/2020,,,,,,,,,,,,,,65.49999999999997,66.17368421052635,67.7073593073593,72.68322981366458,82.7796442687747,91.3340579710145,101.06153846153843,110.07931623931621,121.47293447293447,132.49753694581278,142.89162561576356,155.1994809047089,165.79354838709673,177.81378299120243,187.95744206773617,
22/04/2020,,,,,,,,,,,,,,,68.27669172932333,69.86580086580085,75.02371541501975,85.49407114624506,94.36927536231886,104.46615384615382,113.8307692307692,125.66829466829466,137.12807881773398,147.93793103448277,160.7447534297367,171.77419354838705,184.29527126099714,194.8675356506239,204.92223071046595
