data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,5.431683942009691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,5.591376424417645,9.956045788672979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,5.760043381003857,10.277825570516987,15.336921297372179,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,5.938189163542196,10.624142756550437,16.117731874729493,14.38705931900882,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,6.126346467607712,10.996868453158285,16.981882487946535,15.979816017694091,15.037596429846985,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,6.325077925455076,11.398016448448319,17.938268459113605,17.782845096566074,17.06028944478603,17.01061753214819,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,6.5349777884143485,11.829754092484489,18.996734555017937,19.82390627178599,19.35919648227784,19.33095769972743,20.140211611732237,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,6.756673703834849,12.29441400719536,20.16817632638959,22.13442403869655,21.972036655253195,21.968994589016223,22.784305686922966,22.361879698927932,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,6.990828591890539,12.794506689224786,21.46465226362018,24.749971488240373,24.9416799066664,24.968226652696305,25.790659698420527,25.448708742120893,29.872758970456417,,,,,,,,,,,,,,,,,,,,,
05/04/2020,7.23814262785903,13.332734073816376,22.89950792345362,27.710817995801552,28.316850394274784,28.37810807184197,29.208905867212962,28.96164299964234,33.23084781066488,32.278291266533515,,,,,,,,,,,,,,,,,,,,
06/04/2020,7.499355335801633,13.912004133015639,24.48751330437407,31.062549214773025,32.152925927927335,32.25486420333254,33.0954763861133,32.9595019432341,37.04666788793351,36.60446913122424,35.769388678225454,,,,,,,,,,,,,,,,,,,
07/04/2020,7.775247799905047,14.53544658706197,26.245014884794372,34.85676892036709,36.512846576058784,36.66241867682951,37.51453506488642,37.50922447181149,41.382611204186695,41.54210421257814,40.871392032763346,39.81121435370194,,,,,,,,,,,,,,,,,,
08/04/2020,8.06664500009708,15.206429813857067,28.19010388908322,39.15189350936559,41.468147349269444,41.67344742817219,42.53903661746993,42.68698971543646,46.30957423207088,47.17761920043904,46.70112485631399,45.43347213850678,42.55916566336158,,,,,,,,,,,,,,,,,
09/04/2020,8.374418278920412,15.928579047869455,30.342802513513796,44.01405138805152,47.10013190465483,47.37057704909328,48.25193107917534,48.57949255482906,51.90811713440623,53.60965167248973,53.36238758632684,51.84972184523498,48.42275580230108,44.51913406387085,,,,,,,,,,,,,,,,
10/04/2020,,16.70579596680137,32.72527002909138,49.51810109543845,53.501206528334606,53.84774721278067,54.74753323772236,55.28539521331674,58.269780993440634,60.950780533051564,60.973786341858975,59.172093368354105,55.09420222276228,50.457595394785336,56.326491046880356,,,,,,,,,,,,,,,
11/04/2020,,,35.3620308828239,55.74878383698155,60.77639628338062,61.21175964024924,62.133079686190314,62.9169792262228,65.4985845877585,69.32949646484344,69.6708447471209,67.52855191864428,62.68480734461586,57.18819529084289,62.6699629972589,83.06748208103483,,,,,,,,,,,,,,
12/04/2020,,,,62.80202817335829,69.04506819920647,69.58403914834848,70.5304992034409,71.60202544775237,73.71272519045836,78.89245088222313,79.60841697713457,77.06513433354094,71.32120828148001,64.81659807676014,69.84539027181714,90.98864323262836,86.23946988586327,,,,,,,,,,,,,
13/04/2020,,,,,78.44288977549536,79.10263581723456,80.07842568941251,81.48595357362274,83.04651119813994,89.80702274900368,90.9634449906282,87.94850120585772,81.14748957854397,73.46256276978498,77.9618849887839,99.97939224972328,97.65534208512568,102.40991094223124,,,,,,,,,,,,
14/04/2020,,,,,,89.9245012909422,90.93448688705128,92.73425700293555,93.65255819087803,102.2642481874743,103.93810904366596,100.36884943169805,92.32758703289956,83.26182318784161,87.14286947511961,110.18415470076013,110.72499289622547,116.23166761984056,112.02528729519919,,,,,,,,,,,
15/04/2020,,,,,,,103.2779066756343,105.53527380785583,105.704284330688,116.48216415513502,118.7634275800133,114.54323607702271,105.04802270028026,94.36821884758336,97.52795307064464,121.76685781972006,125.68799960675244,132.08684688600388,128.74723086657224,137.57425164996107,,,,,,,,,,
16/04/2020,,,,,,,,120.10334020734676,119.39874590043463,132.70962471301988,135.70337059554785,130.71937165051338,119.52101671742388,106.95611010552315,109.27505507768525,134.91356379995906,142.81864625181265,150.2746008326068,147.96524834728817,156.66625479008334,151.9758561462549,,,,,,,,,
17/04/2020,,,,,,,,,134.95985934673013,151.2306566811835,155.05955971661203,149.17994907368248,135.9880278558409,121.22311545777092,122.56280613857032,149.83545865953926,162.4309514625999,171.13809206591765,170.0519271064114,178.6030886756218,174.88941717089855,174.29993912486822,,,,,,,,
18/04/2020,,,,,,,,,,172.36943091773915,177.1766386788508,170.24758400098307,154.72378187546886,137.39321397150565,137.59326455718525,166.77224469058416,184.8844246823039,195.07096842439407,195.43547039323602,203.80865130777966,201.25768009453859,200.54712718935116,195.01268743569304,,,,,,,
19/04/2020,,,,,,,,,,,202.44840982979377,194.29045282657913,176.0408548848547,155.72026155354715,154.5949888699423,185.99599098827565,210.5906562654564,222.52479024092733,224.6079990844478,232.77000420485655,231.60151398672264,230.74678296409985,224.06828696281946,224.03043125446095,,,,,,
20/04/2020,,,,,,,,,,,,221.72872690715656,200.29488817390347,176.4919762582609,173.82651338878202,207.81550391361012,240.02086226257472,254.01755028550136,258.1350926278187,266.0467841708357,266.5203198990748,265.49409405406135,257.4546690361306,257.4246116593608,245.9675901844563,,,,,
21/04/2020,,,,,,,,,,,,,227.8905215203427,200.0344552005216,195.58027956655837,232.58128769613998,273.7145221921177,290.1434471407013,296.66675415651474,304.28201747777007,306.7038712155284,305.47387518097423,295.8173435665416,295.796559051855,282.031534426357,276.03707497594957,,,,
22/04/2020,,,,,,,,,,,,,,226.71729398517962,220.18708296655836,260.69117486281783,312.2892681371122,331.58409641200586,340.9500123590602,348.2145454306045,352.9459391847217,351.4740648019095,339.89803472662703,339.88826391897925,323.3832000030382,316.1891725213991,297.57449750192575,,,
23/04/2020,,,,,,,,,,,,,,,248.0211034583674,292.59671693900907,356.4522064416019,379.12139130355354,391.84340442243837,398.69330142073835,406.1599727883651,404.40125413405866,390.54902183677973,390.55231852648285,370.7978764038236,362.18175702839073,339.9012692815036,319.2251431918151,,
24/04/2020,,,,,,,,,,,,,,,,328.81043808059815,407.01287954278797,433.652255209944,450.33362083492085,456.6937153520081,467.397142679993,465.2985546383649,448.7496177828777,448.7684033208362,425.1645266182457,414.8643803269215,388.2485691114359,363.5723440861124,352.68972942306584,
