data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_36,yhat_model_32_to_36,yhat_model_33_to_36,yhat_model_34_to_36,yhat_model_35_to_36
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,7.1315509657311305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,7.895505370859882,27.317728558205225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,8.741296999885664,50.26154825631492,8.22187463089102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,9.677692516329508,92.47559612210476,8.808060272567447,89.82417374134211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,10.714397696571252,170.14469658849367,9.436038525045378,198.36407042863584,16.091551628766933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,11.862158030603695,313.0471063843269,10.108789028550412,438.0591860530135,21.227322805231424,9.510939095493736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,13.132870099459256,575.9714688763763,10.829503859327424,967.3921797973281,28.002224016232212,9.644872633736812,10.44059353563056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,14.539704883740571,1059.7227260498314,11.601602675449755,2136.3497429769013,36.93939914373029,9.780692231020556,10.629059241875405,14.01093118120301,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,16.09724428135278,1949.7706341206356,12.42874894246191,4717.828321987927,48.728958396620335,9.918424446926322,10.820926988656467,15.771164050588437,14.221193958157926,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,17.821632249449184,3587.3586856534234,13.314867315843465,10418.661152708122,64.28126719604697,10.058096215048868,11.016258187039135,17.75253994854156,15.76197904322175,12.045062225917631,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,19.730742137182492,6600.3365289872445,14.264162262770713,23008.149683838175,84.79724271340409,10.199734848263232,11.215115356634952,19.982841698536856,17.469699385996005,12.198986290135894,15.529805458758144,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,21.84436194367219,12143.876905899164,15.28113801153286,50810.266704595,111.86108621452551,10.343368044065771,11.417562145612258,22.493342558656714,19.362441467546084,12.354877352705937,17.046558697993422,17.627976896951576,,,,,,,,,,,,,,,,,,,,,,,
08/04/2020,24.18439942139417,22343.36774465338,16.370619923259074,112207.3368813986,147.56261181020182,10.489023889990433,11.623663351068032,25.31924473475277,21.460251335788723,12.512760549934649,18.711449040094553,19.25011651146859,18.655736658713884,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,26.775109150897332,41109.283801312806,17.537777387361213,247794.14214090438,194.6586175865401,10.636730869101273,11.833484939767498,28.5001729852546,23.785346913360556,12.672661339346234,20.53894462706237,21.021526626189203,20.22814056676923,483.70039718513533,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,75636.4588351404,18.78814834932692,547218.5561648933,256.7857598606368,10.786517865562335,12.047094069258078,32.080730238945165,26.362353307830816,12.83460550378705,22.544926664397053,22.95594322415188,21.933074971759574,492.82991304731763,1908.4791522800422,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,20.127665587242838,1208455.3154646968,338.74136827202074,10.938414170285954,12.264559109364503,36.11112301656708,29.21856361643067,12.9986191555829,24.74682743111023,25.068366283824698,23.7817102431605,502.1317423092053,1957.9930743446992,1665712483566.2788,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,2668703.8168252986,446.8538856713697,11.092449486660621,12.485949664071933,40.647865425912364,32.38422798748438,13.164728740749466,27.16378176879415,27.37517609290987,25.78615824811875,511.60913726896695,2008.791594396867,1914631004372.411,133866281572056.42,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,589.471537409783,11.248653936359489,12.711336593804065,45.75457160180431,35.8928739999944,13.332961043256542,29.81679336621009,29.894260265431534,27.95955170584302,521.265411609686,2060.9080402748723,2200747079145.153,157764315654604.44,262.10385434292994,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,11.40705806523067,12.940792038103433,51.502847702553076,39.781661754523405,13.503343189346742,32.728917284433635,32.6451524470309,30.31613023040148,531.1039415579593,2114.376604480399,2529619386349.321,185928667037549.1,265.69512335025337,773276997.5712988,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,13.174389438721093,57.97329597044625,44.091777436143936,13.67590265190941,35.92546030872712,35.64918378402645,32.87133362566019,541.1281670643631,2169.232366611467,2907637274829.3735,219120965871922.53,269.3355988567155,851683461.6213427,34.8492382654233,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,65.2566449351956,48.868869517684175,13.850667254910443,39.43420086822654,38.929648330770156,35.64190304361115,551.3415930062005,2225.511316377417,3342144896421.862,258238809806277.0,273.025955075123,938039953.4416926,40.648092056381095,25.69527080542914,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,54.16353222310241,14.027665177878681,43.28563043457735,42.51198367791252,38.64599066885788,561.7477904129486,2283.250377211001,3841583888531.6855,304340037133377.7,276.76687545614607,1033152566.5389796,47.41186522470931,25.82556443005899,25.986403888647025,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,14.206924960449678,47.51321849730871,46.423968202215356,41.90327864788812,572.3503977148357,2342.4874304930663,4415657378716.9,358671333219931.7,280.5590528148924,1137909128.315641,55.30111870855001,25.95651873768952,26.125917382483998,27.720941351709772,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,52.153703418621404,50.695936467440085,45.43510804233316,583.1531220149855,2403.2613404057342,5075518497571.966,422701943804338.3,284.4031894592161,1253287487.4828172,64.50313051221855,26.088137078461852,26.266179883957648,27.95056723407925,33.680363246572,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,55.36101444658661,49.26461865108802,594.15974038557,2465.611979430368,5833987062347.842,498163406849144.7,288.29999731978455,1380364641.7759407,75.23634138043262,26.220422819504712,26.40719541427357,28.182095218011053,36.18800666447687,33.46409883832497,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,53.41690061737772,605.3741011884285,2529.5802545070696,6705798641049.956,587096377390728.9,292.2501980819272,1520326791.1755517,87.75554022514852,26.35337934502063,26.54896801622603,28.415541059526724,38.88235458628884,34.79138144914095,32.58608106239249,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,616.800125420612,2595.2081338728585,7707890835844.693,691905811640024.4,296.2545233192912,1674480410.4749973,102.35791239857573,26.48701005637249,26.691501754313883,28.650920645162536,41.77730794047734,36.1713079138221,32.91848521297979,33.669139488112755,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,2662.53867459615,8859732347703.82,815426002641863.4,300.3137146293279,1844264444.5517447,119.39009438850242,26.621318372170542,26.83480071485712,28.888249993050557,44.88780263757317,37.605966239343864,33.254280152386286,34.04948709348963,42.39679022437036,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,10183701215372.406,960997226209777.5,304.4285237706364,2031263740.1789076,139.25640240288698,26.756307728359868,26.978869006114003,29.12754525400876,48.22988662889652,39.09752724905645,33.593500469376266,34.43413134271055,46.54449541272962,40.56226799826936,,,,,,
