data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36
19/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/03/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/03/2020,9.464285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2020,10.64285714285714,9.892857142857146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,11.82142857142857,10.964285714285717,10.544444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,12.999999999999998,12.035714285714288,11.56111111111111,11.32121212121212,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,14.178571428571425,13.107142857142861,12.577777777777776,12.309090909090909,11.763636363636365,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,15.357142857142852,14.178571428571432,13.594444444444445,13.296969696969697,12.690909090909093,12.37995337995338,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,16.53571428571428,15.250000000000004,14.61111111111111,14.284848484848485,13.61818181818182,13.275058275058274,13.109890109890106,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,17.714285714285708,16.321428571428577,15.627777777777776,15.272727272727273,14.545454545454549,14.17016317016317,13.989010989010985,13.916483516483517,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,18.892857142857135,17.39285714285715,16.644444444444442,16.26060606060606,15.472727272727276,15.065268065268064,14.868131868131865,14.78901098901099,14.484523809523807,,,,,,,,,,,,,,,,,,,,,
04/04/2020,20.071428571428566,18.46428571428572,17.661111111111108,17.24848484848485,16.400000000000002,15.96037296037296,15.747252747252743,15.661538461538463,15.330952380952379,14.885294117647055,,,,,,,,,,,,,,,,,,,,
05/04/2020,21.249999999999993,19.535714285714292,18.677777777777777,18.236363636363638,17.32727272727273,16.855477855477858,16.62637362637362,16.534065934065936,16.17738095238095,15.695588235294114,17.264705882352942,,,,,,,,,,,,,,,,,,,
06/04/2020,22.42857142857142,20.607142857142865,19.694444444444443,19.224242424242426,18.254545454545458,17.75058275058275,17.505494505494504,17.40659340659341,17.02380952380952,16.50588235294117,18.073529411764707,17.000687994496044,,,,,,,,,,,,,,,,,,
07/04/2020,23.60714285714285,21.678571428571434,20.71111111111111,20.212121212121215,19.181818181818187,18.645687645687644,18.38461538461538,18.27912087912088,17.870238095238093,17.316176470588232,18.88235294117647,17.8469212246302,19.192982456140353,,,,,,,,,,,,,,,,,
08/04/2020,24.785714285714278,22.750000000000007,21.727777777777778,21.200000000000003,20.109090909090913,19.540792540792538,19.263736263736256,19.151648351648355,18.71666666666666,18.126470588235293,19.691176470588236,18.69315445476436,20.05263157894737,23.74285714285714,,,,,,,,,,,,,,,,
09/04/2020,25.964285714285705,23.82142857142858,22.744444444444444,22.18787878787879,21.036363636363642,20.435897435897438,20.14285714285714,20.024175824175828,19.563095238095237,18.936764705882347,20.5,19.53938768489852,20.912280701754387,24.628571428571426,23.37852813852814,,,,,,,,,,,,,,,
10/04/2020,,24.89285714285715,23.76111111111111,23.175757575757576,21.96363636363637,21.33100233100233,21.021978021978015,20.8967032967033,20.409523809523805,19.747058823529407,21.308823529411764,20.38562091503268,21.771929824561404,25.514285714285712,24.323982683982685,23.079503105590064,,,,,,,,,,,,,,
11/04/2020,,,24.777777777777775,24.163636363636364,22.890909090909098,22.226107226107224,21.901098901098898,21.769230769230774,21.25595238095238,20.557352941176468,22.11764705882353,21.23185414516684,22.63157894736842,26.4,25.26943722943723,24.05861095426313,23.83596837944664,,,,,,,,,,,,,
12/04/2020,,,,25.151515151515152,23.818181818181824,23.121212121212118,22.780219780219774,22.641758241758247,22.102380952380948,21.367647058823522,22.926470588235293,22.078087375300996,23.49122807017544,27.285714285714285,26.214891774891775,25.037718802936197,24.830039525691703,25.02840579710145,,,,,,,,,,,,
13/04/2020,,,,,24.745454545454553,24.016317016317018,23.65934065934065,23.514285714285716,22.948809523809516,22.177941176470583,23.735294117647058,22.924320605435156,24.350877192982455,28.17142857142857,27.16034632034632,26.016826651609264,25.824110671936758,26.024057971014493,26.046153846153842,,,,,,,,,,,
14/04/2020,,,,,,24.91142191142191,24.538461538461533,24.38681318681319,23.79523809523809,22.988235294117644,24.544117647058822,23.770553835569316,25.210526315789473,29.057142857142857,28.105800865800866,26.99593450028233,26.81818181818182,27.019710144927537,27.052307692307686,27.208205128205122,,,,,,,,,,
15/04/2020,,,,,,,25.41758241758241,25.259340659340662,24.64166666666666,23.798529411764697,25.352941176470587,24.616787065703473,26.07017543859649,29.942857142857143,29.05125541125541,27.975042348955398,27.812252964426875,28.01536231884058,28.058461538461533,28.222564102564093,28.192307692307693,,,,,,,,,
16/04/2020,,,,,,,,26.131868131868135,25.488095238095234,24.608823529411758,26.16176470588235,25.463020295837634,26.929824561403507,30.82857142857143,29.996709956709957,28.954150197628458,28.806324110671937,29.011014492753624,29.06461538461538,29.23692307692307,29.205128205128208,29.02791461412151,,,,,,,,
17/04/2020,,,,,,,,,26.3345238095238,25.41911764705882,26.970588235294116,26.30925352597179,27.789473684210524,31.714285714285715,30.942164502164502,29.933258046301525,29.800395256917,30.006666666666668,30.070769230769223,30.25128205128204,30.21794871794872,30.032019704433495,31.165320197044334,,,,,,,
18/04/2020,,,,,,,,,,26.229411764705873,27.77941176470588,27.15548675610595,28.64912280701754,32.6,31.887619047619047,30.91236589497459,30.794466403162055,31.00231884057971,31.07692307692307,31.265641025641017,31.230769230769234,31.036124794745483,32.17615763546798,33.311783463107155,,,,,,
19/04/2020,,,,,,,,,,,28.588235294117645,28.00171998624011,29.508771929824558,33.48571428571429,32.83307359307359,31.89147374364766,31.788537549407117,31.99797101449275,32.083076923076916,32.279999999999994,32.243589743589745,32.04022988505747,33.18699507389162,34.334475342973676,33.0375,,,,,
20/04/2020,,,,,,,,,,,,28.84795321637427,30.368421052631575,34.371428571428574,33.77852813852814,32.870581592320725,32.78260869565217,32.99362318840579,33.08923076923077,33.294358974358964,33.25641025641026,33.04433497536946,34.19783251231527,35.35716722284019,34.075806451612905,34.01099706744869,,,,
21/04/2020,,,,,,,,,,,,,31.228070175438592,35.25714285714286,34.72398268398268,33.84968944099379,33.776679841897234,33.989275362318836,34.0953846153846,34.30871794871794,34.269230769230774,34.04844006568144,35.20866995073892,36.37985910270671,35.11411290322581,35.05626832844576,37.36256684491978,,,
22/04/2020,,,,,,,,,,,,,,36.142857142857146,35.66943722943723,34.82879728966686,34.77075098814229,34.98492753623188,35.10153846153845,35.32307692307691,35.282051282051285,35.05254515599343,36.21950738916257,37.402550982573224,36.15241935483871,36.10153958944283,38.41336898395721,37.08213903743316,,
23/04/2020,,,,,,,,,,,,,,,36.614891774891774,35.807905138339926,35.76482213438735,35.98057971014492,36.107692307692304,36.33743589743589,36.294871794871796,36.056650246305416,37.23034482758621,38.425242862439745,37.19072580645161,37.14681085043989,39.46417112299464,38.14737967914439,37.83025210084033,
24/04/2020,,,,,,,,,,,,,,,,36.78701298701299,36.758893280632414,36.97623188405797,37.11384615384614,37.35179487179486,37.307692307692314,37.060755336617405,38.24118226600986,39.44793474230626,38.229032258064514,38.19208211143696,40.514973262032086,39.21262032085562,38.902521008403355,38.930501930501926
